scientific_name_author,scientific_name,infrataxa,family,broader,establishment_means,park_list,voucher,iNat_RG,iNat_needsID_only,voucher dates (1990 cutoff),first_voucher,last_voucher,iNat_RG_count,first_iNat,last_iNat
Cyrtomium falcatum (L.f.) C.Presl,Cyrtomium falcatum,,Dryopteridaceae,1.ferns/primitive,introduced,,1,1,,recent_vouchers_only,2018,2018,1,2023,2023
Nephrolepis cordifolia (L.) C.Presl,Nephrolepis cordifolia,,Nephrolepidaceae,1.ferns/primitive,introduced,,,1,,no_vouchers,,,3,2020,2023
Platycerium superbum de Jonch. & Hennipman,Platycerium superbum,,Polypodiaceae,1.ferns/primitive,introduced,,,1,,no_vouchers,,,1,2023,2023
Adiantum raddianum C.Presl,Adiantum raddianum,,Pteridaceae,1.ferns/primitive,introduced,,1,,,recent_vouchers_only,2000,2000,,,
Selaginella kraussiana (Kunze) A.Braun,Selaginella kraussiana,,Selaginellaceae,1.ferns/primitive,introduced,,,1,,no_vouchers,,,1,2018,2018
Araucaria cunninghamii Mudie,Araucaria cunninghamii,,Araucariaceae,2.gymnosperm,introduced,,,1,,no_vouchers,,,1,2022,2022
Pinus radiata D.Don,Pinus radiata,,Pinaceae,2.gymnosperm,introduced,1,,,,no_vouchers,,,,,
Thunbergia alata Bojer ex Sims,Thunbergia alata,,Acanthaceae,3.dicot,introduced,1,1,1,,old_vouchers_only,1975,1975,2,2023,2023
Carpobrotus aequilaterus (Haw.) N.E.Br.,Carpobrotus aequilaterus,,Aizoaceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Atriplex prostrata Boucher ex DC.,Atriplex prostrata,,Amaranthaceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Dysphania ambrosioides (L.) Mosyakin & Clemants,Dysphania ambrosioides,,Amaranthaceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Gomphrena celosioides Mart.,Gomphrena celosioides,,Amaranthaceae,3.dicot,introduced,,1,,,recent_vouchers_only,2019,2019,,,
Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson,Cyclospermum leptophyllum,,Apiaceae,3.dicot,introduced,1,1,1,,recent_vouchers_only,2002,2002,1,2021,2021
Foeniculum vulgare Mill.,Foeniculum vulgare,,Apiaceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Araujia sericifera Brot.,Araujia sericifera,,Apocynaceae,3.dicot,introduced,1,,1,,no_vouchers,,,1,2022,2022
Asclepias curassavica L.,Asclepias curassavica,,Apocynaceae,3.dicot,introduced,,,1,,no_vouchers,,,6,2021,2024
Gomphocarpus fruticosus (L.) W.T.Aiton,Gomphocarpus fruticosus,,Apocynaceae,3.dicot,introduced,1,1,1,,recent_vouchers_only,2002,2002,3,1988,2023
Gomphocarpus physocarpus E.Mey.,Gomphocarpus physocarpus,,Apocynaceae,3.dicot,introduced,,,1,,no_vouchers,,,1,2024,2024
Nerium oleander L.,Nerium oleander,,Apocynaceae,3.dicot,introduced,,,1,,no_vouchers,,,4,2008,2023
Vinca major L.,Vinca major,,Apocynaceae,3.dicot,introduced,,,1,,no_vouchers,,,5,2020,2022
Hydrocotyle bonariensis Lam.,Hydrocotyle bonariensis,,Araliaceae,3.dicot,introduced,1,1,1,,old_vouchers_only,1960,1960,10,1988,2024
Acanthospermum australe (Loefl.) Kuntze,Acanthospermum australe,,Asteraceae,3.dicot,introduced,1,1,1,,old_vouchers_only,1971,1987,1,2023,2023
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Ageratina adenophora,,Asteraceae,3.dicot,introduced,1,1,1,,recent_vouchers_only,1994,2012,13,2019,2024
Ageratina riparia (Regel) R.M.King & H.Rob.,Ageratina riparia,,Asteraceae,3.dicot,introduced,1,1,1,,old&recent_vouchers,1948,2017,8,2020,2023
Ageratum houstonianum Mill.,Ageratum houstonianum,,Asteraceae,3.dicot,introduced,,,,1,no_vouchers,,,,2023,2023
Arctotheca calendula (L.) K.Lewin,Arctotheca calendula,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Arctotheca populifolia (P.J.Bergius) Norl.,Arctotheca populifolia,,Asteraceae,3.dicot,introduced,1,1,,,old_vouchers_only,1971,1971,,,
Bartlettina sordida (Less.) R.M.King & H.Rob.,Bartlettina sordida,,Asteraceae,3.dicot,introduced,,,1,,no_vouchers,,,1,2008,2008
Bidens alba (L.) DC.,Bidens alba,,Asteraceae,3.dicot,introduced,,,1,,no_vouchers,,,1,2022,2022
Bidens pilosa L.,Bidens pilosa,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Cichorium intybus L.,Cichorium intybus,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Cirsium vulgare (Savi) Ten.,Cirsium vulgare,,Asteraceae,3.dicot,introduced,1,,1,,no_vouchers,,,7,2019,2024
Coreopsis lanceolata L.,Coreopsis lanceolata,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Cotula coronopifolia L.,Cotula coronopifolia,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Crassocephalum crepidioides (Benth.) S.Moore,Crassocephalum crepidioides,,Asteraceae,3.dicot,introduced,1,1,,,old_vouchers_only,1977,1977,,,
Delairea odorata Lem.,Delairea odorata,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Dittrichia graveolens (L.) Greuter,Dittrichia graveolens,,Asteraceae,3.dicot,introduced,1,,1,,no_vouchers,,,3,2024,2024
Erechtites valerianifolius (Link ex Spreng.) DC.,Erechtites valerianifolius,,Asteraceae,3.dicot,introduced,1,1,,,old_vouchers_only,1984,1984,,,
Erigeron bonariensis L.,Erigeron bonariensis,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Erigeron canadensis L.,Erigeron canadensis,subsp. canadensis,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Erigeron karvinskianus DC.,Erigeron karvinskianus,,Asteraceae,3.dicot,introduced,,,1,,no_vouchers,,,3,2021,2023
Erigeron sumatrensis Retz.,Erigeron sumatrensis,,Asteraceae,3.dicot,introduced,1,1,,,old_vouchers_only,1983,1983,,,
Euryops chrysanthemoides (DC.) B.Nord.,Euryops chrysanthemoides,,Asteraceae,3.dicot,introduced,,,1,,no_vouchers,,,1,2024,2024
Facelis retusa (Lam.) Sch.Bip.,Facelis retusa,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Gamochaeta americana (Mill.) Wedd.,Gamochaeta americana,,Asteraceae,3.dicot,introduced,,1,,,old_vouchers_only,1975,1978,,,
Gamochaeta coarctata (Willd.) Kerguelen,Gamochaeta coarctata,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Gamochaeta purpurea (L.) Cabrera,Gamochaeta purpurea,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.,Gymnocoronis spilanthoides,,Asteraceae,3.dicot,introduced,1,1,1,,recent_vouchers_only,2021,2021,1,2021,2021
Hypochaeris glabra L.,Hypochaeris glabra,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Hypochaeris radicata L.,Hypochaeris radicata,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Leontodon saxatilis Lam.,Leontodon saxatilis,,Asteraceae,3.dicot,introduced,,,,1,no_vouchers,,,,2022,2022
Osteospermum moniliferum L.,Osteospermum moniliferum,"subsp. moniliferum, subsp. rotundatum",Asteraceae,3.dicot,introduced,1,,,,(disagree with voucher),,,,,
Plecostachys serpyllifolia (P.J.Bergius) Hilliard & B.L.Burtt,Plecostachys serpyllifolia,,Asteraceae,3.dicot,introduced,,1,,,recent_vouchers_only,2016,2016,,,
Senecio glastifolius L.f.,Senecio glastifolius,,Asteraceae,3.dicot,introduced,1,1,,,recent_vouchers_only,1991,2019,,,
Senecio madagascariensis Poir.,Senecio madagascariensis,,Asteraceae,3.dicot,introduced,1,,1,,no_vouchers,,,4,2019,2023
Sonchus oleraceus L.,Sonchus oleraceus,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Symphyotrichum subulatum (Michx.) G.L.Nesom,Symphyotrichum subulatum,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Tagetes minuta L.,Tagetes minuta,,Asteraceae,3.dicot,introduced,1,,1,,no_vouchers,,,1,2020,2020
Tanacetum vulgare L.,Tanacetum vulgare,,Asteraceae,3.dicot,introduced,,1,,,old_vouchers_only,1966,1966,,,
Taraxacum officinale F.H.Wigg.,Taraxacum officinale,,Asteraceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Xanthium strumarium L.,Xanthium strumarium,,Asteraceae,3.dicot,introduced,1,1,,,old_vouchers_only,1975,1975,,,
Anredera cordifolia (Ten.) Steenis,Anredera cordifolia,,Basellaceae,3.dicot,introduced,1,1,,,old_vouchers_only,1975,1975,,,
Begonia cucullata Willd.,Begonia cucullata,,Begoniaceae,3.dicot,introduced,,,1,,no_vouchers,,,3,2021,2023
Nandina domestica Thunb.,Nandina domestica,,Berberidaceae,3.dicot,introduced,,,1,,no_vouchers,,,5,2021,2023
Campsis × tagliabueana (Vis.) C.Massal.,Campsis × tagliabueana,,Bignoniaceae,3.dicot,introduced,,,1,,no_vouchers,,,1,2023,2023
Catalpa bignonioides Walter,Catalpa bignonioides,,Bignoniaceae,3.dicot,introduced,,,,1,no_vouchers,,,,2021,2021
Heliotropium amplexicaule Vahl,Heliotropium amplexicaule,,Boraginaceae,3.dicot,introduced,,,1,,no_vouchers,,,1,2019,2019
Cakile edentula (Bigelow) Hook.,Cakile edentula,,Brassicaceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
Cakile maritima Scop.,Cakile maritima,,Brassicaceae,3.dicot,introduced,,,,1,no_vouchers,,,,2021,2023
Lepidium bonariense L.,Lepidium bonariense,,Brassicaceae,3.dicot,introduced,1,,,,no_vouchers,,,,,
