accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,notes,iNat_needsID_only_notes
Asplenium australasicum,Asplenium australasicum,accepted,Aspleniaceae,1.ferns/primitive,native,16,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1934,1934,2004,2024,,
Asplenium flabellifolium,Asplenium flabellifolium,accepted,Aspleniaceae,1.ferns/primitive,native,4,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1905,2019,2020,2024,,
Asplenium nidus,Asplenium nidus,accepted,Aspleniaceae,1.ferns/primitive,out-of-range,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,"Asplenium nidus is from tropical QLD, this is a misID of A. australasicum",
Asplenium polyodon,Asplenium polyodon,accepted,Aspleniaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1927,1927,,,,none
Diplazium australe,Diplazium australe,accepted,Athyriaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1966,1984,,,,none
Blechnum ambiguum,Blechnum ambiguum,accepted,Blechnaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1897,1960,2021,2021,,
Blechnum camfieldii,Blechnum camfieldii,accepted,Blechnaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Blechnum minus,Blechnum minus,accepted,Blechnaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Blechnum nudum,Blechnum nudum,accepted,Blechnaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1905,1993,2024,2024,,
Blechnum patersonii,Blechnum patersonii,accepted,Blechnaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1905,1989,2023,2023,,
Blechnum patersonii,Austroblechnum patersonii,synonym,Blechnaceae,1.ferns/primitive,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,
Blechnum wattsii,Blechnum wattsii,accepted,Blechnaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1960,1975,2021,2021,the 1933 vouchers are clearly incorrectly located in the park (locality = Austinmer),
Doodia aspera,Doodia aspera,accepted,Blechnaceae,1.ferns/primitive,native,8,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1905,1952,2020,2024,,
Doodia aspera,Blechnum neohollandicum,synonym,Blechnaceae,1.ferns/primitive,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,
Doodia caudata,Doodia caudata,accepted,Blechnaceae,1.ferns/primitive,native,3,1,,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1943,1984,2021,2024,,
Doodia caudata,Blechnum rupestre,synonym,Blechnaceae,1.ferns/primitive,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Oceaniopteris cartilaginea,Oceaniopteris cartilaginea,accepted,Blechnaceae,1.ferns/primitive,native,11,,,1,1,1,1,1,1,,1,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1905,2019,2020,2023,,
Oceaniopteris cartilaginea,Blechnum cartilagineum,synonym,Blechnaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Telmatoblechnum indicum,Telmatoblechnum indicum,accepted,Blechnaceae,1.ferns/primitive,native,1,,,1,1,,1,,,,1,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2023,2023,,
Telmatoblechnum indicum,Blechnum indicum,synonym,Blechnaceae,1.ferns/primitive,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Cyathea australis,Cyathea australis,accepted,Cyatheaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1895,1976,2020,2021,,
Sphaeropteris australis,Sphaeropteris australis,accepted,Cyatheaceae,1.ferns/primitive,native,,,,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1966,1976,,,,none
Sphaeropteris australis,Alsophila leichhardtiana,synonym,Cyatheaceae,1.ferns/primitive,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,
Sphaeropteris australis,Cyathea leichhardtiana,synonym,Cyatheaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Sphaeropteris cooperi,Sphaeropteris cooperi,accepted,Cyatheaceae,1.ferns/primitive,native,1,,,1,1,1,1,1,,,1,"retain, restricted license","retain, but restricted license","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1982,1982,2023,2023,,
Sphaeropteris cooperi,Cyathea cooperi,synonym,Cyatheaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Davallia solida,Davallia solida,accepted,Davalliaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,retain exact name,retain exact name,1933,1964,,,"1933 voucher geolocated just outside Royal, but notes indicate inside park",yes_correct
Dennstaedtia davallioides,Dennstaedtia davallioides,accepted,Dennstaedtiaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1942,1946,,,,yes_probably_incorrect
Histiopteris incisa,Histiopteris incisa,accepted,Dennstaedtiaceae,1.ferns/primitive,native,10,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1927,1953,2020,2023,,
Hypolepis glandulifera,Hypolepis glandulifera,accepted,Dennstaedtiaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1952,1966,,,,none
Hypolepis muelleri,Hypolepis muelleri,accepted,Dennstaedtiaceae,1.ferns/primitive,native,7,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1955,2001,2021,2023,,
