accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,sublist,year_first_record,year_last_record,year_first_voucher,year_last_voucher,year_first_iNat_obs,year_last_iNat_obs,first_record_type,last_record_type,latitude_first_record_recent_discovery,longitude_first_record_recent_discovery,latitude_last_record_long_unobserved,longitude_last_record_long_unobserved
Olearia elliptica,Olearia elliptica,accepted,Asteraceae,3.dicot,native,recent discovery,1990,1990,1990,1990,,,voucher,voucher,-34.2111,151.0139,,
Senecio glastifolius,Senecio glastifolius,accepted,Asteraceae,3.dicot,introduced,recent discovery,1991,2019,1991,2019,,,voucher,voucher,-34.09137,151.157368,,
Utricularia uniflora,Utricularia uniflora,accepted,Lentibulariaceae,3.dicot,native,recent discovery,1991,2024,1991,2012,2015,2024,voucher,iNat,-34.098424,151.084494,,
Oxalis perennans,Oxalis perennans,accepted,Oxalidaceae,3.dicot,native,recent discovery,1991,1991,1991,1991,,,voucher,voucher,-34.0703,151.0158,,
Oxalis thompsoniae,Oxalis thompsoniae,accepted,Oxalidaceae,3.dicot,native,recent discovery,1991,1992,1991,1992,,,voucher,voucher,-34.12,151,,
Pterostylis furva,Pterostylis furva,accepted,Orchidaceae,5.monocot-showy,native,recent discovery,1991,2023,1991,1991,2022,2023,voucher,iNat,-34.133333,151.066667,,
Erica lusitanica,Erica lusitanica,accepted,Ericaceae,3.dicot,introduced,recent discovery,1992,1992,1992,1992,,,voucher,voucher,-34.07,151.02,,
Utricularia oppositiflora,Utricularia oppositiflora,accepted,Lentibulariaceae,3.dicot,native,recent discovery,1992,2014,1992,2014,,,voucher,voucher,-34.115049,151.066783,,
Eucalyptus agglomerata,Eucalyptus agglomerata,accepted,Myrtaceae,3.dicot,native,recent discovery,1992,1992,1992,1992,,,voucher,voucher,-34.125,151.025,,
Lepidosperma gunnii,Lepidosperma gunnii,accepted,Cyperaceae,4.monocot-graminoid,native,recent discovery,1992,1992,1992,1992,,,voucher,voucher,-34.13,151.07,,
Burchardia umbellata,Burchardia umbellata,accepted,Colchicaceae,5.monocot-showy,native,recent discovery,1992,2023,1992,2012,2011,2023,voucher,iNat,-34.08,151.05,,
Leichhardtia suaveolens,Leichhardtia suaveolens,accepted,Apocynaceae,3.dicot,native,recent discovery,1993,2022,1993,1993,2020,2022,voucher,iNat,-34.104974,151.114707,,
Tephrosia grandiflora,Tephrosia grandiflora,accepted,Fabaceae,3.dicot,introduced,recent discovery,1993,1993,1993,1993,,,voucher,voucher,-34.088489,151.15734,,
Ageratina adenophora,Ageratina adenophora,accepted,Asteraceae,3.dicot,introduced,recent discovery,1994,2024,1994,2012,2019,2024,voucher,iNat,-34.07,151.07,,
Cabomba caroliniana,Cabomba caroliniana,accepted,Cabombaceae,3.dicot,introduced,recent discovery,1994,1994,1994,1994,,,voucher,voucher,-34.08,151.05,,
Comesperma defoliatum,Comesperma defoliatum,accepted,Polygalaceae,3.dicot,native,recent discovery,1994,1994,1994,1994,,,voucher,voucher,-34.102403,151.094169,,
Austrostipa mollis,Austrostipa mollis,accepted,Poaceae,4.monocot-graminoid,native,recent discovery,1994,1994,1994,1994,,,voucher,voucher,-34.092996,151.157242,,
Austrostipa rudis,Austrostipa rudis,accepted,Poaceae,4.monocot-graminoid,native,recent discovery,1994,1994,1994,1994,,,voucher,voucher,-34.0594,151.0503,,
Festuca fasciculata,Festuca fasciculata,accepted,Poaceae,4.monocot-graminoid,introduced,recent discovery,1994,1994,1994,1994,,,voucher,voucher,-34.0844,151.1342,,
Lagurus ovatus,Lagurus ovatus,accepted,Poaceae,4.monocot-graminoid,introduced,recent discovery,1994,1994,1994,1994,,,voucher,voucher,-34.0844,151.1342,,
Rytidosperma tenuius,Rytidosperma tenuius,accepted,Poaceae,4.monocot-graminoid,native,recent discovery,1994,1994,1994,1994,,,voucher,voucher,-34.0594,151.0503,,
Stenotaphrum secundatum,Stenotaphrum secundatum,accepted,Poaceae,4.monocot-graminoid,introduced,recent discovery,1994,2023,1994,1994,2012,2023,voucher,iNat,-34.0844,151.1342,,
Verbena bonariensis,Verbena bonariensis,accepted,Verbenaceae,3.dicot,introduced,recent discovery,1995,2022,1995,1995,2022,2022,voucher,iNat,-34.07,151.07,,
Verbena incompta,Verbena incompta,accepted,Verbenaceae,3.dicot,introduced,recent discovery,1995,1995,1995,1995,,,voucher,voucher,-34.07,151.02,,
Verbena litoralis,Verbena litoralis,accepted,Verbenaceae,3.dicot,introduced,recent discovery,1995,1995,1995,1995,,,voucher,voucher,-34.07,151.02,,
Cyperus enervis,Cyperus enervis,accepted,Cyperaceae,4.monocot-graminoid,native,recent discovery,1995,1995,1995,1995,,,voucher,voucher,-34.2,151.03,,
Scleria mackaviensis,Scleria mackaviensis,accepted,Cyperaceae,4.monocot-graminoid,native,recent discovery,1995,1995,1995,1995,,,voucher,voucher,-34.2,151.03,,
Juncus caespiticius,Juncus caespiticius,accepted,Juncaceae,4.monocot-graminoid,native,recent discovery,1995,1996,1995,1996,,,voucher,voucher,-34.2,151.03,,
Pittosporum undulatum,Pittosporum undulatum,accepted,Pittosporaceae,3.dicot,native,recent discovery,1997,2022,1997,1997,2020,2022,voucher,iNat,-34.066667,151.05,,
Juncus imbricatus,Juncus imbricatus,accepted,Juncaceae,4.monocot-graminoid,introduced,recent discovery,1998,1998,1998,1998,,,voucher,voucher,-34.166667,151.05,,
Caladenia picta,Caladenia picta,accepted,Orchidaceae,5.monocot-showy,native,recent discovery,1998,2022,1998,1998,2022,2022,voucher,iNat,-34.159535,151.078939,,
Eucalyptus robusta,Eucalyptus robusta,accepted,Myrtaceae,3.dicot,native,recent discovery,1999,1999,1999,1999,,,voucher,voucher,-34.075184,151.054686,,
Cyperus reflexus,Cyperus reflexus,accepted,Cyperaceae,4.monocot-graminoid,introduced,recent discovery,199x,199x,,,199x,199x,iNat,iNat,-34.12,151,,
Adiantum raddianum,Adiantum raddianum,accepted,Pteridaceae,1.ferns/primitive,introduced,recent discovery,2000,2000,2000,2000,,,voucher,voucher,-34.21952,151.001105,,
Pseudanthus divaricatissimus,Pseudanthus divaricatissimus,accepted,Euphorbiaceae,3.dicot,native,recent discovery,2000,2000,2000,2000,,,voucher,voucher,-34.07,151.07,,
Wilsonia rotundifolia,Wilsonia rotundifolia,accepted,Convolvulaceae,3.dicot,native,recent discovery,2001,2001,2001,2001,,,voucher,voucher,-34.123423,151.134494,,
Geranium solanderi,Geranium solanderi,accepted,Geraniaceae,3.dicot,native,recent discovery,2001,2002,2001,2002,,,voucher,voucher,-34.091125,151.152731,,
Cyclospermum leptophyllum,Cyclospermum leptophyllum,accepted,Apiaceae,3.dicot,introduced,recent discovery,2002,2021,2002,2002,2021,2021,voucher,iNat,-34.2164,151.0036,,
Ipomoea cairica,Ipomoea cairica,accepted,Convolvulaceae,3.dicot,introduced,recent discovery,2002,2002,2002,2002,,,voucher,voucher,-34.116667,151.116667,,
Medicago lupulina,Medicago lupulina,accepted,Fabaceae,3.dicot,introduced,recent discovery,2002,2002,2002,2002,,,voucher,voucher,-34.218343,151.001185,,
Medicago polymorpha,Medicago polymorpha,accepted,Fabaceae,3.dicot,introduced,recent discovery,2002,2002,2002,2002,,,voucher,voucher,-34.218343,151.001185,,
Trifolium campestre,Trifolium campestre,accepted,Fabaceae,3.dicot,introduced,recent discovery,2002,2002,2002,2002,,,voucher,voucher,-34.218343,151.001185,,
Mentha satureioides,Mentha satureioides,accepted,Lamiaceae,3.dicot,native,recent discovery,2002,2002,2002,2002,,,voucher,voucher,-34.215559,151.0081,,
Linum trigynum,Linum trigynum,accepted,Linaceae,3.dicot,introduced,recent discovery,2002,2024,2002,2002,2024,2024,voucher,iNat,-34.218343,151.001185,,
Hedychium gardnerianum,Hedychium gardnerianum,accepted,Zingiberaceae,3.dicot,introduced,recent discovery,2002,2002,2002,2002,,,voucher,voucher,-34.2164,151.0036,,
Chiloglottis diphylla,Chiloglottis diphylla,accepted,Orchidaceae,5.monocot-showy,native,recent discovery,2002,2024,2002,2006,2021,2024,voucher,iNat,-34.133333,151,,
