notes,accepted_name,scientific_name,status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,parks_outcome,voucher_outcome,old&recent,first_record,last_record,iNat_needs_ID_only,count_needs_id,synonym_matches,use_as_example,possibly_valid_needs_ID,reason_for_parks_list,iNat_endpoints,reason_for_iNat_only,iNat_needs_ID_only_verdict,summary,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needsID_only_notes,iNat_missing_in_gbif,reason_for_voucher_only_simple,taxonomic_concerns,Table2_level1,tabulated_Table2
"1971 voucher definitely from the park, but has been geolocated into the ocean, just outside the park, when digitised",Arctotheca populifolia,Arctotheca populifolia,current,Asteraceae,3.dicot,invasive,,1,,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,"add, voucher found during check",old_vouchers_only,1971,1971,none,,,,,,,,,,,,,,,,,,,,,,,,
"voucher clearly from Royal based on notes, but had been geolocated into the ocean",Cyperus enervis,Cyperus enervis,current,Cyperaceae,4.monocot,native,,1,,,1,1,,,1,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",recent_vouchers_only,1995,1995,none,,,,,,,,,,,,,,,,,,,,,,,,
"voucher clearly from Royal based on notes, but had been geolocated into the ocean",Cyperus sphaeroideus,Cyperus sphaeroideus,current,Cyperaceae,4.monocot,native,,1,,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",old_vouchers_only,1975,1975,none,,,,,,,,,,,,,,,,,,,,,,,,
"A voucher exists for this species (NSW889700; see https://openjournals.library.sydney.edu.au/TEL/article/view/6676), but seemingly not digitised",Drosera capensis,Drosera capensis,current,Droseraceae,3.dicot,invasive,,1,,,1,1,,,1,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",recent_vouchers_only,2011,2011,none,,,,,,,,,,,,,,,,,,,,,,,,
"numerous vouchers in AVH, but they get lost as APC sinks E. oblonga into E. globoidea (all other floras and treatments maintain them as separate). I retrieved these by inspecting individual records and going by the provided name",Eucalyptus oblonga,Eucalyptus oblonga,current,Myrtaceae,3.dicot,native,1,1,,1,1,1,1,1,1,,1,retain observation,retain on list,"add, voucher found during check",old&recent_vouchers,1906,1994,,,,,,,,,,,,,,,,,,,,,,,,,
"voucher clearly from Royal based on notes, but had been geolocated into the ocean",Gymnoschoenus sphaerocephalus,Gymnoschoenus sphaerocephalus,current,Cyperaceae,4.monocot,native,,1,,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",old_vouchers_only,1975,1975,none,,,,,,,,,,,,,,,,,,,,,,,,
"There is a 1974 voucher in the AVH in Royal, but inexplicably it isn't in GBIF (or at least, I cannot find it), despite seemingly not having anything wrong with it that may cause it to be excluded. Although the exact coordinates are clearly wrong, placed in the middle of the bush for a marine plant, the locality notes suggest Royal is correct",Halophila decipiens,Halophila decipiens,current,Hydrocharitaceae,5.monocot-colorful,native,,1,,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",old_vouchers_only,1974,1974,none,,,,,,,,,,,,,,,,,,,,,,,,
"both vouchers clearly from Royal based on notes, but had been geolocated into the ocean",Juncus caespiticius,Juncus caespiticius,current,Juncaceae,4.monocot,native,,1,,,1,1,,,1,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",recent_vouchers_only,1995,1996,none,,,,,,,,,,,,,,,,,,,,,,,,
"1971 voucher definitely from the park, but has been geolocated into the ocean, just outside the park, when digitised",Mitrasacme paludosa,Mitrasacme paludosa,current,Loganiaceae,3.dicot,native,,1,,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,"add, voucher found during check",old_vouchers_only,1971,1971,none,,,,,,,,,,,,,,,,,,,,,,,,
"1995 voucher definitely from the park, but has been geolocated into the ocean, just outside the park, when digitised",Scleria mackaviensis,Scleria mackaviensis,current,Cyperaceae,4.monocot,native,,1,,,1,1,,,1,,1,"XX-not in iNat, yes in park",retain on list,"add, voucher found during check",recent_vouchers_only,1995,1995,none,,,,,,,,,,,,,,,,,,,,,,,,
"Three vouchers exist for this species in Royal (see https://openjournals.library.sydney.edu.au/TEL/article/view/6675), but seemingly not digitised",Utricularia subulata,Utricularia subulata,current,Lentibulariaceae,3.dicot,invasive,1,1,,1,1,1,1,,1,,1,retain observation,retain on list,"add, voucher found during check",recent_vouchers_only,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,
"voucher clearly from Royal based on notes, but had been geolocated into the ocean",Wahlenbergia littoricola,Wahlenbergia littoricola,current,Campanulaceae,3.dicot,native,,1,,,1,1,,,1,,1,"XX-not in iNat, yes in park",retain on list,"add, voucher found during check",recent_vouchers_only,2006,2006,none,,,,,,,,,,,,,,,,,,,,,,,,
"One voucher geolocated just outside Royal to the west. However, the collection notes read as ""Local in valley, c. 1/4 way from Lilyvale to B.P. [Burning Palms]."" So clearly the coordinates should be inside Royal given Burning Palms [Beach] is actually to the east of Lilyvale, not west where the coordinates are",Xanthorrhoea macronema,Xanthorrhoea macronema,current,Xanthorrhoeaceae,5.monocot-colorful,native,6,1,,1,1,1,1,1,,,1,retain observation,retain on list,"add, voucher found during check",old_vouchers_only,1954,1954,,,,,,,,,,,,,,,,,,,,,,,,,
"There are two vouchers for which the locality notes state Jibbon Beach. This location is in Royal, and indeed is the same location as the iNaturalist observation of this species, but for some reason the coordinates have instead erroneously been placed on the headland on the opposite side of Port Hacking.",Ipomoea pes-caprae,Ipomoea pes-caprae,current,Convolvulaceae,3.dicot,invasive,1,,,1,1,1,1,1,,,1,retain observation,"retain, synonym","add, voucher found during check",old_vouchers_only,1947,1952,,,,,,,,,,,,,,,,,,,,,,,,,
"voucher clearly from Royal based on notes, but had been geolocated into the ocean",Stolonochloa pygmaea,Stolonochloa pygmaea,current,Poaceae,4.monocot,native,,,,,1,1,,1,,,1," XX-not in iNat, yes in park","retain, synonym","add, voucher found during check",old_vouchers_only,1975,1975,none,,,,,,,,,,,,,,,,,,,,,,,,
"voucher clearly from Royal based on notes, but had been geolocated into the ocean",Xanthium strumarium,Xanthium strumarium,current,Asteraceae,3.dicot,invasive,,,,,1,1,,1,,,1,"XX-not in iNat, yes in park","retain, synonym","add, voucher found during check",old_vouchers_only,1975,1975,none,,,,,,,,,,,,,,,,,,,,,,,,
"voucher geolocated into the ocean, but notes indicate in Royal. Interestingly the locality notes say 'Bulgo, below Stoney Batter Hill, S of Royal National Park', but Bulgo is actually inside the official Royal boundaries (right at the tip), not south of it",Adiantum raddianum,Adiantum raddianum,current,Pteridaceae,1.ferns/primitive,invasive,,,,,,1,,,1,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park","add, voucher found during check",recent_vouchers_only,2000,2000,none,,,,,,,,,,,,,,,,,,,,,,,,
"voucher clearly from Royal based on notes, but had been geolocated into the ocean",Celastrus subspicatus,Celastrus subspicatus,current,Celastraceae,3.dicot,native,,,,,,1,,1,,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park","add, voucher found during check",old_vouchers_only,1982,1982,none,,,,,,,,,,,,,,,,,,,,,,,,
"voucher was geolocated into ocean, but clearly from Royal based on locality notes",Crassula decumbens,Crassula decumbens,current,Crassulaceae,3.dicot,native,,,,,,1,,,1,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park","add, voucher found during check",recent_vouchers_only,2007,2007,none,,,,,,,,,,,,,,,,,,,,,,,,
"voucher from Royal, but had been geolocated just outside the park",Tephrosia grandiflora,Tephrosia grandiflora,current,Fabaceae,3.dicot,invasive,,,,,,1,,,1,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park","add, voucher found during check",recent_vouchers_only,1993,1993,none,,,,,,,,,,,,,,,,,,,,,,,,
"voucher clearly from Royal based on notes, but had been geolocated into the ocean",Tricoryne elatior,Tricoryne elatior,current,Hemerocallidaceae,5.monocot-colorful,native,1,,,1,,1,1,1,,,1,retain observation,"not on parks list, but occurs in park","add, voucher found during check",old_vouchers_only,1974,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,Acacia baileyana,Acacia baileyana,current,Fabaceae,3.dicot,invasive,6,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
"one voucher geolocated on western edge of park (outside), true location possibly inside, but locality notes too vague to gauge if actually in park",Acacia binervia,Acacia binervia,current,Fabaceae,3.dicot,native,4,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
"four vouchers right on edge of park (just outside), so presence in park is reasonable; given it's a threatened species, Keith's listing presumably from threatened species surveys",Acacia bynoeana,Acacia bynoeana,current,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Acacia decurrens,Acacia decurrens,current,Fabaceae,3.dicot,native,8,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
"two vouchers geolocated on western edge of park, true location possibly inside, but locality notes too vague to gauge if actually in park",Acacia hispidula,Acacia hispidula,current,Fabaceae,3.dicot,native,17,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acacia implexa,Acacia implexa,current,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Acacia podalyriifolia,Acacia podalyriifolia,current,Fabaceae,3.dicot,invasive,4,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acacia saligna,Acacia saligna,current,Fabaceae,3.dicot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Acianthus pusillus,Acianthus pusillus,current,Orchidaceae,5.monocot-colorful,native,5,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
"there is a known disjunct population in the park near Helensburgh, referred to in multiple orchid field guides",Adenochilus nortonii,Adenochilus nortonii,current,Orchidaceae,5.monocot-colorful,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Agapanthus praecox,Agapanthus praecox,current,Agapanthaceae,5.monocot-colorful,invasive,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aira caryophyllea,Aira caryophyllea,current,Poaceae,4.monocot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Aira praecox,Aira praecox,current,Poaceae,4.monocot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Allocasuarina paludosa,Allocasuarina paludosa,current,Casuarinaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Andropogon virginicus,Andropogon virginicus,current,Poaceae,4.monocot,invasive,2,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915 voucher that has been geolocated just outside Royal could actually be inside, as the entered coordinates don't seem to match the locality name well, but the locality is too vague to be confident of including",Aneilema acuminatum,Aneilema acuminatum,current,Commelinaceae,5.monocot-colorful,native,2,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
"no vouchers or iNat, but seems reasonable with vouchers just on the border outside the park, and eucalypts often undercollected, so the fact that it's listed as in park is unsurprising and I'm happy to retain this",Angophora bakeri,Angophora bakeri,current,Myrtaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Anthosachne scabra,Anthosachne scabra,current,Poaceae,4.monocot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Anthoxanthum odoratum,Anthoxanthum odoratum,current,Poaceae,4.monocot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Araujia sericifera,Araujia sericifera,current,Apocynaceae,3.dicot,invasive,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,current,Arecaceae,5.monocot-colorful,native,,1,,,1,,,,,,1,needsID-likely correct,retain on list,"no voucher, but exists in park",no_vouchers,,,yes_correct,,,,,,,,,,,,,,,,,,,,,,,,
,Arctotheca calendula,Arctotheca calendula,current,Asteraceae,3.dicot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Arenaria leptoclados,Arenaria leptoclados,current,Caryophyllaceae,3.dicot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Aristida ramosa ,Aristida ramosa ,current,Poaceae,4.monocot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Aristida warburgii,Aristida warburgii,current,Poaceae,4.monocot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
one voucher just outside park,Arthropteris beckleri,Arthropteris beckleri,current,Tectariaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Arundo donax,Arundo donax,current,Poaceae,4.monocot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Asparagus asparagoides,Asparagus asparagoides,current,Asparagaceae,5.monocot-colorful,invasive,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atriplex prostrata,Atriplex prostrata,current,Chenopodiaceae,3.dicot,invasive,,1,,,1,,,,,,1,needsID-likely correct,retain on list,"no voucher, but exists in park",no_vouchers,,,yes_correct,,,,,,,,,,,,,,,,,,,,,,,,
,Avicennia marina,Avicennia marina,current,Acanthaceae,3.dicot,native,10,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baloghia inophylla,Baloghia inophylla,current,Euphorbiaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Bidens pilosa,Bidens pilosa,current,Asteraceae,3.dicot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Blechnum camfieldii,Blechnum camfieldii,current,Blechnaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Blechnum minus,Blechnum minus,current,Blechnaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
"the iNat RG record had a large enough coordinate uncertainty that the circle broke the edges of Royal, and thus excluded it from my iNat download. I confirmed that the record was definitely in Royal though",Boronia parviflora,Boronia parviflora,current,Rutaceae,3.dicot,native,1,1,,,1,,1,,,,1,"add, manually obscured coordinates",retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Botrychium australe,Botrychium australe,current,Ophioglossaceae,1.ferns/primitive,native,1,1,,1,1,,1,,,,1,"retain, but restricted license",retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brachychiton acerifolius,Brachychiton acerifolius,current,Malvaceae,3.dicot,native,3,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Briza maxima,Briza maxima,current,Poaceae,4.monocot,invasive,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Briza minor,Briza minor,current,Poaceae,4.monocot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Bromus cartharticus,Bromus cartharticus,current,Poaceae,4.monocot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Bromus diandrus,Bromus diandrus,current,Poaceae,4.monocot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Bromus molliformis,Bromus molliformis,current,Poaceae,4.monocot,invasive,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,,,,,,,,,,,,,,,,,,,,,,,
,Brunoniella pumilio,Brunoniella pumilio,current,Acanthaceae,3.dicot,native,1,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,
