scientific_name,establishment_means,voucher dates (1990 cutoff),first_voucher,last_voucher,First voucher since 1990,First iNat record since 1990
Planchonella australis,native,old_vouchers_only,1888,1888,,2021
Amyema pendula,native,old_vouchers_only,1888,1888,,
Grevillea patulifolia,native,old_vouchers_only,1888,1888,,
Melicytus dentatus,native,old_vouchers_only,1888,1888,,
Austrostipa pubescens,native,old_vouchers_only,1889,1889,,
Lobelia gibbosa,native,old_vouchers_only,1889,1889,,
Persoonia linearis,native,old_vouchers_only,1890,1890,,2020
Galinsoga parviflora,introduced,old_vouchers_only,1890,1890,,
Hibiscus richardsonii,native,old_vouchers_only,1890,1890,,
Passiflora edulis,introduced,old_vouchers_only,1890,1890,,
Coopernookia barbata,native,old_vouchers_only,1891,1891,,
Stackhousia monogyna,native,old_vouchers_only,1891,1891,,
Laxmannia gracilis,native,old_vouchers_only,1888,1892,,
Cycnogeton rheophilum,native,old_vouchers_only,1893,1893,,
Myoporum acuminatum,native,old_vouchers_only,1893,1893,,
Carex appressa,native,old_vouchers_only,1893,1894,,
Lobelia simplicicaulis,native,old_vouchers_only,1894,1894,,
Cassytha melantha,native,old_vouchers_only,1895,1895,,
Persicaria prostrata ,native,old_vouchers_only,1895,1895,,
Rumex tenax,native,old_vouchers_only,1895,1895,,
Juncus bufonius,native,old_vouchers_only,1895,1895,,
Cassinia aculeata,native,old_vouchers_only,1896,1896,,
Juncus vaginatus,native,old_vouchers_only,1893,1896,,
Pomaderris elliptica,native,old_vouchers_only,1896,1896,,
Acacia maidenii,native,old_vouchers_only,1897,1897,,
Ajuga australis,native,old_vouchers_only,1897,1897,,
Carex pumila,native,old_vouchers_only,1893,1897,,
Podolepis jaceoides,native,old_vouchers_only,1897,1897,,
Santalum obtusifolium,native,old_vouchers_only,1898,1898,,2024
Leptospermum morrisonii,native,old_vouchers_only,1898,1898,,
Muehlenbeckia gracillima,native,old_vouchers_only,1889,1898,,
Persoonia hirsuta,native,old_vouchers_only,1898,1898,,
Prunella vulgaris,introduced,old_vouchers_only,1894,1899,,2021
Jacksonia scoparia,native,old_vouchers_only,1899,1899,,
Lepidium pseudotasmanicum,native,old_vouchers_only,1899,1899,,
Pennantia cunninghamii,native,old_vouchers_only,1899,1899,,
Acacia stricta,native,old_vouchers_only,1901,1901,,2020
Cyanothamnus rigens,native,old_vouchers_only,1901,1901,,
Hemarthria uncinata,native,old_vouchers_only,1902,1902,,
Amyema congener,native,old_vouchers_only,1904,1904,,2020
Adiantum silvaticum,native,old_vouchers_only,1895,1904,,
Platysace ericoides,native,old_vouchers_only,1905,1905,,2021
Dictymia brownii,native,old_vouchers_only,1905,1905,,
Isolepis fluitans,native,old_vouchers_only,1905,1905,,
Dracophyllum secundum,native,old_vouchers_only,1902,1907,,2020
Boronia barkeriana,native,old_vouchers_only,1889,1908,,
Glycine clandestina,native,old_vouchers_only,1910,1910,,2020
Calomeria amaranthoides ,native,old_vouchers_only,1910,1910,,
Carex breviculmis,native,old_vouchers_only,1911,1911,,
Dampiera purpurea,native,old_vouchers_only,1896,1913,,2020
Dendrobium striolatum,native,old_vouchers_only,1890,1914,,2021
Bossiaea rhombifolia,native,old_vouchers_only,1915,1915,,
Pteris umbrosa,native,old_vouchers_only,1897,1915,,
Rubus nebulosus,native,old_vouchers_only,1897,1920,,
Acacia brownii,native,old_vouchers_only,1921,1921,,2020
Calochilus robertsonii,native,old_vouchers_only,1921,1921,,2020
Rhytidosporum procumbens,native,old_vouchers_only,1889,1921,,2020
Epacris purpurascens,native,old_vouchers_only,1889,1921,,
Pultenaea polifolia,native,old_vouchers_only,1920,1921,,
Micromyrtus ciliata,native,old_vouchers_only,1923,1923,,
Erythrorchis cassythoides,native,old_vouchers_only,1902,1924,,2019
Pultenaea retusa,native,old_vouchers_only,1924,1924,,2022
Euphrasia collina,native,old_vouchers_only,1888,1924,,
Eucalyptus tereticornis,native,old_vouchers_only,1925,1925,,
Acacia longissima,native,old_vouchers_only,1926,1926,,2021
Sigesbeckia orientalis,native,old_vouchers_only,1888,1926,,2024
Poranthera corymbosa,native,old_vouchers_only,1927,1927,,2020
Asplenium polyodon,native,old_vouchers_only,1927,1927,,
Poa tenera,native,old_vouchers_only,1927,1927,,
Pomaderris lanigera,native,old_vouchers_only,1888,1927,,
Muellerina celastroides,native,old_vouchers_only,1928,1928,,2023
Setaria parviflora,introduced,old_vouchers_only,1928,1928,,2023
Eragrostis cilianensis,introduced,old_vouchers_only,1928,1928,,
Eragrostis trachycarpa,native,old_vouchers_only,1928,1928,,
Pomaderris ledifolia,native,old_vouchers_only,1915,1928,,
Drosera auriculata,native,old_vouchers_only,1929,1929,,2020
Rorippa gigantea,native,old_vouchers_only,1888,1929,,
Echinochloa crus-galli,introduced,old_vouchers_only,1930,1930,,
Setaria distans,native,old_vouchers_only,1930,1930,,
Digitaria parviflora,native,old_vouchers_only,1929,1931,,
Dillwynia sericea,native,old_vouchers_only,1893,1932,,
Goodenia heterophylla,native,old_vouchers_only,1933,1933,,2022
Phyllanthus hirtellus,native,old_vouchers_only,1933,1933,,2020
Coronidium gunnianum,native,old_vouchers_only,1933,1933,,
Styphelia longifolia,native,old_vouchers_only,1933,1933,,
Asplenium australasicum,native,old_vouchers_only,1934,1934,,2004
Leionema diosmeum,native,old_vouchers_only,1888,1934,,2023
Trachymene incisa,native,old_vouchers_only,1934,1934,,
Clematis aristata,native,old_vouchers_only,1935,1935,,2020
Indigofera australis,native,old_vouchers_only,1924,1936,,2004
Hovea longifolia,native,old_vouchers_only,1891,1936,,
Pomaderris andromedifolia,native,old_vouchers_only,1888,1936,,
Cenchrus clandestinus,introduced,old_vouchers_only,1937,1937,,
Phyllota grandiflora,native,old_vouchers_only,1938,1938,,2022
Acacia falcata,native,old_vouchers_only,1939,1939,,2020
Psoralea pinnata,introduced,old_vouchers_only,1913,1940,,2010
Microsorum pustulatum,native,old_vouchers_only,1942,1942,,
Pomaderris ferruginea,native,old_vouchers_only,1942,1942,,
Aegiceras corniculatum,native,old_vouchers_only,1933,1946,,2020
Dipodium punctatum,native,old_vouchers_only,1946,1946,,2021
Hovea linearis,native,old_vouchers_only,1888,1946,,2019
Stellaria flaccida,native,old_vouchers_only,1946,1946,,2020
Tristaniopsis laurina,native,old_vouchers_only,1891,1946,,2020
Crassula sieberiana,native,old_vouchers_only,1924,1946,,
Dennstaedtia davallioides,native,old_vouchers_only,1942,1946,,
Geranium potentilloides,native,old_vouchers_only,1946,1946,,
Caladenia fuscata,native,old_vouchers_only,1947,1947,,2020
Diploglottis australis,native,old_vouchers_only,1947,1947,,2022
Solanum vescum,native,old_vouchers_only,1888,1947,,2023
Thelymitra peniculata,native,old_vouchers_only,1947,1947,,2022
Thysanotus tuberosus,native,old_vouchers_only,1947,1947,,2008
Apium prostratum,native,old_vouchers_only,1936,1947,,
Acacia fimbriata,native,old_vouchers_only,1948,1948,,2019
Dianella revoluta,native,old_vouchers_only,1902,1948,,2021
Corybas hispidus,native,old_vouchers_only,1948,1948,,
Prostanthera violacea,native,old_vouchers_only,1948,1948,,
Genoplesium nudiscapum,native,old_vouchers_only,1927,1949,,
Lyperanthus suaveolens,native,old_vouchers_only,1950,1950,,2020
Astrotricha crassifolia,native,old_vouchers_only,1950,1950,,
Thelymitra venosa,native,old_vouchers_only,1950,1950,,
Wahlenbergia stricta,native,old_vouchers_only,1950,1950,,
Acacia melanoxylon,native,old_vouchers_only,1951,1951,,2020
Hakea salicifolia,native,old_vouchers_only,1888,1951,,2020
Cheilanthes distans,native,old_vouchers_only,1929,1951,,
Lepidosperma longitudinale,native,old_vouchers_only,1951,1951,,
Calystegia soldanella,native,old_vouchers_only,1952,1952,,2018
Doodia aspera,native,old_vouchers_only,1905,1952,,2020
Ipomoea pes-caprae,native,old_vouchers_only,1947,1952,,2022
Pyrrosia rupestris,native,old_vouchers_only,1905,1952,,2020
Ranunculus inundatus,native,old_vouchers_only,1952,1952,,2023
Samolus repens,native,old_vouchers_only,1947,1952,,2018
Acacia elata,native,old_vouchers_only,1952,1952,,
Darwinia grandiflora,native,old_vouchers_only,1934,1953,,2021
Dendrobium linguiforme,native,old_vouchers_only,1894,1953,,2020
Dendrobium tetragonum,native,old_vouchers_only,1947,1953,,2023
Histiopteris incisa,native,old_vouchers_only,1927,1953,,2020
Petrophile sessilis,native,old_vouchers_only,1953,1953,,2020
Pterostylis oblonga,native,old_vouchers_only,1953,1953,,2021
Todea barbara,native,old_vouchers_only,1897,1953,,2008
Notogrammitis billardierei,native,old_vouchers_only,1933,1953,,
Palhinhaea cernua,native,old_vouchers_only,1953,1953,,
Pterostylis obtusa,native,old_vouchers_only,1953,1953,,
Chiloglottis seminuda,native,old_vouchers_only,1954,1954,,2022
Xanthorrhoea macronema,native,old_vouchers_only,1954,1954,,2018
Styphelia humifusa,native,old_vouchers_only,1921,1954,,
Corybas barbarae,native,old_vouchers_only,1955,1955,,2023
Gleichenia rupestris,native,old_vouchers_only,1933,1955,,2021
Lindsaea linearis,native,old_vouchers_only,1948,1955,,2020
