accepted_name,family,establishment_means,broader,group
Adiantum raddianum,Pteridaceae,introduced,1.ferns/primitive,voucher only
Gomphrena celosioides,Amaranthaceae,introduced,3.dicot,voucher only
Centella cordifolia,Apiaceae,native,3.dicot,voucher only
Arrhenechthites mixtus,Asteraceae,native,3.dicot,voucher only
Coronidium gunnianum,Asteraceae,native,3.dicot,voucher only
Gamochaeta americana,Asteraceae,introduced,3.dicot,voucher only
Plecostachys serpyllifolia,Asteraceae,introduced,3.dicot,voucher only
Podolepis jaceoides,Asteraceae,native,3.dicot,voucher only
Tanacetum vulgare,Asteraceae,introduced,3.dicot,voucher only
Hackelia latifolia,Boraginaceae,native,3.dicot,voucher only
Lobelia simplicicaulis,Campanulaceae,native,3.dicot,voucher only
Wahlenbergia stricta,Campanulaceae,native,3.dicot,voucher only
Spergularia rubra,Caryophyllaceae,introduced,3.dicot,voucher only
Celastrus subspicatus,Celastraceae,native,3.dicot,voucher only
Stackhousia monogyna,Celastraceae,native,3.dicot,voucher only
Crassula decumbens,Crassulaceae,native,3.dicot,voucher only
Crassula peduncularis,Crassulaceae,native,3.dicot,voucher only
Hibbertia bracteata,Dilleniaceae,native,3.dicot,voucher only
Drosera hookeri,Droseraceae,native,3.dicot,voucher only
Tetratheca ericifolia,Elaeocarpaceae,native,3.dicot,voucher only
Styphelia laeta,Ericaceae,native,3.dicot,voucher only
Acacia elata,Fabaceae,native,3.dicot,voucher only
Acacia schinoides,Fabaceae,native,3.dicot,voucher only
Bossiaea prostrata,Fabaceae,native,3.dicot,voucher only
Dillwynia trichopoda,Fabaceae,native,3.dicot,voucher only
Jacksonia scoparia,Fabaceae,native,3.dicot,voucher only
Medicago lupulina,Fabaceae,introduced,3.dicot,voucher only
Medicago polymorpha,Fabaceae,introduced,3.dicot,voucher only
Platylobium parviflorum,Fabaceae,native,3.dicot,voucher only
Pultenaea ferruginea,Fabaceae,native,3.dicot,voucher only
Tephrosia grandiflora,Fabaceae,introduced,3.dicot,voucher only
Trifolium campestre,Fabaceae,introduced,3.dicot,voucher only
Geranium potentilloides,Geraniaceae,native,3.dicot,voucher only
Coopernookia barbata,Goodeniaceae,native,3.dicot,voucher only
Mentha × piperita,Lamiaceae,introduced,3.dicot,voucher only
