notes,accepted_name,scientific_name,status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,parks_outcome,voucher_outcome,old&recent,first_voucher,last_voucher,iNat_needs_ID_?,first_iNat,last_iNat
,Abrophyllum ornans,Abrophyllum ornans,current,Rousseaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1924,1978,none,,
,Acacia baileyana,Acacia baileyana,current,Fabaceae,3.dicot,introduced,6,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2020,2022
,Acacia baueri,Acacia baueri,current,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1972,1972,none,,
,Acacia binervata,Acacia binervata,current,Fabaceae,3.dicot,native,11,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1890,1967,,2020,2023
"one voucher geolocated on western edge of park (outside), true location possibly inside, but locality notes too vague to gauge if actually in park",Acacia binervia,Acacia binervia,current,Fabaceae,3.dicot,native,4,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2021,2022
,Acacia brownii,Acacia brownii,current,Fabaceae,3.dicot,native,15,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1921,1921,,2020,2023
"1969 voucher geolocated just outside the park, but notes indicate in park",Acacia bynoeana,Acacia bynoeana,current,Fabaceae,3.dicot,native,,1,1,,1,1,,1,1,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old&recent_vouchers,1969,2008,none,,
,Acacia decurrens,Acacia decurrens,current,Fabaceae,3.dicot,native,8,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2020,2024
"oldest voucher strictly in royal poylgon is 1926, but there's a 1914 voucher definitely from royal that got geolocated slightly into the ocean when digitised",Acacia echinula,Acacia echinula,current,Fabaceae,3.dicot,native,13,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1914,1967,,2021,2023
"not in park list despite 1952 voucher geolocated inside park. Verbatim locality is only Waterfall, so it's possible it's actually outside the park, but seems ok at face value, so assuming oversight by park list. No coordinate uncertainty given, and sheet not digitised",Acacia elata,Acacia elata,current,Fabaceae,3.dicot,native,,,1,,,1,,1,,,1,"XX-not in iNat, yes in park","not on parks list, but occurs in park",retain voucher,old_vouchers_only,1952,1952,none,,
,Acacia elongata,Acacia elongata,current,Fabaceae,3.dicot,native,9,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1888,1963,,2020,2023
"seems like park list oversight; although at face value the 1939 voucher could possibly be unreliable (same situation as for A. elata), there are a decent amount of iNat records that are clearly this species, so obviously does occur in park",Acacia falcata,Acacia falcata,current,Fabaceae,3.dicot,native,7,,1,1,,1,1,1,,,1,retain observation,"not on parks list, but occurs in park",retain voucher,old_vouchers_only,1939,1939,,2020,2022
,Acacia fimbriata,Acacia fimbriata,current,Fabaceae,3.dicot,native,7,,1,1,,1,1,1,,,1,retain observation,"not on parks list, but occurs in park",retain voucher,old_vouchers_only,1948,1948,,2019,2023
,Acacia floribunda,Acacia floribunda,current,Fabaceae,3.dicot,native,7,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1890,1984,,2020,2023
"two vouchers geolocated on western edge of park, true location possibly inside, but locality notes too vague to gauge if actually in park",Acacia hispidula,Acacia hispidula,current,Fabaceae,3.dicot,native,17,1,,1,1,,1,,,,1,retain observation,retain on list,"no voucher, but exists in park",no_vouchers,,,,2020,2022
,Acacia implexa,Acacia implexa,current,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none,,
,Acacia irrorata,Acacia irrorata,current,Fabaceae,3.dicot,native,29,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1897,2001,,2021,2023
"not only are the voucher coordinates wrong (coordinates on digitised sheet do not match typed coordinates, and are actually outside the park), but almost certainly a cultivated specimen",Acacia lineata,Acacia lineata,current,Fabaceae,3.dicot,out-of-range,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, wrong coordinates",(disagree with voucher),,,,,
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it. The 1908 voucher was annotated as date not supplied, but the sheet clearly indicate",Acacia linifolia,Acacia linifolia,current,Fabaceae,3.dicot,native,93,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1915,2017,,2019,2024
,Acacia longifolia,Acacia longifolia,current,Fabaceae,3.dicot,native,68,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1890,2015,,1989,2023
"similar case to some above Acacia species, there's an old record with vague locality but geolocated inside park",Acacia longissima,Acacia longissima,current,Fabaceae,3.dicot,native,2,,1,1,,1,1,1,,,1,retain observation,"not on parks list, but occurs in park",retain voucher,old_vouchers_only,1926,1926,,2021,2021
,Acacia maidenii,Acacia maidenii,current,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,needsID-likely correct,retain on list,retain voucher,old_vouchers_only,1897,1897,yes_correct,,
"the voucher coordinates on digitised sheet do not match typed coordinates, and are actually just outside the park. Verbatim locality notes also indicate currently geolocation in park is wrong (roadside Princes Highway, vs point placed in middle of forest in park)",Acacia mearnsii,Acacia mearnsii,current,Fabaceae,3.dicot,native,2,,1,1,,,1,,,,1,retain observation,"not on parks list, but occurs in park","remove, wrong coordinates",(disagree with voucher),,,,2020,2023
,Acacia melanoxylon,Acacia melanoxylon,current,Fabaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1951,1951,,2020,2020
,Acacia myrtifolia,Acacia myrtifolia,current,Fabaceae,3.dicot,native,62,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1914,2004,,2020,2024
,Acacia obtusifolia,Acacia obtusifolia,current,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1960,1960,none,,
