family,day,month,year,species,recordedBy
Rousseaceae,22,5,1924,Abrophyllum ornans,"Welch, M.B. | Cannon, D."
Rousseaceae,NA,11,1934,Abrophyllum ornans,"Frazer, L."
Rousseaceae,29,6,1935,Abrophyllum ornans,"Frazer, L."
Rousseaceae,23,12,1950,Abrophyllum ornans,"St John, H."
Rousseaceae,NA,2,1956,Abrophyllum ornans,"Williams, J.B."
Rousseaceae,27,3,1958,Abrophyllum ornans,"Evans, O.D.; Blaxell, D.F."
Rousseaceae,7,12,1978,Abrophyllum ornans,"Waterhouse, J.T.; Hindmarsh, M.M."
Fabaceae,27,6,1972,Acacia baueri,"Coveny, R.G. | Armstrong, J.A. | Gibson, S."
Fabaceae,NA,11,1890,Acacia binervata,"Betche, E."
Fabaceae,1,10,1897,Acacia binervata,"Camfield, J.H."
Fabaceae,NA,10,1897,Acacia binervata,"Deane, H.; Camfield, J.H."
Fabaceae,NA,10,1905,Acacia binervata,Unknown
Fabaceae,17,7,1946,Acacia binervata,"Johnson, L.A.S."
Fabaceae,NA,10,1964,Acacia binervata,"Coveny, R.G."
Fabaceae,NA,9,1967,Acacia binervata,"Hind, P.D."
Fabaceae,NA,8,1921,Acacia brownii,"Anderson | Boorman, J.L."
Fabaceae,24,9,1969,Acacia bynoeana,"Coveny, R.G.; COVR"
Fabaceae,27,4,2008,Acacia bynoeana,"Miller, R.T. | Miller, J."
Fabaceae,13,8,1914,Acacia echinula,"Maiden, J.H."
Fabaceae,20,8,1926,Acacia echinula,"Evans, O.D."
Fabaceae,12,8,1953,Acacia echinula,"Constable, E.F."
Fabaceae,12,8,1960,Acacia echinula,"Evans, O.D.; Blaxell, D."
Fabaceae,12,8,1960,Acacia echinula,"Evans, O.D.; Blaxell, D."
Fabaceae,12,8,1960,Acacia echinula,"Evans, O.D.; Blaxell, D."
Fabaceae,7,8,1961,Acacia echinula,"Burgess, C."
Fabaceae,12,8,1961,Acacia echinula,"Burgess, C."
Fabaceae,7,8,1967,Acacia echinula,"Coveny, R.G."
Fabaceae,NA,5,1952,Acacia elata,"Williams, J.B."
Fabaceae,15,9,1888,Acacia elongata,"Fletcher, J.J."
Fabaceae,NA,9,1888,Acacia elongata,"Deane, H."
Fabaceae,28,9,1901,Acacia elongata,"Helms, R."
Fabaceae,1,6,1914,Acacia elongata,"Smith, F.R."
Fabaceae,NA,6,1914,Acacia elongata,"Hamilton, A.A."
Fabaceae,NA,6,1914,Acacia elongata,"Hamilton, A.A."
Fabaceae,NA,6,1914,Acacia elongata,"Hamilton, A.A."
Fabaceae,NA,8,1914,Acacia elongata,"Hamilton, A.A."
Fabaceae,NA,9,1924,Acacia elongata,"Welch, M.B."
Fabaceae,5,9,1961,Acacia elongata,"Croucher, P."
Fabaceae,NA,9,1963,Acacia elongata,"Burkitt, S."
Fabaceae,12,6,1939,Acacia falcata,"Ingram, C.K."
Fabaceae,31,8,1948,Acacia fimbriata,"Constable, E.F."
Fabaceae,NA,8,1890,Acacia floribunda,Unknown
Fabaceae,NA,4,1921,Acacia floribunda,Unknown
Fabaceae,24,8,1932,Acacia floribunda,"White, C.T."
Fabaceae,31,8,1948,Acacia floribunda,"Constable, E.F.; Constable EF"
Fabaceae,31,8,1948,Acacia floribunda,"Constable, E.F.; Constable EF"
Fabaceae,31,8,1948,Acacia floribunda,"Constable, E.F.; Constable EF"
Fabaceae,31,8,1948,Acacia floribunda,"Constable, E.F.; Constable EF"
Fabaceae,24,8,1952,Acacia floribunda,"Melville, R."
Fabaceae,22,8,1955,Acacia floribunda,"Tindale, M.D."
Fabaceae,5,9,1961,Acacia floribunda,"Croucher, P."
Fabaceae,15,9,1981,Acacia floribunda,"James, T. | Coveny, R.G."
Fabaceae,28,4,1984,Acacia floribunda,"Mills, K.; MILK-NO"
Fabaceae,9,10,1897,Acacia irrorata,"Camfield, J.H."
Fabaceae,NA,2,1898,Acacia irrorata,"Hamfield, J."
Fabaceae,NA,12,1898,Acacia irrorata,"Camfield, J.H."
Fabaceae,5,2,1916,Acacia irrorata,"Cheel, E."
Fabaceae,27,10,1946,Acacia irrorata,"Tindale, M.D."
Fabaceae,27,10,1946,Acacia irrorata,"Tindale, M.D."
Fabaceae,27,10,1946,Acacia irrorata,"Tindale, M.D."
Fabaceae,27,12,1954,Acacia irrorata,"Salasoo, H."
Fabaceae,19,11,1955,Acacia irrorata,"Hotchkiss, A.T."
Fabaceae,NA,12,1958,Acacia irrorata,"McKern, J.G."
Fabaceae,27,7,1963,Acacia irrorata,"Coveny, R.G."
Fabaceae,28,3,1984,Acacia irrorata,"Mills, K.; MILK-NO"
Fabaceae,18,8,1985,Acacia irrorata,"Mills, K.; MILK-NO"
Fabaceae,21,12,1990,Acacia irrorata,"Kennedy, M. | Dart, I.; Kennedy, M.;Dart, I."
Fabaceae,14,11,2001,Acacia irrorata,"Cassis, G. | Schuh, R.T. | Schwartz, M.D. | Silveira, R. | Wall, Z."
Fabaceae,25,12,1915,Acacia linifolia,Unknown
Fabaceae,25,12,1915,Acacia linifolia,Unknown
Fabaceae,1,1,1921,Acacia linifolia,"Hamilton, A.G.;White, C.T."
Fabaceae,4,2,1928,Acacia linifolia,"Black, R.A."
Fabaceae,16,4,1931,Acacia linifolia,"Hubbard, C.E."
Fabaceae,9,5,1933,Acacia linifolia,Unknown
Fabaceae,NA,4,1951,Acacia linifolia,Unknown
Fabaceae,19,1,1960,Acacia linifolia,"Hartridge, B.M."
Fabaceae,16,2,1975,Acacia linifolia,"Good, R.B."
Fabaceae,15,9,1981,Acacia linifolia,"Coveny, R.G."
Fabaceae,13,6,1982,Acacia linifolia,NA
Fabaceae,1,8,1984,Acacia linifolia,"Mills, K.; MILK-NO"
Fabaceae,11,10,1987,Acacia linifolia,"Donabauer, Z.M."
Fabaceae,6,12,1987,Acacia linifolia,"Davies, F.E.; Davies, F.E. | Mulcahy, T."
Fabaceae,6,12,1987,Acacia linifolia,"Davies, F.E.; Davies, F.E. | Mulcahy, T."
Fabaceae,23,9,1998,Acacia linifolia,"Weston, P.H. | Bernhardt, P. | Kurzweil, H."
Fabaceae,27,9,1999,Acacia linifolia,"Adair, R.J."
Fabaceae,19,7,2008,Acacia linifolia,OLJH97031100
Fabaceae,21,1,2015,Acacia linifolia,"van der Merwe, M. | Rossetto, M. | Summerell, B. | Benson, D.H."
Fabaceae,9,11,2017,Acacia linifolia,"Pyne, T. | Bernardi, A. | Rutherford, S."
Fabaceae,13,9,1890,Acacia longifolia,"Fletcher, J.J."
Fabaceae,1,10,1971,Acacia longifolia,not known
Fabaceae,21,1,2015,Acacia longifolia,"van der Merwe, M. | Rossetto, M. | Summerell, B. | Benson, D.H."
Fabaceae,NA,9,1926,Acacia longissima,"Fuller, M."
Fabaceae,NA,3,1897,Acacia maidenii,"Cambage, R.H."
Fabaceae,1,9,1951,Acacia melanoxylon,"Salasoo, H."
Fabaceae,13,8,1914,Acacia myrtifolia,"Maiden, J.H."
Fabaceae,NA,5,1927,Acacia myrtifolia,"Fuller, M."
Fabaceae,16,4,1931,Acacia myrtifolia,"Hubbard, C.E."
Fabaceae,24,8,1932,Acacia myrtifolia,"White, C.T."
Fabaceae,26,7,1933,Acacia myrtifolia,Rodway
Fabaceae,12,6,1939,Acacia myrtifolia,"Ingram, C.K."
Fabaceae,21,8,1960,Acacia myrtifolia,"Green, J.W."
Fabaceae,15,9,1981,Acacia myrtifolia,"James, T. | Coveny, R.G."
Fabaceae,6,12,1987,Acacia myrtifolia,"Davies, F.E.; Davies, F.E. | Mulcahey, T."
Fabaceae,6,12,1987,Acacia myrtifolia,"Davies, F.E.; Davies, F.E. | Mulcahey, T."
Fabaceae,13,11,2004,Acacia myrtifolia,"McKensy, M.;Gallan, J.; Seed, L.U."
Fabaceae,4,4,1960,Acacia obtusifolia,"Burgess, C.E.B.H."
Fabaceae,NA,12,1920,Acacia parramattensis,"Clarke, G.H."
Fabaceae,21,8,1960,Acacia parramattensis,"Green, J.W."
Fabaceae,NA,8,1907,Acacia pycnantha,"Boorman, J.L."
Fabaceae,27,3,1956,Acacia pycnantha,"Organ, M."
Fabaceae,16,2,1975,Acacia schinoides,"Good, R.B."
Fabaceae,28,9,1901,Acacia stricta,"Helms, R."
Fabaceae,NA,6,1914,Acacia suaveolens,"Hamilton, A.A."
Fabaceae,10,7,1927,Acacia suaveolens,NA
Fabaceae,18,5,1933,Acacia suaveolens,F.A. Rodway
Fabaceae,16,2,1945,Acacia suaveolens,"Cowman, R. | Rodway, J."
Fabaceae,21,8,1960,Acacia suaveolens,"Green, J.W."
Fabaceae,4,5,1969,Acacia suaveolens,"Phillips, M.E.; M.E. Phillips"
Fabaceae,4,5,1969,Acacia suaveolens,"Phillips, M.E.; M.E. Phillips"
Fabaceae,16,2,1975,Acacia suaveolens,"Good, R.B."
Fabaceae,7,6,1982,Acacia suaveolens,NA
Fabaceae,13,6,1982,Acacia suaveolens,NA
Fabaceae,6,12,1987,Acacia suaveolens,"Davies, F.E.; Davies, F.E. | Mulcahy, T."
Fabaceae,6,12,1987,Acacia suaveolens,"Davies, F.E.; Davies, F.E. | Mulcahy, T."
Fabaceae,18,11,2004,Acacia suaveolens,"McKensy, M.;Seed, L.U.; Gallan, J."
Fabaceae,9,3,2005,Acacia suaveolens,"Nelson, I.I.; OPXE99012800;OPJG02091800"
