name,establishment,year_first_collection,first_collector,source
Bossiaea obcordata,native,1840,"Leichhardt, F.W.L.",voucher
Schizomeria ovata,native,1883,"Hagman, A.",voucher
Senecio vagus,native,1884,"Betche, E.",voucher
Angophora costata,native,1885,"Camfield, J.H.",voucher
Eucalyptus sieberi,native,1885,"Camfield, J.H.",voucher
Lomandra longifolia,native,1885,"Camfield, J.H.",voucher
Symphionema paludosum,native,1886,"Deane, H.",voucher
Daviesia corymbosa,native,1886,,voucher
Grevillea diffusa,native,1886,,voucher
Xanthosia pilosa,native,1887,"Betche, E.",voucher
Bossiaea ensata,native,1887,"Fletcher, J.J.",voucher
Cryptandra ericoides,native,1887,"Fletcher, J.J.",voucher
Epacris pulchella,native,1887,"Fletcher, J.J.",voucher
Hemigenia purpurea,native,1887,"Fletcher, J.J.",voucher
Leptospermum squarrosum,native,1887,"Fletcher, J.J.",voucher
Leucopogon microphyllus,native,1887,"Fletcher, J.J.",voucher
Pseudanthus pimeleoides,native,1887,"Fletcher, J.J.",voucher
Schizaea bifida,native,1887,"Fletcher, J.J.",voucher
Actinotus minor,native,1887,,voucher
Aotus ericoides,native,1887,,voucher
Burnettia cuneata,native,1887,,voucher
Lambertia formosa,native,1887,,voucher
Persoonia lanceolata,native,1887,,voucher
Laxmannia gracilis,native,1888,"Baeuerlen, W.",voucher
Haemodorum corymbosum,native,1888,Bell,voucher
Prostanthera denticulata,native,1888,"Bell, R.",voucher
Aphanopetalum resinosum,native,1888,"Betche, E.",voucher
Senecio linearifolius,native,1888,"Betche, E.",voucher
Solanum vescum,native,1888,"Betche, E.",voucher
Amyema pendula,native,1888,"Deane, H.",voucher
Darwinia fascicularis,native,1888,"Deane, H.",voucher
Gaudium trinervium,native,1888,"Deane, H.",voucher
Grevillea oleoides,native,1888,"Deane, H.",voucher
Pultenaea linophylla,native,1888,"Deane, H.",voucher
Acacia elongata,native,1888,"Fletcher, J.J.",voucher
Alphitonia excelsa,native,1888,"Fletcher, J.J.",voucher
Bauera microphylla,native,1888,"Fletcher, J.J.",voucher
Choretrum candollei,native,1888,"Fletcher, J.J.",voucher
Clematis glycinoides,native,1888,"Fletcher, J.J.",voucher
Dampiera stricta,native,1888,"Fletcher, J.J.",voucher
Eucalyptus luehmanniana,native,1888,"Fletcher, J.J.",voucher
Euphrasia collina,native,1888,"Fletcher, J.J.",voucher
Euryomyrtus ramosissima,native,1888,"Fletcher, J.J.",voucher
Grevillea patulifolia,native,1888,"Fletcher, J.J.",voucher
Hakea salicifolia,native,1888,"Fletcher, J.J.",voucher
Hakea sericea,native,1888,"Fletcher, J.J.",voucher
Hovea linearis,native,1888,"Fletcher, J.J.",voucher
Isopogon anemonifolius,native,1888,"Fletcher, J.J.",voucher
Lasiopetalum ferrugineum,native,1888,"Fletcher, J.J.",voucher
Leionema diosmeum,native,1888,"Fletcher, J.J.",voucher
Libertia paniculata,native,1888,"Fletcher, J.J.",voucher
Melaleuca squarrosa,native,1888,"Fletcher, J.J.",voucher
Olax stricta,native,1888,"Fletcher, J.J.",voucher
Oxalis chnoodes,native,1888,"Fletcher, J.J.",voucher
Ozothamnus diosmifolius,native,1888,"Fletcher, J.J.",voucher
Parsonsia straminea,native,1888,"Fletcher, J.J.",voucher
Passiflora herbertiana,native,1888,"Fletcher, J.J.",voucher
Pelargonium inodorum,native,1888,"Fletcher, J.J.",voucher
Philotheca reichenbachii,native,1888,"Fletcher, J.J.",voucher
Pigea vernonii,native,1888,"Fletcher, J.J.",voucher
Pimelea ligustrina,native,1888,"Fletcher, J.J.",voucher
Pomaderris andromedifolia,native,1888,"Fletcher, J.J.",voucher
Pomaderris discolor,native,1888,"Fletcher, J.J.",voucher
Pomaderris lanigera,native,1888,"Fletcher, J.J.",voucher
Prostanthera incisa,native,1888,"Fletcher, J.J.",voucher
Rhodamnia rubescens,native,1888,"Fletcher, J.J.",voucher
Rorippa gigantea,native,1888,"Fletcher, J.J.",voucher
Sigesbeckia orientalis,native,1888,"Fletcher, J.J.",voucher
Solanum pungetium,native,1888,"Fletcher, J.J.",voucher
Stachys arvensis,introduced,1888,"Fletcher, J.J.",voucher
Styphelia esquamata,native,1888,"Fletcher, J.J.",voucher
Thelionema umbellatum,native,1888,"Fletcher, J.J.",voucher
Viola sieberiana,native,1888,"Fletcher, J.J.",voucher
Planchonella australis,native,1888,"Hagman, A.",voucher
Bossiaea stephensonii,native,1888,"Maiden, J.H.",voucher
Conospermum ellipticum,native,1888,"Maiden, J.H.",voucher
Dillwynia floribunda,native,1888,"Maiden, J.H.",voucher
Empodisma minus,native,1888,"Maiden, J.H.",voucher
Grevillea parviflora,native,1888,"Maiden, J.H.",voucher
Hymenophyllum cupressiforme,native,1888,"Maiden, J.H.",voucher
Logania albiflora,native,1888,"Maiden, J.H.",voucher
Melicytus dentatus,native,1888,"Maiden, J.H.",voucher
Phebalium squamulosum,native,1888,"Maiden, J.H.",voucher
Pultenaea stipularis,native,1888,"Maiden, J.H.",voucher
Sporadanthus gracilis,native,1888,"Maiden, J.H.",voucher
Tetratheca neglecta,native,1888,"Maiden, J.H.",voucher
Acianthus caudatus,native,1888,,voucher
Bulbophyllum shepherdii,native,1888,,voucher
Conospermum longifolium,native,1888,,voucher
Glossodia major,native,1888,,voucher
Prostanthera densa,native,1888,,voucher
Sarcochilus parviflorus,native,1888,,voucher
Tetratheca shiressii,native,1888,,voucher
Thelymitra ixioides,native,1888,,voucher
Tristania neriifolia,native,1888,,voucher
Boronia barkeriana,native,1889,"Bell, M.",voucher
Boronia floribunda,native,1889,"Bell, M.",voucher
Lobelia gibbosa,native,1889,"Bell, M.",voucher
Austrostipa pubescens,native,1889,"Betche, E.",voucher
Epacris microphylla,native,1889,"Betche, E.",voucher
Hakea propinqua,native,1889,"Betche, E.",voucher
Muehlenbeckia gracillima,native,1889,"Betche, E.",voucher
Rhytidosporum procumbens,native,1889,"Betche, E.",voucher
Solanum stelligerum,native,1889,"Betche, E.",voucher
Styphelia angustifolia,native,1889,"Betche, E.",voucher
Baeckea imbricata,native,1889,"Fletcher, J.J.",voucher
Epacris purpurascens,native,1889,"Fletcher, J.J.",voucher
Styphelia setigera,native,1889,"Fletcher, J.J.",voucher
Wilkiea hugeliana,native,1889,"Hagman, A.",voucher
Hibiscus richardsonii,native,1890,", G.B.",voucher
Amperea xiphoclada,native,1890,"Baker, R.T.",voucher
Bossiaea heterophylla,native,1890,"Baker, R.T.",voucher
Galinsoga parviflora,native,1890,"Baker, R.T.",voucher
Breynia oblongifolia,native,1890,Bell,voucher
Acacia binervata,native,1890,"Betche, E.",voucher
Lasiopetalum rufum,native,1890,"Betche, E.",voucher
Passiflora edulis,introduced,1890,"Betche, E.",voucher
Persoonia linearis,native,1890,"Betche, E.",voucher
Lobelia andrewsii,native,1890,"Betcher, E.",voucher
Acacia longifolia,native,1890,"Fletcher, J.J.",voucher
Microsorum scandens,native,1890,"Martin, J.",voucher
Leptospermum arachnoides,native,1890,Woolls,voucher
Acacia floribunda,native,1890,,voucher
Chiloglottis formicifera,native,1890,,voucher
Dendrobium striolatum,native,1890,,voucher
Coopernookia barbata,native,1891,"Fletcher, J.J.",voucher
Clerodendrum tomentosum,native,1891,"Maiden, J.H.",voucher
Eucalyptus squamosa,native,1891,"Maiden, J.H.",voucher
Hedycarya angustifolia,native,1891,"Maiden, J.H.",voucher
Stackhousia monogyna,native,1891,"Maiden, J.H.",voucher
Tasmannia insipida,native,1891,"Maiden, J.H.",voucher
Tristaniopsis laurina,native,1891,"Maiden, J.H.",voucher
Hovea longifolia,native,1891,,voucher
Caustis recurvata,native,1892,"Forrest, J.H.",voucher
Daviesia alata,native,1892,"Forrest, J.H.",voucher
Goodenia bellidifolia,native,1892,"Forrest, J.H.",voucher
Grevillea sphacelata,native,1892,"Forrest, J.H.",voucher
Philotheca salsolifolia,native,1892,"Forrest, J.H.",voucher
Prasophyllum elatum,native,1892,"Forrest, J.H.",voucher
Sphaerolobium minus,native,1892,"Forrest, J.H.",voucher
Viminaria juncea,native,1892,"Forrest, J.H.",voucher
Pterostylis nutans,native,1892,,voucher
Coronidium rutidolepis,native,1893,"Betche, E.",voucher
Cycnogeton rheophilum,native,1893,"Betche, E.",voucher
Juncus vaginatus,native,1893,"Betche, E.",voucher
Patersonia glabrata,native,1893,"Betche, E.",voucher
Goodenia dimorpha,native,1893,"Camfield, J.H.",voucher
Hakea gibbosa,native,1893,"Camfield, J.H.",voucher
Lycopodium deuterodensum,native,1893,"Camfield, J.H.",voucher
Pultenaea tuberculata,native,1893,"Camfield, J.H.",voucher
Schelhammera undulata,native,1893,"Camfield, J.H.",voucher
Sticherus flabellatus,native,1893,"Camfield, J.H.",voucher
Synoum glandulosum,native,1893,"Camfield, J.H.",voucher
Grevillea sericea,native,1893,Clarke,voucher
Commersonia dasyphylla,native,1893,"Clarke, J.M.",voucher
Carex appressa,native,1893,"Maiden, J.H.",voucher
Polyosma cunninghamii,native,1893,"Maiden, J.H.",voucher
Pultenaea blakelyi,native,1893,"Maiden, J.H.",voucher
Carex pumila,native,1893,,voucher
Dillwynia sericea,native,1893,,voucher
Liparis reflexa,native,1893,,voucher
Myoporum acuminatum,native,1893,,voucher
Oplismenus hirtellus,native,1893,,voucher
Philotheca scabra,native,1893,,voucher
Psychotria loniceroides,native,1893,,voucher
Cyperus trinervis,native,1894,"Betche, E.",voucher
Boronia ledifolia,native,1894,"Camfield, J.H.",voucher
Juncus prismatocarpus,native,1894,"Camfield, J.H.",voucher
Persicaria decipiens,native,1894,"Camfield, J.H.",voucher
Prunella vulgaris,introduced,1894,"Camfield, J.H.",voucher
Lobelia simplicicaulis,native,1894,Froggatt,voucher
Conospermum tenuifolium,native,1894,,voucher
Dendrobium linguiforme,native,1894,,voucher
Prasophyllum patens,native,1894,,voucher
Rumex tenax,native,1895,Bell,voucher
Adiantum silvaticum,native,1895,"Betche, E.",voucher
Cassytha melantha,native,1895,"Betche, E.",voucher
Eucalyptus burgessiana,native,1895,"Betche, E.",voucher
Lepidosperma concavum,native,1895,"Betche, E.",voucher
