Park Code,Category,Order,Family,Taxa Code,Scientific Name,Synonyms,Common Name,Occurrence,Occurrence Tags,Abundance,Nativeness,Nativeness Tags,Record Status
YOSE,Vascular Plant,,,768427,Chamaesyce serpyllifolia ssp. hirtula,,,Probably Present,,,Native,,Approved
YOSE,Vascular Plant,,,158946,Lotus purshianus var. purshianus,Lotus unifoliolatus var. unifoliolatus (211435),,Present,,Common,Native,,Approved
YOSE,Vascular Plant,,Poaceae,159979,Panicum acuminatum var. acuminatum,Panicum acuminatum (187758),,Present,,Common,Native,,Approved
YOSE,Vascular Plant,,,161140,Tofieldia occidentalis ssp. occidentalis,,,Present,,Rare,Native,,Approved
YOSE,Vascular Plant,,,666343,Triglochin concinna var. debilis,Triglochin maritimum (162639),desert arrow-grass,Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Alismatales,Alismataceae,140776,Alisma plantago-aquatica,,"American waterplantain, European water plantain",Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Alismatales,Alismataceae,140802,Sagittaria cuneata,,"arumleaf arrowhead, arum-leaf arrowhead, nothern arrowhead, wapato",Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Alismatales,Alismataceae,140792,Sagittaria latifolia,,"broadleaf arrowhead, common arrowhead, duck-potato, wapato",Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Alismatales,Araceae,149496,Lemna gibba,,"inflated duckweed, swollen duckweed",Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Alismatales,Araceae,159319,Lemna minuta,,least duckweed,Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Alismatales,Juncaginaceae,141553,Lilaea scilloides,,"awl-leaf lilaea, flowering quillwort",Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Alismatales,Juncaginaceae,141547,Triglochin maritima,,"arrow-grass, seaside arrowgrass",Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Alismatales,Juncaginaceae,161155,Triglochin palustris,,,Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Alismatales,Potamogetonaceae,206640,Potamogeton alpinus ssp. tenuifolius,Potamogeton alpinus (141584),,Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Alismatales,Potamogetonaceae,206643,Potamogeton epihydrus ssp. nuttallii,Potamogeton epihydrus (141591),,Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Alismatales,Potamogetonaceae,141593,Potamogeton filiformis,Stuckenia filiformis ssp. alpina (692356),"filiform pondweed, fineleaf pondweed, threadleaf pondweed",Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Alismatales,Potamogetonaceae,664399,Potamogeton foliosus var. foliosus,,leafy pondweed,Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Alismatales,Potamogetonaceae,141597,Potamogeton gramineus,,"grassy pondweed, variableleaf pondweed",Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Alismatales,Potamogetonaceae,141570,Potamogeton natans,,"broadleaf pondweed, floating pondweed, floatingleaf pondweed",Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Alismatales,Potamogetonaceae,157468,Potamogeton pusillus var. pusillus,,,Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Alismatales,Potamogetonaceae,215145,Potamogeton pusillus var. tenuissimus,,small pondweed,Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Alismatales,Potamogetonaceae,158723,Potamogeton robbinsii,,"Robbins pondweed, Robbins' pondweed",Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,132572,Angelica breweri,,Brewer's angelica,Present,,Common,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,132583,Angelica lineariloba,,"poison angelica, Sierra angelica",Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,134723,Anthriscus caucalis,,"bur chervil, burr chervil",Present,,Uncommon,Non-native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,133391,Cicuta douglasii,,"Douglas' waterhemlock, water hemlock, western water hemlock",Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,134775,Cymopterus cinerarius,,gray springparsley,Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,225769,Cymopterus terebinthinus var. californicus,,,Present,,Common,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,133414,Daucus pusillus,,"American wild carrot, rattlesnake carrot, rattlesnake weed, southwest wild carrot",Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,133449,Foeniculum vulgare,,sweet fennel,Present,,Rare,Non-native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,134817,Heracleum lanatum,,"common cowparsnip, cow parsnip",Present,,Common,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,133474,Ligusticum grayi,,"Gray's licoriceroot, Gray's licorice-root",Present,,Common,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,134836,Lomatium congdonii,,"Congdon's lomatium, Mariposa desertparsley",Unconfirmed,,,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,210723,Lomatium dissectum var. dissectum,,fernleaf biscuitroot,Present,,Rare,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,135405,Lomatium macrocarpum,,"bigseed biscuitroot, bigseed lomatium, largefruit biscuitroot, large-fruit desert-parsley, long mamma",Probably Present,,,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,125489,Lomatium nevadense var. parishii,,Parish's biscuitroot,Probably Present,,,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,125513,Lomatium torreyi,,Sierra biscuitroot,Present,,Common,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,125517,Lomatium utriculatum,,common lomatium,Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,126354,Osmorhiza brachypoda,,"California sweetcicely, California sweet-cicely",Present,,Common,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,126355,Osmorhiza chilensis,,,Present,,Common,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,126360,Osmorhiza occidentalis,,"sweetanise, western sweetroot",Present,,Common,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,133492,Oxypolis occidentalis,,western cowbane,Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,126367,Perideridia bolanderi,,Bolander's yampah,,,,,,In Review
YOSE,Vascular Plant,Apiales,Apiaceae,126370,Perideridia bolanderi ssp. bolanderi,,Bolander's yampah,Present,,Common,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,126377,Perideridia howellii,,Howell's yampah,Present,,Uncommon,Native,,Approved
YOSE,Vascular Plant,Apiales,Apiaceae,126378,Perideridia kelloggii,,Kellogg's yampah,Not In Park,False Report,,Native,,Approved
