Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ADOXACEAE,"Sambucus nigra",L.,,205803
ADOXACEAE,"Sambucus nigra subsp. canadensis","(L.) Bolli",,207916
ADOXACEAE,"Sambucus racemosa",,,205805
ADOXACEAE,"Sambucus racemosa var. melanocarpa","(A. Gray) McMinn",,207268
ADOXACEAE,"Sambucus racemosa var. racemosa",,,205808
AGAVACEAE,"Camassia quamash","(Pursh) Greene",,202659
AGAVACEAE,"Camassia quamash subsp. quamash",,,202660
AGAVACEAE,"Chlorogalum pomeridianum","(DC.) Kunth",,202858
AGAVACEAE,"Chlorogalum pomeridianum var. pomeridianum",,,202861
ALISMATACEAE,"Alisma plantago-aquatica",L.,,201917
ALISMATACEAE,"Sagittaria cuneata",E.Sheld.,,205776
ALISMATACEAE,"Sagittaria latifolia",Willd.,,205778
ALLIACEAE,"Allium amplectens",Torr.,,201922
ALLIACEAE,"Allium campanulatum",S.Watson,,201930
ALLIACEAE,"Allium hyalinum",Curran,,201952
ALLIACEAE,"Allium obtusum",Lemmon,,201960
ALLIACEAE,"Allium obtusum var. conspicuum","Mortola & McNeal",,211600
ALLIACEAE,"Allium obtusum var. obtusum",,,211601
ALLIACEAE,"Allium tribracteatum",Torr.,,211114
ALLIACEAE,"Allium validum",S.Watson,,201973
ALLIACEAE,"Allium yosemitense",Eastw.,,211605
AMARANTHACEAE,"Amaranthus albus",L.,,111588
AMARANTHACEAE,"Amaranthus blitoides","S. Watson",,111597
AMARANTHACEAE,"Chenopodium album",L.,,112425
AMARANTHACEAE,"Chenopodium atrovirens",Rydb.,,112431
AMARANTHACEAE,"Dysphania botrys","(L.) Mosyakin & Clemants",,113338
AMARANTHACEAE,"Dysphania multifida","(L.) Mosyakin & Clemants",,113343
AMARANTHACEAE,"Dysphania pumilio","(R. Br.) Mosyakin & Clemants",,113345
AMARANTHACEAE,"Monolepis nuttalliana","(Schult.) Greene",,116338
AMARANTHACEAE,"Monolepis spathulata","A. Gray",,116340
ANACARDIACEAE,"Rhus aromatica",Aiton,,29816
ANACARDIACEAE,"Toxicodendron diversilobum","(Torr. & A. Gray) Greene",,33920
APIACEAE,"Angelica breweri","A. Gray",,202054
APIACEAE,"Angelica capitellata","(A. Gray) Spalik, Reduron & S.R.Downie",,202056
APIACEAE,"Angelica lineariloba","A. Gray",,202057
APIACEAE,"Anthriscus caucalis","M. Bieb.",,202093
APIACEAE,"Aulospermum cinerarium","(A. Gray) Coult. & Rose",,206720
APIACEAE,"Cicuta douglasii","(DC.) Coult. & Rose",,202934
APIACEAE,"Cymopterus terebinthinus","(Hook.) Torr. & Gray",,203260
APIACEAE,"Cymopterus terebinthinus var. californicus","(J.M.Coult. & Rose) Jeps.",,203262
APIACEAE,"Daucus pusillus",Michx.,,203299
APIACEAE,"Foeniculum vulgare",Mill.,,203865
