scientific_name,institutionCode,eventDate,year,locality,keep_omit,recordNumber,decimalLatitude,decimalLongitude,recordedBy_simple,recordedBy,current_name
Sequoiadendron giganteum,K,,NA,Mariposa Grove,keep,3169,37.75,-119.5,"Kuntze, O.","Kuntze, O.",Sequoiadendron giganteum
Pellaea bridgesii,PH,5/25/1910,1910,"trail to Nevada Falls, Yosemite",keep,s.n.,37.725204,-119.533772,"Stone, Witmer",Witmer Stone,Pellaea bridgesii
Aspidotis densa,PH,5/25/1915,1915,"Yosemite, trail to Nevada Falls",keep,s.n.,37.725204,-119.533772,"Stone, Witmer",Witmer Stone,Aspidotis densa
Myriopteris gracillima,PH,5/20/1910,1910,"trail to Nevada Falls, Yosemite",keep,s.n.,37.725204,-119.533772,"Stone, Witmer",Witmer Stone,Myriopteris gracillima
Torreya californica,University of Alberta Museums,7/17/1987,1987,Yosemite Valley,keep,CA-00740,37.733333,-119.75,"Bayer, Randall J.","Bayer, Randall J.;Deluca, Roberto;Lebedyk, Daniel",Torreya californica
Epipactis gigantea,MNHN,6/30/1919,1919,,keep,,37.80993,-119.76267,"Williamson, W.J.","Williamson, W.J.",Epipactis gigantea
Pellaea mucronata,NHMUK,7/23/1951,1951,"Yosemite, Wawona Tunnel",keep,3927,37.7158,-119.6858,"Dress, William John",William John Dress,Pellaea mucronata
Penstemon newberryi,,7/3/1996,1996,"Yosemite N.P., Bridalveil Creek campsite.",keep,"Wieringa, JJ; Janzen, MID  3355",37.663333,-119.616667,"Wieringa, J. J.",Wieringa JJ; Janzen MID,Penstemon newberryi
Penstemon newberryi,,7/3/1996,1996,"Yosemite N.P., Bridalveil Creek campsite.",keep,"Wieringa, JJ; Janzen, MID  3355",37.663333,-119.616667,"Wieringa, J. J.",Wieringa JJ; Janzen MID,Penstemon newberryi
Ceanothus integerrimus,,6/30/1996,1996,"Yosemite N.P., near Merced grove.",keep,"Wieringa, JJ; Janzen, MID  3352",37.745,-119.85,"Wieringa, J. J.",Wieringa JJ; Janzen MID,Ceanothus integerrimus
