accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,sublist,year_first_record,year_last_record,year_first_voucher,year_last_voucher,year_first_iNat_obs,year_last_iNat_obs,first_record_type,last_record_type,latitude_first_record_recent_discovery,longitude_first_record_recent_discovery,latitude_last_record_long_unobserved,longitude_last_record_long_unobserved
Heterotheca sessiliflora,Heterotheca sessiliflora,accepted,Asteraceae,3.dicot,native,recent discovery,1990,1990,1990,1990,,,voucher,voucher,37.6901002,-119.7532219,,
Dianthus armeria,Dianthus armeria,accepted,Caryophyllaceae,3.dicot,introduced,recent discovery,1995,2023,1995,2010,2019,2023,voucher,iNat,37.7409829,-119.5937962,,
Lepidium ramosissimum,Lepidium ramosissimum,accepted,Brassicaceae,3.dicot,introduced,recent discovery,1997,2009,1997,2009,,,voucher,voucher,37.7454712,-119.5817228,,
Polycarpon tetraphyllum,Polycarpon tetraphyllum,accepted,Caryophyllaceae,3.dicot,introduced,recent discovery,1997,1997,1997,1997,,,voucher,voucher,37.7454814,-119.5817575,,
Sedum album,Sedum album,accepted,Crassulaceae,3.dicot,introduced,recent discovery,1997,1997,1997,1997,,,voucher,voucher,37.7454712,-119.5817228,,
Persicaria hydropiper,Persicaria hydropiper,accepted,Polygonaceae,3.dicot,introduced,recent discovery,1997,2006,1997,2006,,,voucher,voucher,37.7454551,-119.5817354,,
Persicaria lapathifolia,Persicaria lapathifolia,accepted,Polygonaceae,3.dicot,native,recent discovery,1997,1998,1997,1998,,,voucher,voucher,37.7440462,-119.581482,,
Parthenocissus inserta,Parthenocissus inserta,accepted,Vitaceae,3.dicot,introduced,recent discovery,1997,1997,1997,1997,,,voucher,voucher,37.7454551,-119.5817134,,
Lolium multiflorum,Lolium multiflorum,accepted,Poaceae,4.monocot,introduced,recent discovery,1997,2002,1997,2002,,,voucher,voucher,37.7454464,-119.5817575,,
Amaranthus albus,Amaranthus albus,accepted,Amaranthaceae,3.dicot,introduced,recent discovery,1998,2010,1998,2010,,,voucher,voucher,37.722358,-119.6308,,
Anthriscus caucalis,Anthriscus caucalis,accepted,Apiaceae,3.dicot,introduced,recent discovery,1998,2022,1998,2009,2014,2022,voucher,iNat,37.740453,-119.574865,,
Foeniculum vulgare,Foeniculum vulgare,accepted,Apiaceae,3.dicot,introduced,recent discovery,1998,1998,1998,1998,,,voucher,voucher,37.740453,-119.574865,,
