accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Athyrium americanum,Athyrium americanum,current,Aspleniaceae,1.ferns/primitive,Athyrium alpestre var. americanum,native,14,9,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,22,14,1922,"Hall, Carlotta Case",2011,lisamurphy,7/28/2018,mitchm44,8/25/2023,2018,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,various,pl_1,,,,,,,,,,,,vouchers not in database-old&recent vouchers,,1922,2011,17
Athyrium angustum,Athyrium angustum,current,Aspleniaceae,1.ferns/primitive,,out-of-range,,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",,,,,,,,,,,,gbif_vouchers_only,,,,,disagree_with_has_voucher&parks_list,,v_1,wrong_ID,"no CCH2 vouchers; gbif - Rutgers University, Chrysler Herbarium",,,,,northeastern US,https://www.gbif.org/occurrence/2595761923,,,taxonomic_mismatch-mis-identification,,,1934,1934,1
Athyrium filix-femina,Athyrium filix-femina,current,Aspleniaceae,1.ferns/primitive,,native,20,1,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,41,23,1866,"Bolander, Henry Nicholas",2003,spifferella,7/10/2012,carlosdinature,8/28/2023,2012,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Athyrium filix-femina,Athyrium cyclosorum,synonym,Aspleniaceae,1.ferns/primitive,Athyrium filix femina var. cyclosorum,native,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym other list,XX-synonym retained,XX-synonym retained,,,,,,spifferella,7/10/2012,carlosdinature,8/28/2023,2012,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,"CCH: no vouchers; iNat: all observations east of crest - a few in the eastern Sierra, but mostly Great Basin; Taylor: no mention",,,,,,,,,synonym,,,,
Woodwardia fimbriata,Woodwardia fimbriata,current,Blechnaceae,1.ferns/primitive,,native,90,1,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,11,5,1911,"Hall, Carlotta Case",2008,wildlander,6/1/2007,zihanwei,2/13/2024,2007,2024,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Cystopteris fragilis,Cystopteris fragilis,current,Cystopteridaceae,1.ferns/primitive,,native,26,11,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,64,35,1866,"Bolander, Henry Nicholas",2007,greenrosettas,4/12/2014,thomastaylor1,9/6/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Pteridium feei,Pteridium feei,current,Dennstaedtiaceae,1.ferns/primitive,Aquilinum feei ; Pteridium feei,native,259,2,,1,1,1,1,1,1,,1,,retain observation,"retain, synonym",retain voucher,11,4,1906,"Head, Anna",1956,marivillasol,6/20/2008,dwdaniels,12/5/2023,2008,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,"(per TNRS, for Yosemite subspecies) - not per iNat yet",,,,,,,,,,,,1906,1956,12
Pteridium feei,Pteridium aquilinum,synonym,Dennstaedtiaceae,1.ferns/primitive,Pteridium aquilinum var. pubescens (per TNRS),native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,marivillasol,6/20/2008,dwdaniels,12/5/2023,2008,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Dryopteris arguta,Dryopteris arguta,current,Dryopteridaceae,1.ferns/primitive,,native,23,33,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,33,16,1869,"Canby, William M.",1981,greenrosettas,4/12/2014,velodrome,11/24/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1894,1981,29
Dryopteris filix mas,Dryopteris filix mas,current,Dryopteridaceae,1.ferns/primitive,,out-of-range,,1,1,,,,,,,,,,"XX-not in iNat, not in park","remove, False Report","XX-no voucher, not in park",,,,,,,,,,,,,,,,,disagree_with_park_list,,pl_1,,,,,,,,,,,,"wrong range - ""Not In Park - False Report""",,,,
Polystichum imbricans,Polystichum munitum,misapplied,Dryopteridaceae,1.ferns/primitive,misapplied to Polystichum imbricans,native,,,1,1,,misapplied,misapplied,misapplied,1,,,,"XX-not in iNat, not in park","remove, misapplied name","remove, misapplied name",,,,,,greenrosettas,4/12/2014,ljfilgas,12/14/2023,2014,2023,,,,,,disagree_with_has_voucher&parks_list,Yosemite Valley,v_3,taxonomic_mismatch-misapplied,"CCH-lots of old vouchers, but no recent ones; Taylor says name commonly misapplied to Polystichum imbricans in old literature",,,,,,,,,taxonomic_mismatch-misapplied,,,1888,1863,11
Polystichum imbricans,Polystichum imbricans,current,Dryopteridaceae,1.ferns/primitive,,native,27,14,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,33,13,1869,"Canby, William M.",2006,greenrosettas,4/12/2014,ljfilgas,12/14/2023,2014,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,various,,,,,,,,,,,,,,,1880,2006,22
Polystichum kruckebergii,Polystichum kruckebergii,current,Dryopteridaceae,1.ferns/primitive,,native,,,1,,,1,1,,1,,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,1939,"Butts, Edward C.",1939,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,,pl_1,,,iNat: scattered observations in California and Great Basin; closest in Tahoe; Taylor: voucher from Virginia Canyon on metamorphics (1939),,,,,,,,,vouchers not in database-old vouchers only,,1939,1939,1
Polystichum lonchitis,Polystichum lonchitis,current,Dryopteridaceae,1.ferns/primitive,,N/A,,,,1,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",1,1,1912,"Fitch, M. H.",1912,,,,,,,,,,,,disagree_with_has_voucher&parks_list,,v_2,wrong_ID,,"iNat: only 1 CA obs, otherwise along Candian border and northern states; CCH: 1 1912 voucher from Vernal Falls in RSA; correct label seems to be imbricans",,,,,,,,,,,1912,1912,1
Equisetum arvense,Equisetum arvense,current,Equisetaceae,1.ferns/primitive,,native,9,10,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,10,6,1897,"Congdon, Joseph Whipple",2005,jacqueline17,5/22/2016,karenoffereins,5/10/2023,2016,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Equisetum hyemale,Equisetum hyemale,current,Equisetaceae,1.ferns/primitive,Equisetum praealtum,native,82,51,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,9,4,1897,"Congdon, Joseph Whipple",2021,justin2,8/23/2004,plbuttercup,11/25/2023,2004,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Equisetum hyemale,Equisetum praealtum,synonym,Equisetaceae,1.ferns/primitive,Equisetum hyemale,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,justin2,8/23/2004,plbuttercup,11/25/2023,2004,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Equisetum laevigatum,Equisetum laevigatum,current,Equisetaceae,1.ferns/primitive,,native,6,14,1,1,1,1,1,1,1,,1,,retain observation,retain on list,retain voucher,13,6,1872,"Coulter, J. M.",1982,dalien,6/11/2019,ljfilgas,7/10/2023,2019,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,1893,1982,14
Equisetum telmateia,Equisetum telmateia,current,Equisetaceae,1.ferns/primitive,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-needsID-remove,XX-iNat needs ID only,XX-iNat needs ID only,,,,,,,,,,,,,remove,,,,IGNORE-iNAT_needsID_that_is_wrong,,,,,,,,,,,"almost 100% certainly a misID, was a CV suggestion from three years ago (species no longer suggested by CV for this observation)",,,,,,,
Equisetum x ferrissii,Equisetum x ferrissii,current,Equisetaceae,1.ferns/primitive,,native,5,1,,1,1,,1,1,1,,1,,retain observation,"not on parks list, but occurs in park",retain voucher,7,6,1865,"Torrey, John",1984,,,,,,,,,,,,(not a real name),Yosemite Valley,,,,,,,,,,,,,,,1956,1984,4
Isoetes bolanderi,Isoetes bolanderi,current,Isoetaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,56,39,1894,"Congdon, Joseph Whipple",2009,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,throughout,v_2,correct-old&recent_vouchers,"lots of vouchers in CCH2, old and recent",,,,,,,,,,,,1894,2009,63
Isoetes howellii,Isoetes howellii,current,Isoetaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,9,7,1930,"Peirson, Frank W.",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,"mainly Hetch Hetchy, Tuolumne",v_1,correct-old&recent_vouchers,"lots of vouchers in CCH2, old and recent",,,,,"various parts of California, but none in the Sierra",,,,,,,1930,2006,9
Isoetes nuttallii,Isoetes nuttallii,current,Isoetaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,9,6,1923,"Hall, Carlotta Case",2017,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,v_1,correct-old&recent_vouchers,"lots of vouchers in CCH2, old and recent",,,,,scattered observations in lower elevation Sierra Nevada - and beyond,,,,,,,,,
Isoetes occidentalis,Isoetes occidentalis,current,Isoetaceae,1.ferns/primitive,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",19,16,1922,"Hall, Carlotta Case",2009,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,throughout,pl_1,,,"Taylor, CCH: vouchers old and recent from diversity of locations",,,,,,,,,vouchers not in database-old&recent vouchers,,1922,2009,21
Marsilea vestita,Marsilea vestita,current,Marsileaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,4,2,1933,"Johnstone, George R.",2006,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,"Yosemite Valley, Hetch Hetchy",,correct-old&recent_vouchers,,,,,,,,,,,,,1933,2006,5
Botrychium ascendens,Botrychium ascendens,current,Ophioglossaceae,1.ferns/primitive,,native,,,1,,,1,1,,,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,2,2005,"Colwell, Alison",2007,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,"Virginia Cyn, Ledge Trail",pl_1,,,Taylor: Virginia Cyn & Ledge Trail vouchers,,,,,,,,,vouchers not in database,,2005,2007,2
Botrychium minganense,Botrychium minganense,current,Ophioglossaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,retain voucher,2,2,1961,"Klikoff, Lionel G.",2007,,,,,,,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list,,,correct-old&recent_vouchers,,,,,,,,,,,,,,,
Botrychium neolunaria,Botrychium neolunaria,current,Ophioglossaceae,1.ferns/primitive,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","XX-wrong ID voucher found in CCH download, not in park",1,1,1939,"Sharsmith, Carl W.",1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botrychium simplex,Botrychium simplex,current,Ophioglossaceae,1.ferns/primitive,,native,6,1,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,32,25,1898,"Congdon, Joseph Whipple",2010,calochortus_goff,7/3/2020,chloe_and_trevor,9/2/2023,2020,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Botrychium yaaxudakeit,Botrychium yaaxudakeit,current,Ophioglossaceae,1.ferns/primitive,,native,,,1,,,1,1,,,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,2007,"Colwell, Alison",2007,,,,,,,,,in Symbiota,,,agree_with_park_list&YES_vouchers_exist,Virginia Cyn,pl_1,,,iNat: Canada only; Taylor: voucher from head Viriginia Cyn - discusses disjunct pop,,,,,,,,,vouchers not in database-new vouchers only,,2007,2007,1
