accepted_name,scientific_name,taxonomic_status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,vouches_from_gbif_only,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,location_notes,notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,first_record-manual,last_record-manual
Athyrium americanum,Athyrium americanum,current,Aspleniaceae,1.ferns/primitive,Athyrium alpestre var. americanum,native,14,9,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,20,15,14,1922,"Hall, Carlotta Case",2011,lisamurphy,7/28/2018,mitchm44,8/25/2023,2018,2023,,,in Symbiota,,,various,,,,,,,,,1922,2011
Athyrium angustum,Athyrium angustum,current,Aspleniaceae,1.ferns/primitive,,out-of-range,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,,,,,,,,,gbif_vouchers_only,,,,,,"no CCH2 vouchers; gbif - Rutgers University, Chrysler Herbarium",,northeastern US,https://www.gbif.org/occurrence/2595761923,,,,taxonomic_mismatch-mis-identification,1934,1934
Athyrium filix-femina,Athyrium filix-femina,current,Aspleniaceae,1.ferns/primitive,,native,20,1,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,40,39,23,1866,"Bolander, Henry Nicholas",2003,spifferella,7/10/2012,carlosdinature,8/28/2023,2012,2023,,,in Symbiota,,,,,,,,,,,,,
Athyrium filix-femina,Athyrium cyclosorum,synonym,Aspleniaceae,1.ferns/primitive,Athyrium filix femina var. cyclosorum,native,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,spifferella,7/10/2012,carlosdinature,8/28/2023,2012,2023,,,,,,,"CCH: no vouchers; iNat: all observations east of crest - a few in the eastern Sierra, but mostly Great Basin; Taylor: no mention",,,,,,,,,
Woodwardia fimbriata,Woodwardia fimbriata,current,Blechnaceae,1.ferns/primitive,,native,90,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,11,8,5,1911,"Hall, Carlotta Case",2008,wildlander,6/1/2007,zihanwei,2/13/2024,2007,2024,,,in Symbiota,,,,,,,,,,,,,
Cystopteris fragilis,Cystopteris fragilis,current,Cystopteridaceae,1.ferns/primitive,,native,26,11,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,63,61,35,1866,"Bolander, Henry Nicholas",2007,greenrosettas,4/12/2014,thomastaylor1,9/6/2023,2014,2023,,,in Symbiota,,,,,,,,,,,,,
Pteridium feei,Pteridium feei,current,Dennstaedtiaceae,1.ferns/primitive,Aquilinum feei ; Pteridium feei,native,259,2,,1,1,1,1,1,1,,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,11,11,4,1906,"Head, Anna",1956,marivillasol,6/20/2008,dwdaniels,12/5/2023,2008,2023,,,in Symbiota,,,,"(per TNRS, for Yosemite subspecies) - not per iNat yet",,,,,,,,1906,1956
Pteridium feei,Pteridium aquilinum,synonym,Dennstaedtiaceae,1.ferns/primitive,Pteridium aquilinum var. pubescens (per TNRS); Pteridium aquilinum valid name in iNat,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,marivillasol,6/20/2008,dwdaniels,12/5/2023,2008,2023,,,,,,,,,,,,,,,,
Dryopteris arguta,Dryopteris arguta,current,Dryopteridaceae,1.ferns/primitive,,native,23,33,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,32,32,16,1869,"Canby, William M.",1981,greenrosettas,4/12/2014,velodrome,11/24/2023,2014,2023,,,in Symbiota,,,,,,,,,,,,1894,1981
Dryopteris filix mas,Dryopteris filix mas,current,Dryopteridaceae,1.ferns/primitive,,out-of-range,,1,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polystichum imbricans,Polystichum imbricans,current,Dryopteridaceae,1.ferns/primitive,,native,27,14,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,33,32,13,1869,"Canby, William M.",2006,greenrosettas,4/12/2014,ljfilgas,12/14/2023,2014,2023,,,in Symbiota,,,various,,,,,,,,,1880,2006
Polystichum imbricans,Polystichum munitum,misapplied,Dryopteridaceae,1.ferns/primitive,misapplied to Polystichum imbricans,native,,,1,1,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",taxonomic or nomenclatural error,"remove, misapplied name",taxonomic or nomenclatural error,"remove, misapplied name",,,,,,,greenrosettas,4/12/2014,ljfilgas,12/14/2023,2014,2023,,,,,,Yosemite Valley,"CCH-lots of old vouchers, but no recent ones; Taylor says name commonly misapplied to Polystichum imbricans in old literature",,,,,,,taxonomic_mismatch-misapplied,1888,1863
