accepted_name,scientific_name,taxonomic_status,family,broader,synonymy_notes,establishment_means,taxonID,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,iNat_needsID_only,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,first_voucher_collector,first_iNat_observer,last_iNat_observer,year_first_iNat,year_last_iNat,vouchers_from_gbif_only,iNat_needs_ID_only_verdict,Symbiota,iNat_missing_in_gbif,use_as_example,voucher_parklist_notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needsID_only_notes,iNat_needsID_only_notes2,taxonomic_concerns,synonyms_from_CCH
Athyrium americanum,Athyrium americanum,accepted,Aspleniaceae,1.ferns/primitive,,native,https://www.inaturalist.org/taxa/117385,14,9,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,20,15,14,1922,2011,7/28/2018,8/25/2023,"Hall, Carlotta Case",lisamurphy,mitchm44,2018,2023,,,in Symbiota,,,,,various,,,,,,Athyrium alpestre; Athyrium alpestre subsp. americanum; Athyrium alpestre var. americanum; Athyrium distentifolium; Athyrium distentifolium var. americanum
Athyrium angustum,Athyrium angustum,accepted,Aspleniaceae,1.ferns/primitive,,out-of-range,https://www.inaturalist.org/taxa/204143,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,,,,,,,,,gbif_vouchers_only,,,,,"no CCH2 vouchers; gbif - Rutgers University, Chrysler Herbarium",,northeastern US,https://www.gbif.org/occurrence/2595761923,,,,taxonomic_mismatch-mis-identification,
Athyrium filix-femina,Athyrium filix-femina,accepted,Aspleniaceae,1.ferns/primitive,,native,https://www.inaturalist.org/taxa/52669,20,1,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,40,39,23,1866,2003,7/10/2012,8/28/2023,"Bolander, Henry Nicholas",spifferella,carlosdinature,2012,2023,,,in Symbiota,,,,,,,,,,,Athyrium cyclosorum; Athyrium distentifolium subsp. americanum; Athyrium filix-femina subsp. californicum; Athyrium filix-femina subsp. cyclosorum; Athyrium filix-femina var. californicum; Athyrium filix-femina var. cyclosorum
Athyrium filix-femina,Athyrium cyclosorum,synonym,Aspleniaceae,1.ferns/primitive,Athyrium filix femina var. cyclosorum,native,https://www.inaturalist.org/taxa/52669,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,1866,2003,7/10/2012,8/28/2023,,spifferella,carlosdinature,2012,2023,,,,,,"CCH: no vouchers; iNat: all observations east of crest - a few in the eastern Sierra, but mostly Great Basin; Taylor: no mention",,,,,,,,Athyrium filix-femina var. cyclosorum
Woodwardia fimbriata,Woodwardia fimbriata,accepted,Blechnaceae,1.ferns/primitive,,native,https://www.inaturalist.org/taxa/52685,90,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,11,8,5,1911,2008,6/1/2007,2/13/2024,"Hall, Carlotta Case",wildlander,zihanwei,2007,2024,,,in Symbiota,,,,,,,,,,,
Cystopteris fragilis,Cystopteris fragilis,accepted,Cystopteridaceae,1.ferns/primitive,,native,https://www.inaturalist.org/taxa/58755,26,11,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,63,61,35,1866,1866,4/12/2014,9/6/2023,"Bolander, Henry Nicholas",greenrosettas,thomastaylor1,2014,2023,,,in Symbiota,,,,,,,,,,,
Pteridium feei,Pteridium feei,accepted,Dennstaedtiaceae,1.ferns/primitive,Aquilinum feei ; Pteridium feei,native,https://www.inaturalist.org/taxa/1002379,259,2,,1,1,1,1,1,1,,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,11,11,4,1906,1956,6/20/2008,12/5/2023,"Head, Anna",marivillasol,dwdaniels,2008,2023,,,in Symbiota,,,"(per TNRS, for Yosemite subspecies) - not per iNat yet",,,,,,,,Pteridium aquilinum; Pteridium aquilinum subsp. pubescens; Pteridium aquilinum var. pubescens; Pteris (Pteridium) aquilina (aquilinum)
Pteridium feei,Pteridium aquilinum,synonym,Dennstaedtiaceae,1.ferns/primitive,Pteridium aquilinum var. pubescens (per TNRS); Pteridium aquilinum valid name in iNat,native,https://www.inaturalist.org/taxa/1002379,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,1906,1956,6/20/2008,12/5/2023,,marivillasol,dwdaniels,2008,2023,,,,,,,,,,,,,,
Dryopteris arguta,Dryopteris arguta,accepted,Dryopteridaceae,1.ferns/primitive,,native,https://www.inaturalist.org/taxa/52671,23,33,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,32,32,16,1869,1981,4/12/2014,11/24/2023,"Canby, William M.",greenrosettas,velodrome,2014,2023,,,in Symbiota,,,,,,,,,,,
Dryopteris filix mas,Dryopteris filix mas,accepted,Dryopteridaceae,1.ferns/primitive,,out-of-range,,,1,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,,,,,,,,
