accepted_name,establishment_means,final_list,iNat_RG_END,voucher_END,old_voucher,recent_voucher,first_iNat,last_iNat,first_voucher,last_voucher,first_iNat_manual,last_iNat_manual,first_voucher_manual,last_voucher_manual,notes,count
Athyrium americanum,native,1,1,1,1,1,2018,2023,1922,2011,NA,NA,NA,NA,NA,NA
Athyrium filix-femina,native,1,1,1,1,1,2012,2023,1866,2003,NA,NA,NA,NA,NA,NA
Woodwardia fimbriata,native,1,1,1,1,1,2007,2024,1911,2008,NA,NA,NA,NA,NA,NA
Cystopteris fragilis,native,1,1,1,1,1,2014,2023,1866,1866,NA,NA,NA,NA,NA,NA
Pteridium feei,native,1,1,1,1,NA,2008,2023,1906,1956,NA,NA,NA,NA,NA,NA
Dryopteris arguta,native,1,1,1,1,NA,2014,2023,1869,1981,NA,NA,NA,NA,NA,NA
Polystichum imbricans,native,1,1,1,1,1,2014,2023,1869,2006,NA,NA,NA,NA,NA,NA
Polystichum kruckebergii,native,1,NA,1,1,NA,NA,NA,1939,1939,NA,NA,NA,NA,NA,NA
Equisetum arvense,native,1,1,1,1,1,2016,2023,1897,2005,NA,NA,NA,NA,NA,NA
Equisetum hyemale,native,1,1,1,1,1,2004,2023,1897,2021,NA,NA,NA,NA,NA,NA
Equisetum laevigatum,native,1,1,1,1,NA,2019,2023,1872,1982,NA,NA,NA,NA,NA,NA
Equisetum x ferrissii,native,1,1,1,1,NA,2015,2021,1865,1984,NA,NA,NA,NA,NA,NA
Isoetes bolanderi,native,1,NA,1,1,1,NA,NA,1894,2009,NA,NA,NA,NA,NA,NA
Isoetes howellii,native,1,NA,1,1,1,NA,NA,1930,2006,NA,NA,NA,NA,NA,NA
Isoetes nuttallii,native,1,NA,1,1,1,NA,NA,1923,2017,NA,NA,NA,NA,NA,NA
Isoetes occidentalis,native,1,NA,1,1,1,NA,NA,1922,2009,NA,NA,NA,NA,NA,NA
Marsilea vestita,native,1,NA,1,1,1,NA,NA,1933,2006,NA,NA,NA,NA,NA,NA
Botrychium ascendens,native,1,NA,1,NA,1,NA,NA,2005,2007,NA,NA,NA,NA,NA,NA
Botrychium minganense,native,1,NA,1,1,1,NA,NA,1961,2007,NA,NA,NA,NA,NA,NA
Botrychium simplex,native,1,1,1,1,1,2020,2023,1898,2010,NA,NA,NA,NA,NA,NA
Sceptridium multifidum,native,1,1,1,1,1,2014,2023,1915,2007,NA,NA,NA,NA,NA,NA
Botrychium yaaxudakeit,native,1,NA,1,NA,1,NA,NA,1923,2007,NA,NA,NA,NA,NA,NA
Polypodium californicum,native,1,NA,1,1,NA,NA,NA,1941,1965,NA,NA,NA,NA,NA,NA
Polypodium calirhiza,native,1,NA,1,1,NA,NA,NA,1924,1983,NA,NA,NA,NA,NA,NA
Polypodium hesperium,native,1,NA,1,1,NA,NA,NA,1947,1983,NA,NA,NA,NA,NA,NA
Polystichum scopulinum,native,1,NA,1,1,NA,NA,NA,1939,1939,NA,NA,NA,NA,NA,NA
Adiantum aleuticum,native,1,1,1,1,1,2007,2023,1878,2007,NA,NA,NA,NA,NA,NA
Aspidotis californica,native,1,NA,1,1,1,NA,NA,1888,2003,NA,NA,NA,NA,NA,NA
Aspidotis densa,native,1,1,1,1,1,1981,2023,1863,1863,NA,NA,NA,NA,NA,NA
Cryptogramma acrostichoides,native,1,1,1,1,1,2003,2023,1878,2007,NA,NA,NA,NA,NA,NA
Cryptogramma cascadensis,native,1,NA,1,1,1,NA,NA,1866,2007,NA,NA,NA,NA,NA,NA
Myriopteris cooperae,native,1,NA,1,1,NA,NA,NA,1897,1965,NA,NA,NA,NA,NA,NA
Myriopteris covillei,native,1,1,1,1,NA,2014,2022,1890,1965,NA,NA,NA,NA,NA,NA
Myriopteris gracillima,native,1,1,1,1,1,2009,2023,1863,1863,NA,NA,NA,NA,NA,NA
Myriopteris intertexta,native,1,1,1,1,NA,2009,2023,1878,1975,NA,NA,NA,NA,NA,NA
Pellaea andromedifolia,native,1,1,1,1,NA,2016,2023,1944,1965,NA,NA,NA,NA,NA,NA
Pellaea breweri,native,1,1,1,1,1,2021,2023,1866,2005,NA,NA,NA,NA,NA,NA
Pellaea bridgesii,native,1,1,1,1,1,1981,2023,1863,1863,NA,NA,NA,NA,NA,NA
Pellaea glaciogena,native,1,NA,1,1,1,NA,NA,1878,2005,NA,NA,NA,NA,NA,NA
Pellaea mucronata,native,1,1,1,1,NA,1981,2024,1869,1971,NA,NA,NA,NA,NA,NA
Pentagramma pallida,native,1,NA,1,1,NA,NA,NA,1946,1958,NA,NA,NA,NA,NA,NA
Pentagramma triangularis,native,1,1,1,1,1,2014,2023,1875,2001,NA,NA,NA,NA,NA,NA
Selaginella hansenii,native,1,1,1,1,1,2009,2024,1902,2009,NA,NA,NA,NA,NA,NA
Selaginella watsonii,native,1,1,1,1,1,2008,2023,1907,2005,NA,NA,NA,NA,NA,NA
Woodsia scopulina,native,1,NA,1,1,1,NA,NA,1866,2005,NA,NA,NA,NA,NA,NA
Calocedrus decurrens,native,1,1,1,1,1,2007,2024,1869,1869,NA,NA,NA,NA,NA,NA
Juniperus communis,native,1,1,1,1,1,2018,2022,1933,2005,NA,NA,NA,NA,NA,NA
Juniperus grandis,native,1,1,1,1,1,2001,2023,1865,2001,NA,NA,NA,NA,NA,NA
Sequoiadendron giganteum,native,1,1,1,1,NA,1988,2024,1880,1880,NA,NA,NA,NA,NA,NA
Abies concolor,native,1,1,1,1,NA,2006,2024,1882,1882,NA,NA,NA,NA,NA,NA
Abies magnifica,native,1,1,1,1,NA,2008,2023,1876,1973,NA,NA,NA,NA,NA,NA
Pinus albicaulis,native,1,1,1,1,NA,2010,2023,1898,1972,NA,NA,NA,NA,NA,NA
Pinus attenuata,native,1,1,1,NA,1,2014,2022,2009,2009,NA,NA,NA,NA,NA,NA
Pinus contorta,native,1,1,1,1,NA,2006,2023,1864,1987,NA,NA,NA,NA,NA,NA
Pinus jeffreyi,native,1,1,1,1,NA,1975,2023,1866,1866,NA,NA,NA,NA,NA,NA
Pinus lambertiana,native,1,1,1,1,NA,2007,2023,1880,1880,NA,NA,NA,NA,NA,NA
Pinus monophylla,native,1,NA,1,1,NA,NA,NA,1909,1962,NA,NA,NA,NA,NA,NA
Pinus monticola,native,1,1,1,1,NA,2009,2023,1894,1971,NA,NA,NA,NA,NA,NA
Pinus ponderosa,native,1,1,1,1,NA,2007,2023,1896,1967,NA,NA,NA,NA,NA,NA
Pinus sabiniana,native,1,1,1,1,NA,2009,2023,1914,1944,NA,NA,NA,NA,NA,NA
Pseudotsuga menziesii,native,1,1,1,1,NA,2013,2023,1869,1869,NA,NA,NA,NA,NA,NA
Tsuga mertensiana,native,1,1,1,1,NA,2006,2023,1890,1963,NA,NA,NA,NA,NA,NA
Taxus brevifolia,native,1,NA,1,1,NA,NA,NA,1874,1874,NA,NA,NA,NA,NA,NA
Torreya californica,native,1,1,1,1,NA,2007,2024,1870,1870,NA,NA,NA,NA,NA,NA
