accepted_name,family,broader,establishment_means,taxonID,park_list,voucher_exists,iNat_RG_record_exists
Athyrium americanum,Aspleniaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/117385,1,1,1
Athyrium filix-femina,Aspleniaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/52669,1,1,1
Woodwardia fimbriata,Blechnaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/52685,1,1,1
Cystopteris fragilis,Cystopteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/58755,1,1,1
Pteridium feei,Dennstaedtiaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/1002379,1,1,1
Dryopteris arguta,Dryopteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/52671,1,1,1
Polystichum imbricans,Dryopteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/58763,1,1,1
Polystichum kruckebergii,Dryopteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/78696,1,1,
Equisetum arvense,Equisetaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/52724,1,1,1
Equisetum hyemale,Equisetaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/52673,1,1,1
Equisetum laevigatum,Equisetaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/63870,1,1,1
Equisetum x ferrissii,Equisetaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/181476,,1,1
Isoetes bolanderi,Isoetaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/77512,1,1,
Isoetes howellii,Isoetaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/63823,1,1,
Isoetes nuttallii,Isoetaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/63827,1,1,
Isoetes occidentalis,Isoetaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/77514,1,1,
Marsilea vestita,Marsileaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/60111,1,1,
Botrychium ascendens,Ophioglossaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/75844,1,1,
Botrychium minganense,Ophioglossaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/75847,1,1,
Botrychium simplex,Ophioglossaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/75852,1,1,1
Botrychium yaaxudakeit,Ophioglossaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/75854,1,1,1
Botrychium yaaxudakeit,Ophioglossaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/75854,1,1,
Polypodium californicum,Polypodiaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/57216,1,1,
Polypodium calirhiza,Polypodiaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/52678,1,1,
Polypodium hesperium,Polypodiaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/78693,1,1,
Polystichum scopulinum,Polypodiaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/78698,,1,
Adiantum aleuticum,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/52667,1,1,1
Adiantum jordanii,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/56032,1,,
Aspidotis californica,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/58758,1,1,
Aspidotis densa,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/63868,1,1,1
Cryptogramma acrostichoides,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/76536,1,1,1
Cryptogramma cascadensis,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/76537,1,1,
Myriopteris cooperae,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/481700,,1,
Myriopteris covillei,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/481701,1,1,1
Myriopteris gracillima,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/472796,1,1,1
Myriopteris intertexta,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/481710,1,1,1
Pellaea andromedifolia,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/57231,1,1,1
Pellaea breweri,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/78384,1,1,1
Pellaea bridgesii,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/78385,1,1,1
Pellaea glaciogena,Pteridaceae,1.ferns/primitive,native,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:288140-2,,1,
Pellaea mucronata,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/57236,1,1,1
Pentagramma pallida,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/58766,1,1,
Pentagramma triangularis,Pteridaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/52676,1,1,1
Selaginella hansenii,Selaginellaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/79037,1,1,1
Selaginella watsonii,Selaginellaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/79041,1,1,1
Woodsia oregana,Woodsiaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/79532,1,,
Woodsia scopulina,Woodsiaceae,1.ferns/primitive,native,https://www.inaturalist.org/taxa/79534,1,1,
Calocedrus decurrens,Cupressaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/53723,1,1,1
Juniperus communis,Cupressaceae,2.gymnosperm,native,https://www.inaturalist.org/taxa/58725,1,1,1
