scientific_name,observed_on,latitude,longitude,source,latitude-old,longitude-old,locality,institutionCode,x,establishment_means
Acer circinatum,1/1/2020,37.74724,-119.57478,voucher,37.74724,-119.57478,"Yosemite National Park: Yosemite Valley, Yosemite Village, grounds of the Ahwahnee Hotel; Half Dome, CA 7.5' USGS quadrangle.",UCJEPS,correct,native
Acmispon brachycarpus,6/27/2021,37.50460063,-119.6096942,iNat,NA,NA,NA,NA,NA,native
Adelinia grandis,4/28/2023,37.50167117,-119.6187489,iNat,NA,NA,NA,NA,NA,native
Agrostis capillaris,1/1/2019,37.746754,-119.574392,voucher,37.746754,-119.574392,"Yosemite National Park. Ahwahnee Hotel, Yosemite Valley. Sierra Nevada.",CDA,correct,introduced
Ailanthus altissima,9/5/2021,37.74709667,-119.5756533,iNat,NA,NA,NA,NA,NA,introduced
Ajuga reptans,1/1/2020,37.55091,-119.64759,voucher,37.55091,-119.64759,"Yosemite National Park: Wawona, along Spelt Road near its far northerly end, growing just below the bridge into residential area east of the unnamed perennial (blue-line) stream; Wawona, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Alopecurus geniculatus,1/1/2020,37.53511,-119.65902,voucher,37.53511,-119.65902,"Yosemite National Park: Wawona, along the golf course, in a saturated flat mowed site along the perennial creek crossing the 6th fairway; Wawona, CA 7.5' USGS quadrangle",UCJEPS,correct,introduced
Amaranthus albus,1/1/2019,37.722358,-119.6308,voucher,37.722358,-119.6308,"NORTHSIDE DRIVE, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; 25 M FROM ROAD IN EL CAPITAN MEADOW; FULLY EXPOSED, DRY, SANDY SOIL.",YM,correct,introduced
Amaranthus retroflexus,10/2/2023,37.74186668,-119.5646433,iNat,NA,NA,NA,NA,NA,introduced
Andropogon virginicus,1/1/2020,37.895447,-119.86454,voucher,37.895447,-119.86454,"Near the Western park boundary on the North side of the Tuolumne River, just upstream from river mile 111.",UCJEPS,correct,introduced
Anemone drummondii,1/1/2020,38.067307,-119.34945,voucher,38.067307,-119.34945,"Yosemite National Park; Below east flank of Virginia Peak, head of Virginia Canyon",UCJEPS,correct,native
Angelica lineariloba,7/18/2020,38.06906411,-119.3737086,iNat,NA,NA,NA,NA,NA,native
Anthriscus caucalis,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA. 30M ABOVE THE ENTRANCE; GROWING IN SANDY SEDIMENT FROM 1997 FLOOD; SCATTERED PINUS PONDEROSA.",YM,correct,introduced
Aphyllon epigalium,7/31/2011,37.7448272,-119.5895118,iNat,NA,NA,NA,NA,NA,native
Aphyllon franciscanum,1/1/2020,37.747533,-119.820777,voucher,37.747533,-119.820777,"Yosemite National Park. Headwaters of Moss Creek, Hwy 120/Big Oak Flat Road, 3.3 km west of intersection with Tioga Pass Road. Site accessed from pullout on south side of highway, follow old logging road 1 km south to rim of ridge and drop down south slope.",DAV,correct,native
Arabidopsis thaliana,1/1/2020,37.71521,-119.65971,voucher,37.71521,-119.65971,"Yosemite National Park: Yosemite Valley, Bridalveil, edge of woods on South side of Southside drive in the vicinity of Moss Spring; El Capitan, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Arabis pycnocarpa,1/1/2019,37.719232,-119.626742,voucher,37.719232,-119.626742,"SOUTHSIDE DRIVE, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; FOUND ADJACENT TO ROAD; FLAT, DRY AREA.",YM,correct,native
Aralia californica,1/1/2020,37.9150959,-119.8135719,voucher,NA,NA,Stream on East side of trail leading into Poopenaut Valley. Datum: NAD83.,YM,added,native
Arum italicum,1/1/2020,37.74895,-119.58599,voucher,37.74895,-119.58599,"Yosemite National Park: Yosemite Valley, Yosemite Village, vicinity of Apartment B (situate ca. 50 meters North of the Post Office)",YM,correct,introduced
Asparagus officinalis,7/26/2022,37.74741333,-119.59195,iNat,NA,NA,NA,NA,NA,introduced
Astragalus purshii,1/1/2020,38.063283,-119.332889,voucher,38.063283,-119.332889,"VIRGINIA PASS, YOSEMITE NATIONAL PARK",YM,correct,native
Bellis perennis,1/1/2020,37.53589,-119.65775,voucher,37.53589,-119.65775,"Yosemite National Park: Wawona, along the golf course, along the western margin of the 9th fairway north of Old Stagecoash Road; Wawona, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Boechera covillei,1/1/2020,37.72988,-119.39213,voucher,37.72988,-119.39213,"Yosemite National Park: vicinity Merced Lake Ranger Station (1 mile up canyon from the Merced Lake Ranger Station, upslope and east of the John Muir Trail); Merced Peak, CA 7.5' USGS quadrangle .",UCJEPS,correct,native
Botrychium ascendens,1/1/2020,38.068366,-119.350034,voucher,38.068366,-119.350034,"HEAD OF VIRGINIA CANYON, YOSEMITE NATIONAL PARK",YM,correct,native
Botrychium yaaxudakeit,1/1/2020,38.0674,-119.3504,voucher,38.0674,-119.3504,"Top of bench at head of Virginia Canyon, at base of talus slope of east flank of Virginia Peak.",UCJEPS,correct,native
Brassica nigra,1/1/2020,37.67913,-119.75975,voucher,37.67913,-119.75975,"western border Yosemite National Park, along the Merced River Canyon on the terrace of the river adjacent to Highway 140, just ca. 10 meters inside the park boundary",DWT,correct,introduced
Bromus catharticus,1/1/2019,37.875474,-119.34373,voucher,37.875474,-119.34373,"GOVERNMENT CORRALS, TUOLUMNE MEADOWS, YOSEMITE NATIONAL PARK, CALIFORNIA. SW CORNER OF CORRAL, GROWING IN A LARGE PILE OF HORSE MANURE. ONLY 2 INDIVIDUALS. PINUS CONTORTA OVERSTORY.",YM,correct,introduced
Bromus porteri,1/1/2020,37.87861,-119.27361,voucher,37.87861,-119.27361,"Yosemite National park, Dana Meadows, just below turnout overlook on the Tioga Road int he vicinity of Benchmark 9451; Tioga Pass 7.5' USGS quadrangle",UCJEPS,correct,native
Bromus pumpellianus,8/4/2018,37.774122,-119.260639,iNat,NA,NA,NA,NA,NA,introduced
Bromus sterilis,1/1/2019,37.722358,-119.6308,voucher,37.722358,-119.6308,"NORTHSIDE DRIVE, YOSEMITE VALLEY, YOSEMITE VALLEY; APPROXIMATELY 400 M EAST OF W END OF EL CAPITAN MEADOW; IMMEDIATELY ADJACENT TO ROAD.",YM,correct,introduced
Cardamine hirsuta,11/23/2019,37.73077637,-119.5598452,iNat,NA,NA,NA,NA,NA,introduced
Carduus pycnocephalus,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA. 30M ABOVE THE ENTRANCE; GROWING IN SANDY SEDIMENT FROM 1997 FLOOD; SCATTERED PINUS PONDEROSA.",YM,correct,introduced
Carex albonigra,1/1/2020,37.891632,-119.21249,voucher,37.891632,-119.21249,"Head of valley between Mount Dana and Mount Gibbs, Dana Fork of the Tuolumne River.",UCJEPS,correct,native
Carex diandra,1/1/2020,37.9111,-119.2569,voucher,37.9111,-119.2569,In the vicinity of Tioga Pass.,CDA,correct,native
Carex orestera,1/1/2020,37.891743,-119.213253,voucher,37.891743,-119.213253,"Head of valley between Mount Dana and Mount Gibbs just below saddle, Dana Fork of the Tuolumne. Datum: NAD83. GPS Error: 1 M.",YM,correct,native
Carex tahoensis,1/1/2020,38.068466,-119.33963,voucher,38.068466,-119.33963,Yosemite National Park; Ridge northwest of Virginia Pass,UCJEPS,correct,native
Castilleja attenuata,1/1/2020,37.561897,-119.68885,voucher,37.561897,-119.68885,"Yosemite National Park; West-facing ridge e of Wawona road, approx. 4 km nw of Wawona/2.3 km w of turner ridge",UCJEPS,correct,native
Centaurea cyanus,4/13/2021,37.69298333,-119.727305,iNat,NA,NA,NA,NA,NA,introduced
Centaurea solstitialis,1/1/2019,37.688447,-119.699472,voucher,37.688447,-119.699472,"WAWONA ROAD BETWEEN GROUSE CREEK AND AVALANCHE CREEK, YOSEMITE NATIONAL PARK, CALIFORNIA; APPROX. 3.8 KM S OF GROUSE CREEK; SANDY SOIL IMMEDIATELY ADJACENT TO ROAD; ASSOCIATED SPECIES: LOTUS CRASSIFOLIUS, BROMUS TECTORUM.",YM,fairly correct,introduced
Centaurea stoebe,1/1/2019,37.698611,-119.751944,voucher,37.698611,-119.751944,Sierra Nevada. Found in garden in the vicinity of Foresta (Yosemite). T03S R20E S03,CHSC,correct,introduced
Cephalanthus occidentalis,1/1/2020,37.895447,-119.86454,voucher,37.895447,-119.86454,"Near the Western park boundary on the North side of the Tuolumne River, just upstream from river mile 111.",UCJEPS,correct,native
Chenopodium desiccatum,1/1/2020,37.7468471,-119.587711,voucher,NA,NA,"Yosemite Valley, Northside Drive, East side of Cooks Meadow. North side of the road. UTM Z/E/N",UCJEPS,added,native
Chenopodium pratericola,1/1/2020,37.746812,-119.587318,voucher,37.746812,-119.587318,"Yosemite valley, Northside Drive, East side of Cooks Meadow. North side of the road",YM,correct,native
Cinna latifolia,1/1/2020,37.74593,-119.72287,voucher,37.74593,-119.72287,"Tamarack Flat, along the old now abandonded Big Oak Flat ca. 1 mile Southeast of the Tamarack Flat Campground, in a meadow below (west) of the road alignment",RENO,correct,native
Clarkia cylindrica,5/17/2019,37.72724978,-119.7566685,iNat,NA,NA,NA,NA,NA,native
Crassula aquatica,1/1/2020,37.97966,-119.88049,voucher,37.97966,-119.88049,"Yosemite National Park, Lake Eleanor; western shore of the reservoir near the outlet tunnel entrance; Cherry Lake South 7.5' USGS quadrangle.",UCJEPS,correct,native
Cuscuta jepsonii,1/1/2020,37.52929,-119.6567,voucher,37.52929,-119.6567,"Yosemite National Park, Wawona; along Chowchilla Mountain road 0.6 road miles from the junction with Highway 41",UCJEPS,correct,native
Cuscuta suksdorfii,1/1/2020,37.8263,-119.4991,voucher,37.8263,-119.4991,Snow Flat,UCJEPS,correct,native
Cyperus eragrostis,1/1/2020,37.895447,-119.86454,voucher,37.895447,-119.86454,"Near the Western park boundary on the North side of the Tuolumne River, just upstream from river mile 111.",UCJEPS,correct,native
Cytisus scoparius,1/1/2020,37.55046,-119.6476,voucher,37.55046,-119.6476,"Yosemite National Park: Wawona, along Spelt Road near its far northerly end; Wawona, CA 7.5' USGS quadrangle",UCJEPS,correct,introduced
Datura wrightii,1/1/2020,37.71974,-119.659134,voucher,37.71974,-119.659134,"Yosemite Valley, Black Spring (lower end of the valley, Yosemite National Park)",UCJEPS,correct,native
Descurainia sophia,1/1/2020,37.75043,-119.58944,voucher,37.75043,-119.58944,"Yosemite National Park: Yosemite Valley, vicinity of the government stables in Yosemite Village; Half Dome, CA 7.5' USGS quadrangle",UCJEPS,correct,introduced
Dianthus armeria,1/1/2019,37.7409829,-119.5937962,voucher,37.734165,-119.583885,meadow north of Merced River on floor of Yosemite Valley 0.3 miles below Sentinel Bridge; Yosemite National Park,UCJEPS,moved,introduced
Dianthus barbatus,1/1/2019,37.738714,-119.56289,voucher,37.738714,-119.56289,"CONCESSION CORRAL, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; IMMEDIATELY ADJACENT TO FENCED YARD; MOIST SOIL; ASSOCIATED SPECIES: AGROSTIS GIGANTEA, CAREX SP.",YM,correct,introduced
Diplacus kelloggii,4/10/2019,37.69148347,-119.7608381,iNat,NA,NA,NA,NA,NA,native
Distichlis spicata,1/1/2020,37.864716,-119.30666,voucher,37.864716,-119.30666,"Yosemite National Park; Mineral spring near John Muir trail in Lyell Canyon, 1.4 km e of Rafferty Creek",UCJEPS,correct,native
Draba cana,1/1/2020,37.8923618,-119.209725,voucher,2.346684,-85.472227,Saddle between Mt. Dana and Mt. Gibbs,YM,moved,native
Elatine chilensis,1/1/2020,37.97966,-119.88049,voucher,37.97966,-119.88049,"Yosemite National Park, Lake Eleanor; western shore of the reservoir near the outlet tunnel entrance; Cherry Lake South 7.5' USGS quadrangle.",UCJEPS,correct,native
Elatine rubella,1/1/2020,37.90551,-119.25497,voucher,37.90551,-119.25497,"Yosemite National Park, Tioga Pass, small pond (Knapp No. 72744) 0.4 miles SE for the entrance station; Tioga Pass 7.5' USGS quadrangle.",UCJEPS,correct,native
Eleocharis ovata,1/1/2020,37.97966,-119.88049,voucher,37.97966,-119.88049,"Lake Eleanor; Yosemite National Park, western shore of the reservoir near the tunnel entrance. USGS Quadrangle: meadow area below the ordinary high water mark of the reservoir",YM,correct,native
Eleocharis parishii,1/1/2020,37.6601,-119.660675,voucher,37.6601,-119.660675,"Yosemite National Park, meadow near Glacier Point road, monroe meadows, Badger Pass ski area",UCJEPS,correct,native
Elodea canadensis,1/1/2020,37.96477,-119.82852,voucher,37.96477,-119.82852,"Yosemite National Park, Gravel Pit Lake; Lake Eleanor 7.5' USGS quadrangle.",UCJEPS,correct,native
Epilobium howellii,1/1/2020,37.866238,-119.332466,voucher,37.866238,-119.332466,"Yosemite National Park; 200 m s of pacific crest trail crossing of the Lyell fork of the Tuolumne River, Tuolumne Meadows",UCJEPS,correct,native
Epilobium saximontanum,1/1/2020,38.166873,-119.61619,voucher,38.166873,-119.61619,"RIDGE SW OF BOND PASS, YOSEMITE NATIONAL PARK",YM,correct,native
Epipactis helleborine,1/1/2020,37.74417,-119.57769,voucher,37.74417,-119.57769,"Yosemite National Park: Yosemite Valley, western end of the former site of Lower River Campground (situated S of Northside Drive directly opposite Ahwahnee Meadow); Half Dome, CA 7.5' USGS quadrangle",UCJEPS,correct,introduced
Erigeron clokeyi,1/1/2020,38.161703,-119.62138,voucher,38.161703,-119.62138,"1 KM SW OF BOND PASS, YOSEMITE NATIONAL PARK",YM,correct,native
Eriogonum gracile,1/1/2020,37.74702,-119.588109,voucher,37.74702,-119.588109,Yosemite Valley. Northside Drive near eastern end of Cook's meadow,YM,correct,native
Eriogonum microtheca,7/21/2021,37.90202305,-119.2259261,iNat,NA,NA,NA,NA,NA,native
Erythranthe androsacea,1/1/2020,37.71499,-119.67816,voucher,37.71499,-119.67816,"Yosemite National Park; Yosemite Valley, Discovery View, ca. 200 meters up (west) the Inspiration Point trail from the parking area; El Capitan, CA 7.5' USGS quadrangle.",UCJEPS,correct,native
Erythranthe rubella,7/5/2019,37.89024667,-119.38742,iNat,NA,NA,NA,NA,NA,native
Festuca viridula,1/1/2020,38.173615,-119.610445,voucher,38.173615,-119.610445,"Bond Pass, Emigrant Wilderness. Also downslope along the Dorothy Lake trail and in upper Virginia Canyon, , Yosemite National Park",CAS,correct,native
Foeniculum vulgare,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; NEAR BATHROOM; MOIST, SANDY SOIL (SAND FROM 1997 FLOOD).",YM,correct,introduced
Fritillaria pinetorum,1/1/2020,37.8874655,-119.2156477,voucher,NA,NA,"Valley between Mount Dana and Mount Gibbs, Dana Fork of the Tuolumne River. Datum: NAD83.",YM,added,native
Genista linifolia,1/1/2020,37.74692,-119.58135,voucher,37.74692,-119.58135,"Yosemite National Park: Yosemite Valley, Yosemite Village, far western margin Ahwahnee Meadow, in the yard of one of the cottages (Tecoya housing area) fronting the meadow [the dwellings with the billion dollar view of Half Dome]; Half Dome, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Geranium robertianum,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; 200M SOUTH OF CG ENTRANCE; LEVEL; SANDY; ACER MACROPHYLUM AND PINUS PONDEROSA CANOPY; AREA FLOODED IN 1997.",YM,correct,introduced
Githopsis diffusa,1/1/2020,37.69735,-119.75879,voucher,37.69735,-119.75879,"Foresta, little used dirt road on far western margin of the settled area, Yosemite National Park",UCJEPS,correct,native
Hemitomes congestum,7/10/2016,37.69273297,-119.6288995,iNat,NA,NA,NA,NA,NA,native
Hesperevax acaulis,1/1/2020,37.69735,-119.75879,voucher,37.69735,-119.75879,"Foresta, little used dirt road on far western margin of the settled area, Yosemite National Park",UCJEPS,correct,native
