starting_name,family_TNRS,current_name,infra_taxa,name_source,in_Yosemite_list,outcome,broader,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,notes
Athyrium alpestre,Aspleniaceae,Athyrium americanum,x,CCH_synonym,FALSE,changed current name,1.ferns/primitive,3,2,2006,"Grossenbacher, Dena",2007,
Athyrium alpestre subsp. americanum,Aspleniaceae,Athyrium americanum,x,CCH_synonym,FALSE,changed current name,1.ferns/primitive,4,1,1927,"Michael, Enid",1963,
Athyrium alpestre var. americanum,Aspleniaceae,Athyrium americanum,x,CCH_synonym,FALSE,changed current name,1.ferns/primitive,3,,1933,"Sharsmith, Carl W.",1959,
Athyrium americanum,Aspleniaceae,Athyrium americanum,x,CCH_synonym,FALSE,changed current name,1.ferns/primitive,5,1,1922,"Hall, C. C.",1940,
Athyrium distentifolium,Aspleniaceae,Athyrium americanum,x,CCH_synonym,FALSE,changed current name,1.ferns/primitive,1,1,2011,"Colwell, Alison",2011,
Athyrium distentifolium var. americanum,Aspleniaceae,Athyrium americanum,x,CCH_synonym,FALSE,changed current name,1.ferns/primitive,10,8,1922,"Hall, Carlotta Case",2011,
Athyrium angustum,Aspleniaceae,Athyrium angustum,,from_gbif,,,1.ferns/primitive,,,,,,
Athyrium cyclosorum,Aspleniaceae,Athyrium filix-femina,var. cyclosorum,via_gbif,,,1.ferns/primitive,,,,,,
Athyrium distentifolium subsp. americanum,Aspleniaceae,Athyrium filix-femina,var. cyclosorum,CCH_synonym,TRUE,,1.ferns/primitive,3,2,1935,"Augustine, W. B.",1967,
Athyrium filix-femina,Aspleniaceae,Athyrium filix-femina,var. cyclosorum,CCH_synonym,TRUE,,1.ferns/primitive,12,6,1923,"Michael, Enid",2003,
Athyrium filix-femina subsp. californicum,Aspleniaceae,Athyrium filix-femina,var. cyclosorum,CCH_synonym,TRUE,,1.ferns/primitive,3,,1959,"Smith, Gladys L.",1968,
Athyrium filix-femina subsp. cyclosorum,Aspleniaceae,Athyrium filix-femina,var. cyclosorum,CCH_synonym,TRUE,,1.ferns/primitive,6,2,1922,"Hall, C. C.",1959,
Athyrium filix-femina var. californicum,Aspleniaceae,Athyrium filix-femina,var. cyclosorum,TNRS_synonym,TRUE,,1.ferns/primitive,1,,1923,"Munz, Philip Alexander",1923,
Athyrium filix-femina var. cyclosorum,Aspleniaceae,Athyrium filix-femina,var. cyclosorum,CCH_synonym,TRUE,,1.ferns/primitive,20,10,1866,"Bolander, Henry Nicholas",1965,
Woodwardia fimbriata,Blechnaceae,Woodwardia fimbriata,,CCH_synonym,TRUE,,1.ferns/primitive,11,5,1911,"Hall, Carlotta Case",2008,
Cystopteris fragilis,Cystopteridaceae,Cystopteris fragilis,,CCH_synonym,TRUE,,1.ferns/primitive,66,33,1866,"Bolander, Henry Nicholas",2007,
Pteridium aquilinum,Dennstaedtiaceae,Pteridium feei,,CCH_synonym,TRUE,Yosemite-area match only,1.ferns/primitive,3,,1906,"Head, Anna",1956,
Pteridium aquilinum subsp. pubescens,Dennstaedtiaceae,Pteridium feei,,CCH_synonym,FALSE,changed current name,1.ferns/primitive,2,,1944,"Sharsmith, Carl W.",1944,
Pteridium aquilinum var. feei,Dennstaedtiaceae,Pteridium feei,,CCH_synonym,TRUE,,1.ferns/primitive,5,3,1922,"Hall, Carlotta Case",1944,
Pteridium aquilinum var. pubescens,Dennstaedtiaceae,Pteridium feei,,,,,1.ferns/primitive,,,,,,
Pteris (Pteridium) aquilina (aquilinum),Dennstaedtiaceae,Pteridium feei,,TNRS_synonym,TRUE,,1.ferns/primitive,1,,1921,"Peirson, Frank W.",1921,
Dryopteris arguta,Dryopteridaceae,Dryopteris arguta,,CCH_synonym,TRUE,,1.ferns/primitive,29,12,1894,"Dudley, William R.",1981,
Polystichum imbricans,Dryopteridaceae,Polystichum imbricans,,CCH_synonym,TRUE,,1.ferns/primitive,4,1,1880,"Cleveland, Daniel",2006,
Polystichum imbricans subsp. curtum,Dryopteridaceae,Polystichum imbricans,,CCH_synonym,TRUE,,1.ferns/primitive,4,2,1879,unknown,1963,
Polystichum imbricans subsp. imbricans,Dryopteridaceae,Polystichum imbricans,,CCH_synonym,TRUE,,1.ferns/primitive,18,5,1880,"Cleveland, Daniel",1971,
Polystichum munitum,Dryopteridaceae,Polystichum imbricans,,CCH_synonym,TRUE,,1.ferns/primitive,10,4,1888,"Congdon, Joseph Whipple",1963,
Polystichum munitum subsp. imbricans,Dryopteridaceae,Polystichum imbricans,,CCH_synonym,TRUE,,1.ferns/primitive,3,1,1936,"Pierce, J. H.",1958,
Polystichum munitum subsp. nudatum,Dryopteridaceae,Polystichum imbricans,,CCH_synonym,TRUE,,1.ferns/primitive,3,1,1956,"Rodin, Robert J.",1958,
Polystichum kruckebergii,Dryopteridaceae,Polystichum kruckebergii,,CCH_synonym,TRUE,,1.ferns/primitive,1,1,1939,"Butts, Edward C.",1939,
Polystichum lonchitis,Dryopteridaceae,Polystichum lonchitis,,TNRS_synonym,TRUE,,1.ferns/primitive,1,1,1912,"Fitch, M. H.",1912,
Equisetum arvense,Equisetaceae,Equisetum arvense,,CCH_synonym,TRUE,,1.ferns/primitive,11,7,1897,"Congdon, Joseph Whipple",2005,
Equisetum hyemale,Equisetaceae,Equisetum hyemale,,CCH_synonym,TRUE,,1.ferns/primitive,2,1,1957,"Rodin, Robert J.",1963,
