accepted_name,family,establishment_means,broader,group
Polystichum scopulinum,Polypodiaceae,native,1.ferns/primitive,voucher only
Myriopteris cooperae,Pteridaceae,native,1.ferns/primitive,voucher only
Pellaea glaciogena,Pteridaceae,native,1.ferns/primitive,voucher only
Taxus brevifolia,Taxaceae,native,2.gymnosperm,voucher only
Chenopodium desiccatum,Amaranthaceae,native,3.dicot,voucher only
Chenopodium pratericola,Amaranthaceae,native,3.dicot,voucher only
Hedera helix,Araliaceae,introduced,3.dicot,voucher only
Centaurea stoebe,Asteraceae,introduced,3.dicot,voucher only
Hesperevax acaulis,Asteraceae,native,3.dicot,voucher only
Hieracium murorum,Asteraceae,introduced,3.dicot,voucher only
Malacothrix clevelandii,Asteraceae,native,3.dicot,voucher only
Psilocarphus brevissimus,Asteraceae,native,3.dicot,voucher only
Psilocarphus oregonus,Asteraceae,native,3.dicot,voucher only
Psilocarphus tenellus,Asteraceae,native,3.dicot,voucher only
Solidago stricta,Asteraceae,introduced,3.dicot,voucher only
Stephanomeria exigua,Asteraceae,native,3.dicot,voucher only
Plagiobothrys bracteatus,Boraginaceae,native,3.dicot,voucher only
Plagiobothrys tenellus,Boraginaceae,native,3.dicot,voucher only
Barbarea vulgaris,Brassicaceae,introduced,3.dicot,voucher only
Boechera covillei,Brassicaceae,native,3.dicot,voucher only
Boechera perennans,Brassicaceae,native,3.dicot,voucher only
Boechera pratincola,Brassicaceae,native,3.dicot,voucher only
Boechera tularensis,Brassicaceae,native,3.dicot,voucher only
Cardamine nuttallii,Brassicaceae,native,3.dicot,voucher only
Descurainia sophia,Brassicaceae,introduced,3.dicot,voucher only
Draba cana,Brassicaceae,native,3.dicot,voucher only
Draba longisquamosa,Brassicaceae,native,3.dicot,voucher only
Lepidium ruderale,Brassicaceae,introduced,3.dicot,voucher only
Raphanus sativus,Brassicaceae,introduced,3.dicot,voucher only
Rorippa sinuata,Brassicaceae,native,3.dicot,voucher only
Sisymbrium erysimoides,Brassicaceae,introduced,3.dicot,voucher only
Sisymbrium irio,Brassicaceae,introduced,3.dicot,voucher only
Tomostima reptans,Brassicaceae,native,3.dicot,voucher only
Githopsis diffusa,Campanulaceae,native,3.dicot,voucher only
Petrorhagia dubia,Caryophyllaceae,introduced,3.dicot,voucher only
Sagina procumbens,Caryophyllaceae,introduced,3.dicot,voucher only
Scleranthus annuus,Caryophyllaceae,introduced,3.dicot,voucher only
Cuscuta jepsonii,Convolvulaceae,native,3.dicot,voucher only
Crassula aquatica,Crassulaceae,native,3.dicot,voucher only
Sedum album,Crassulaceae,introduced,3.dicot,voucher only
Elatine chilensis,Elatinaceae,native,3.dicot,voucher only
Elatine rubella,Elatinaceae,native,3.dicot,voucher only
Arctostaphylos manzanita,Ericaceae,native,3.dicot,voucher only
Arctostaphylos mewukka,Ericaceae,native,3.dicot,voucher only
Vaccinium shastense,Ericaceae,native,3.dicot,voucher only
Acmispon micranthus,Fabaceae,native,3.dicot,voucher only
Genista linifolia,Fabaceae,introduced,3.dicot,voucher only
Melilotus albus,Fabaceae,introduced,3.dicot,voucher only
Robinia pseudoacacia,Fabaceae,introduced,3.dicot,voucher only
Quercus x morehus,Fagaceae,native,3.dicot,voucher only
Garrya flavescens,Garryaceae,native,3.dicot,voucher only
Juglans hindsii,Juglandaceae,introduced,3.dicot,voucher only
Ajuga reptans,Lamiaceae,introduced,3.dicot,voucher only
Monardella candicans,Lamiaceae,native,3.dicot,voucher only
Nepeta cataria,Lamiaceae,introduced,3.dicot,voucher only
Stachys rigida,Lamiaceae,native,3.dicot,voucher only
Lythrum portula,Lythraceae,introduced,3.dicot,voucher only
Syringa vulgaris,Oleaceae,introduced,3.dicot,voucher only
Epilobium torreyi,Onagraceae,native,3.dicot,voucher only
Castilleja arachnoidea,Orobanchaceae,native,3.dicot,voucher only
Cordylanthus pilosus,Orobanchaceae,native,3.dicot,voucher only
Oxalis albicans,Oxalidaceae,native,3.dicot,voucher only
Oxalis dillenii,Oxalidaceae,introduced,3.dicot,voucher only
Oxalis stricta,Oxalidaceae,introduced,3.dicot,voucher only
Erythranthe acutidens,Phrymaceae,native,3.dicot,voucher only
Erythranthe androsacea,Phrymaceae,native,3.dicot,voucher only
Veronica filiformis,Plantaginaceae,introduced,3.dicot,voucher only
Navarretia crystallina,Polemoniaceae,native,3.dicot,voucher only
Navarretia linearifolia,Polemoniaceae,native,3.dicot,voucher only
Eriogonum gracile,Polygonaceae,native,3.dicot,voucher only
Polygonum parryi,Polygonaceae,native,3.dicot,voucher only
Rumex utahensis,Polygonaceae,native,3.dicot,voucher only
Primula pauciflora,Primulaceae,native,3.dicot,voucher only
Delphinium hesperium,Ranunculaceae,native,3.dicot,voucher only
