scientific_name,observed_on,latitude,longitude,source,establishment_means
Acer circinatum,2010-01-01,37.74724,-119.57478,voucher,native
Acmispon brachycarpus,2021-06-27,37.5046006291,-119.6096941949,iNat,native
Adelinia grandis,2023-04-28,37.5016711699,-119.618748855,iNat,native
Agrostis capillaris,1998-01-01,37.746754,-119.574392,voucher,introduced
Ailanthus altissima,2021-09-05,37.7470966667,-119.5756533333,iNat,introduced
Ajuga reptans,2010-01-01,37.55091,-119.64759,voucher,introduced
Alopecurus geniculatus,2010-01-01,37.53511,-119.65902,voucher,introduced
Amaranthus albus,1998-01-01,37.722358,-119.6308,voucher,introduced
Amaranthus retroflexus,2023-10-02,37.74186668,-119.56464325,iNat,introduced
Andropogon virginicus,2006-01-01,37.895447,-119.86454,voucher,introduced
Anemone drummondii,2005-01-01,38.067307,-119.34945,voucher,native
Angelica lineariloba,2020-07-18,38.0690641121,-119.3737086171,iNat,native
Anthriscus caucalis,1998-01-01,37.740453,-119.574865,voucher,introduced
Aphyllon epigalium,2014-06-19,37.9711028333,-119.69275335,iNat,native
Aphyllon franciscanum,2009-05-16,37.980401,-119.791609,iNat,native
Arabidopsis thaliana,2009-01-01,37.71521,-119.65971,voucher,introduced
Arabis pycnocarpa,1998-01-01,37.719232,-119.626742,voucher,native
Arum italicum,2009-01-01,37.74895,-119.58599,voucher,introduced
Asparagus officinalis,2022-07-26,37.7474133333,-119.59195,iNat,introduced
Astragalus purshii,2005-01-01,38.063283,-119.332889,voucher,native
Bellis perennis,2010-01-01,37.53589,-119.65775,voucher,introduced
Boechera covillei,2010-01-01,37.72988,-119.39213,voucher,native
Botrychium ascendens,2005-01-01,38.068366,-119.350034,voucher,native
Botrychium yaaxudakeit,2007-01-01,38.0674,-119.3504,voucher,native
Brassica nigra,2002-01-01,37.67913,-119.75975,voucher,introduced
Bromus catharticus,1999-01-01,37.875474,-119.34373,voucher,introduced
Bromus porteri,2008-01-01,37.87861,-119.27361,voucher,native
Bromus pumpellianus,2018-08-04,37.774122,-119.260639,iNat,introduced
Bromus sterilis,1998-01-01,37.722358,-119.6308,voucher,introduced
Cardamine hirsuta,2019-11-23,37.7307763744,-119.5598452339,iNat,introduced
Carduus pycnocephalus,1998-01-01,37.740453,-119.574865,voucher,introduced
Carex albonigra,2006-01-01,37.891632,-119.21249,voucher,native
Carex diandra,2003-01-01,37.9111,-119.2569,voucher,native
Carex orestera,2006-01-01,37.891743,-119.213253,voucher,native
Carex tahoensis,2005-01-01,38.068466,-119.33963,voucher,native
Castilleja attenuata,2005-01-01,37.561897,-119.68885,voucher,native
Centaurea cyanus,2021-04-13,37.6929833333,-119.727305,iNat,introduced
Centaurea solstitialis,1998-01-01,37.688447,-119.699472,voucher,introduced
Centaurea stoebe,1998-01-01,37.698611,-119.751944,voucher,introduced
Cephalanthus occidentalis,2006-01-01,37.895447,-119.86454,voucher,native
Chenopodium desiccatum,2009-01-01,37.746812,-119.587318,voucher,native
Chenopodium pratericola,2009-01-01,37.746812,-119.587318,voucher,native
Cinna latifolia,2004-01-01,37.74593,-119.72287,voucher,native
Clarkia cylindrica,2019-05-17,37.7272497811,-119.7566685453,iNat,native
Crassula aquatica,2008-01-01,37.97966,-119.88049,voucher,native
Cuscuta jepsonii,2009-01-01,37.52929,-119.6567,voucher,native
Cuscuta suksdorfii,2004-01-01,37.8263,-119.4991,voucher,native
Cyperus eragrostis,2006-01-01,37.895447,-119.86454,voucher,native
Cytisus scoparius,2010-01-01,37.55046,-119.6476,voucher,introduced
Datura wrightii,2002-01-01,37.71974,-119.659134,voucher,native
Descurainia sophia,2009-01-01,37.75043,-119.58944,voucher,introduced
Dianthus armeria,1995-01-01,37.734165,-119.583885,voucher,introduced
Dianthus barbatus,1998-01-01,37.738714,-119.56289,voucher,introduced
Diplacus kelloggii,2019-04-10,37.691483467,-119.7608381376,iNat,native
Distichlis spicata,2005-01-01,37.864716,-119.30666,voucher,native
Elatine chilensis,2008-01-01,37.97966,-119.88049,voucher,native
Elatine rubella,2008-01-01,37.90551,-119.25497,voucher,native
Eleocharis ovata,2008-01-01,37.97966,-119.88049,voucher,native
Eleocharis parishii,2004-01-01,37.6601,-119.660675,voucher,native
Elodea canadensis,2008-01-01,37.96477,-119.82852,voucher,native
Epilobium howellii,2005-01-01,37.866238,-119.332466,voucher,native
Epilobium saximontanum,2005-01-01,38.166873,-119.61619,voucher,native
