year,re_finds_per_year,total_re_finds_to_date,remaining
1990,47,47,1577
1991,14,61,1530
1992,5,66,1516
1993,20,86,1511
1994,17,103,1491
1995,11,114,1474
1996,5,119,1463
1997,28,147,1458
1998,132,279,1430
1999,53,332,1298
2001,2,334,1245
2002,31,365,1243
2003,98,463,1212
2004,82,545,1114
2005,171,716,1032
2006,130,846,861
2007,72,918,731
2008,26,944,659
2009,61,1005,633
2010,61,1066,572
2011,10,1076,511
2012,5,1081,501
2014,6,1087,496
2015,1,1088,490
2017,3,1091,489
2021,7,1098,486
2023,2,1100,479
2024,,,477
