id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
4597099,2009/07/15 5:57 PM -0700,2009-07-15,2009-07-16 00:57:00 UTC,Arizona,16743,wildmarin,Todd Plummer,2016-11-19 02:15:18 UTC,2016-11-19 20:17:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4597099,https://inaturalist-open-data.s3.amazonaws.com/photos/5556483/medium.jpg,,"",,2,0,false,,"Tuolumne County, CA, USA",37.8398681264,-119.8390198424,973,,,,973,,,false,,,Common Yarrow,Achillea millefolium,common yarrow,Plantae,52821,Asteraceae,Achillea,Achillea millefolium,
4597100,2009/07/15 5:57 PM -0700,2009-07-15,2009-07-16 00:57:00 UTC,Arizona,16743,wildmarin,Todd Plummer,2016-11-19 02:15:18 UTC,2016-11-19 20:19:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4597100,https://inaturalist-open-data.s3.amazonaws.com/photos/5556493/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8398681264,-119.8390198424,973,,,,973,,,false,,,nettle-leaf giant hyssop,Agastache urticifolia,nettle-leaf giant hyssop,Plantae,63316,Lamiaceae,Agastache,Agastache urticifolia,
4597104,2009/07/15 5:57 PM -0700,2009-07-15,2009-07-16 00:57:00 UTC,Arizona,16743,wildmarin,Todd Plummer,2016-11-19 02:15:20 UTC,2018-05-23 00:39:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4597104,https://inaturalist-open-data.s3.amazonaws.com/photos/5556501/medium.jpg,,"",,2,0,false,,"Tuolumne County, CA, USA",37.8398681264,-119.8390198424,973,,,,973,,,false,,,Superb Mariposa Lily,Calochortus superbus,Superb Mariposa Lily,Plantae,51078,Liliaceae,Calochortus,Calochortus superbus,
4597106,2009/07/15 5:57 PM -0700,2009-07-15,2009-07-16 00:57:00 UTC,Arizona,16743,wildmarin,Todd Plummer,2016-11-19 02:15:20 UTC,2019-02-02 19:44:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4597106,https://inaturalist-open-data.s3.amazonaws.com/photos/5556504/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8398681264,-119.8390198424,973,,,,973,,,false,,,Leopard Lily,Lilium pardalinum,Leopard Lily,Plantae,57129,Liliaceae,Lilium,Lilium pardalinum,
4597107,2009/07/15 5:57 PM -0700,2009-07-15,2009-07-16 00:57:00 UTC,Arizona,16743,wildmarin,Todd Plummer,2016-11-19 02:15:21 UTC,2016-11-19 05:25:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4597107,https://inaturalist-open-data.s3.amazonaws.com/photos/5556506/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",37.8398681264,-119.8390198424,973,,,,973,,,false,,,Western Columbine,Aquilegia formosa,western columbine,Plantae,48244,Ranunculaceae,Aquilegia,Aquilegia formosa,
5615426,2016/05/21 6:11 PM PDT,2016-05-21,2016-05-22 01:11:00 UTC,Pacific Time (US & Canada),445492,snsheth,Seema Sheth,2017-04-08 21:36:46 UTC,2023-08-26 13:39:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5615426,https://inaturalist-open-data.s3.amazonaws.com/photos/6940682/medium.jpg,,"",,3,0,false,,"Tuolumne County, CA, USA",37.8357277778,-119.8492666667,,,,,,,,false,,,Prettyface,Triteleia ixioides,Prettyface,Plantae,52153,Asparagaceae,Triteleia,Triteleia ixioides,
6117609,2017/04/28 8:23 AM UTC,2017-04-28,,UTC,235833,kalibardo,,2017-05-06 23:34:50 UTC,2024-05-22 13:14:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6117609,https://inaturalist-open-data.s3.amazonaws.com/photos/7657454/medium.jpeg,,"",Just a few of these sticking above the duff. ,2,0,false,,"Tuolumne County, CA, USA",37.837,-119.848,250,,,,250,,,false,,,Snowplant,Sarcodes sanguinea,Snowplant,Plantae,49472,Ericaceae,Sarcodes,Sarcodes sanguinea,
6724492,2017-06-17 1:14:00 PM PDT,2017-06-17,2017-06-17 20:14:00 UTC,Pacific Time (US & Canada),24754,dgreenberger,David Greenberger,2017-06-20 01:38:25 UTC,2017-06-20 16:40:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6724492,https://inaturalist-open-data.s3.amazonaws.com/photos/8536086/medium.jpeg,,"",,1,0,false,2,"Forest Route 1S25 Groveland, CA 95321",37.8353538513,-119.8466110229,,,,,,,,false,gps,gps,Sagebrush indian paintbrush,Castilleja lineariloba,Linear-lobed Owl's-clover,Plantae,58327,Orobanchaceae,Castilleja,Castilleja lineariloba,
6724494,2017-06-17 1:15:38 PM PDT,2017-06-17,2017-06-17 20:15:38 UTC,Pacific Time (US & Canada),24754,dgreenberger,David Greenberger,2017-06-20 01:38:26 UTC,2017-06-20 01:55:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6724494,https://inaturalist-open-data.s3.amazonaws.com/photos/8536092/medium.jpg,,"",,1,0,false,2,"Forest Route 1S25 Groveland, CA 95321",37.8354225159,-119.845916748,,,,,,,,false,gps,gps,bluehead gilia,Gilia capitata pedemontana,,Plantae,57800,Polemoniaceae,Gilia,Gilia capitata,Gilia capitata pedemontana
6730429,2017-06-17 1:24:08 PM PDT,2017-06-17,2017-06-17 20:24:08 UTC,Pacific Time (US & Canada),24754,dgreenberger,David Greenberger,2017-06-20 15:19:10 UTC,2019-05-30 21:54:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6730429,https://inaturalist-open-data.s3.amazonaws.com/photos/8544957/medium.jpg,,"",,1,0,false,2,"Forest Route 1S25 Groveland, CA 95321",37.8356285095,-119.8461227417,,,,,,,,false,gps,gps,Whiskerbrush,Leptosiphon ciliatus,Whiskerbrush,Plantae,77684,Polemoniaceae,Leptosiphon,Leptosiphon ciliatus,
