institutionCode,collectionCode,basisOfRecord,family,species,day,month,year,decimalLatitude,decimalLongitude
UCJEPS,VASC,PreservedSpecimen,Salicaceae,Salix petrophila,29,7,1931,37.755202,-119.339828
UCJEPS,VASC,PreservedSpecimen,Salicaceae,Salix petrophila,28,7,1931,37.755202,-119.339828
YM,,PreservedSpecimen,Onagraceae,Epilobium anagallidifolium,28,7,1935,37.7796,-119.3406
YM,,PreservedSpecimen,Fabaceae,Lupinus latifolius,28,7,1935,37.7796,-119.3406
YM,,PreservedSpecimen,Salicaceae,Salix lemmonii,28,7,1935,37.779584,-119.340621
YM,,PreservedSpecimen,Salicaceae,Salix planifolia,27,7,1935,37.779584,-119.340621
YM,,PreservedSpecimen,Asteraceae,Hulsea algida,25,8,1935,37.739661,-119.316095
YM,,PreservedSpecimen,Cyperaceae,Carex helleri,NA,NA,NA,37.739423,-119.320215
YM,,PreservedSpecimen,Cyperaceae,Carex phaeocephala,25,8,1935,37.739423,-119.320215
YM,,PreservedSpecimen,Brassicaceae,Draba lemmonii,25,8,1935,37.739423,-119.320215
YM,,PreservedSpecimen,Brassicaceae,Draba lemmonii,25,8,1935,37.739423,-119.320215
UCJEPS,VASC,PreservedSpecimen,Juncaceae,Juncus parryi,31,8,2011,37.779136,-119.32044
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Ericameria suffruticosa,12,9,1935,37.792799,-119.320079
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Artemisia spiciformis,12,9,1935,37.792799,-119.320079
UCJEPS,VASC,PreservedSpecimen,Brassicaceae,Streptanthus tortuosus,1,7,1931,37.74,-119.31528
UCJEPS,VASC,PreservedSpecimen,Polygonaceae,Polygonum shastense,1,7,1931,37.74,-119.31528
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Raillardella scaposa,1,7,1931,37.74,-119.31528
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Ericameria suffruticosa,1,7,1931,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Erigeron pygmaeus,1,7,1931,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Chaenactis alpigena,1,7,1931,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Hulsea algida,25,8,1935,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Orobanchaceae,Castilleja nana,1,7,1931,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Onagraceae,Epilobium obcordatum,1,7,1931,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Boraginaceae,Phacelia hastata,1,7,1931,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Montiaceae,Calyptridium umbellatum,1,7,1931,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Carex proposita,25,8,1935,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Cyperaceae,Carex helleri,25,8,1935,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Brassicaceae,Draba lemmonii,25,8,1935,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Polygonaceae,Eriogonum lobbii,25,8,1935,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Poaceae,Elymus elymoides,25,8,1935,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Poaceae,Elymus elymoides,25,8,1935,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Poaceae,Elymus elymoides,25,8,1935,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Phrymaceae,Erythranthe tilingii,29,7,1931,37.740242,-119.31547
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Packera werneriifolia,1,7,1931,37.74,-119.31528
UCJEPS,VASC,PreservedSpecimen,Polygonaceae,Eriogonum incanum,1,7,1931,37.74,-119.31528
UCJEPS,VASC,PreservedSpecimen,Caryophyllaceae,Silene sargentii,1,7,1931,37.74,-119.31528
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Senecio fremontii,1,7,1931,37.74,-119.31528
UCJEPS,VASC,PreservedSpecimen,Asteraceae,Senecio fremontii,1,7,1931,37.74,-119.31528
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa secunda,31,8,2011,37.77661,-119.311392
UCJEPS,VASC,PreservedSpecimen,Poaceae,Poa secunda,31,8,2011,37.77661,-119.311392
