"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"1","Salix petrophila","1","920415","Salix petrophila","1","species","","","","Rydb.","Salicaceae","Salix","Salix","1","petrophila","petrophila","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2919436","","Y","Accepted","Salix petrophila","Salix petrophila","Rydb.","920415","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2919436","","Salicaceae","1","1","wcvp","",true,0
"2","Epilobium anagallidifolium","1","660972","Epilobium anagallidifolium","1","species","","","","Lam.","Onagraceae","Epilobium","Epilobium","1","anagallidifolium","anagallidifolium","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2790101","","Y","Accepted","Epilobium anagallidifolium","Epilobium anagallidifolium","Lam.","660972","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2790101","","Onagraceae","1","1","wcvp","",true,1
"3","Gayophytum caesium","1","687911","Gayophytum caesium","1","species","","","","Torr. & A.Gray","Onagraceae","Gayophytum","Gayophytum","1","caesium","caesium","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2818474","","Y","Synonym","Gayophytum racemosum","Gayophytum racemosum","Torr. & A.Gray","687946","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2818509","","Onagraceae","1","1","wcvp","",true,2
"4","Pteryxia terebinthnia","0.98737368185461","1053746","Pteryxia terebinthina","0.98737368185461","species","","","","(Hook.) J.M.Coult. & Rose","Apiaceae","Pteryxia","Pteryxia","1","terebinthnia","terebinthina","0.91666666666667","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2405633","","","Synonym","Cymopterus terebinthinus","Cymopterus terebinthinus","(Hook.) Torr. & A.Gray","625301","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2750756","","Apiaceae","1","1","wcvp","",true,3
"5","Lupinus latifolius var. columbianus","1","1696458","Lupinus latifolius var. columbianus","1","variety","","","","(A.Heller) C.P.Sm.","Fabaceae","Lupinus","Lupinus","1","latifolius","latifolius","1","","","","var.","columbianus","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2356858","","Y","Synonym","Lupinus latifolius subsp. latifolius","Lupinus latifolius","","1696459","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3017410","","Fabaceae","1","1","wcvp","",true,4
"6","Ranunculus alismaefolius","0.97265030347668","455282","Ranunculus alismifolius","0.97265030347668","species","","","","Geyer ex Benth.","Ranunculaceae","Ranunculus","Ranunculus","1","alismaefolius","alismifolius","0.84615384615385","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2524579","","Y","Accepted","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","455282","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2524579","","Ranunculaceae","1","1","wcvp","",true,5
"7","Sisymbrium incisum","1","1203318","Sisymbrium incisum","1","species","","","","Engelm.","Brassicaceae","Sisymbrium","Sisymbrium","1","incisum","incisum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2476282","","Y","Synonym","Descurainia incisa","Descurainia incisa","(Engelm.) Britton","634434","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2761758","","Brassicaceae","1","1","wcvp","",true,6
"8","Spiraea densiflora","1","1768661","Spiraea densiflora","1","species","","","","Nutt. ex Greenm.","Rosaceae","Spiraea","Spiraea","1","densiflora","densiflora","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2915820","","Y","Illegitimate","Spiraea splendens var. rosea","Spiraea splendens","(A.Gray) Kartesz & Gandhi","1004774","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2993736","","Rosaceae","1","1","wcvp","",true,7
"9","Salix lemmonii","1","919661","Salix lemmonii","1","species","","","","Bebb","Salicaceae","Salix","Salix","1","lemmonii","lemmonii","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2918212","","Y","Accepted","Salix lemmonii","Salix lemmonii","Bebb","919661","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2918212","","Salicaceae","1","1","wcvp","",true,8
"10","Salix planifolia var. monica","1","1586133","Salix planifolia var. monica","1","variety","","","","(Bebb) C.K.Schneid.","Salicaceae","Salix","Salix","1","planifolia","planifolia","1","","","","var.","monica","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2921361","","Y","Synonym","Salix planifolia","Salix planifolia","Pursh","920953","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2920192","","Salicaceae","1","1","wcvp","",true,9
