"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"1","Sequoiadendron giganteum","1","490180","Sequoiadendron giganteum","1","species","","","","(Lindl.) J.Buchholz","Cupressaceae","Sequoiadendron","Sequoiadendron","1","giganteum","giganteum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:381300","","Y","Accepted","Sequoiadendron giganteum","Sequoiadendron giganteum","(Lindl.) J.Buchholz","490180","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:381300","","Cupressaceae","1","1","wcvp","",true,0
"2","Quercus chrysolepis","1","285098","Quercus chrysolepis","1","species","","","","Liebm.","Fagaceae","Quercus","Quercus","1","chrysolepis","chrysolepis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:172147","","Y","Accepted","Quercus chrysolepis","Quercus chrysolepis","Liebm.","285098","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:172147","","Fagaceae","1","1","wcvp","",true,1
"3","Abies concolor","1","504423","Abies concolor","1","species","","","","(Gordon & Glend.) Lindl. ex Hildebr.","Pinaceae","Abies","Abies","1","concolor","concolor","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:381713","","Y","Accepted","Abies concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","504423","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:381713","","Pinaceae","1","1","wcvp","",true,2
"4","Acer macrophyllum","1","507836","Acer macrophyllum","1","species","","","","Pursh","Sapindaceae","Acer","Acer","1","macrophyllum","macrophyllum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2615900","","Y","Accepted","Acer macrophyllum","Acer macrophyllum","Pursh","507836","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2615900","","Sapindaceae","1","1","wcvp","",true,3
"5","Pterospora andromedea","1","1113534","Pterospora andromedea","1","species","","","","Nutt.","Ericaceae","Pterospora","Pterospora","1","andromedea","andromedea","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2547562","","Y","Accepted","Pterospora andromedea","Pterospora andromedea","Nutt.","1113534","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2547562","","Ericaceae","1","1","wcvp","",true,4
"6","Sidalcea glaucescens","1","1062604","Sidalcea glaucescens","1","species","","","","Greene","Malvaceae","Sidalcea","Sidalcea","1","glaucescens","glaucescens","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2602159","","Y","Accepted","Sidalcea glaucescens","Sidalcea glaucescens","Greene","1062604","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2602159","","Malvaceae","1","1","wcvp","",true,5
"7","Pinus lambertiana","1","474708","Pinus lambertiana","1","species","","","","Douglas","Pinaceae","Pinus","Pinus","1","lambertiana","lambertiana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:379703","","Y","Accepted","Pinus lambertiana","Pinus lambertiana","Douglas","474708","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:379703","","Pinaceae","1","1","wcvp","",true,6
"8","Lilium parvum","1","669765","Lilium parvum","1","species","","","","Kellogg","Liliaceae","Lilium","Lilium","1","parvum","parvum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:279890","","Y","Accepted","Lilium parvum","Lilium parvum","Kellogg","669765","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:279890","","Liliaceae","1","1","wcvp","",true,7
"9","Aquilegia formosa","1","534481","Aquilegia formosa","1","species","","","","Fisch. ex DC.","Ranunculaceae","Aquilegia","Aquilegia","1","formosa","formosa","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2644784","","Y","Accepted","Aquilegia formosa","Aquilegia formosa","Fisch. ex DC.","534481","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2644784","","Ranunculaceae","1","1","wcvp","",true,8
"10","Achillea millefolium","1","42209","Achillea millefolium","1","species","","","","L.","Asteraceae","Achillea","Achillea","1","millefolium","millefolium","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2908230","","Y","Accepted","Achillea millefolium","Achillea millefolium","L.","42209","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2908230","","Asteraceae","1","1","wcvp","",true,10
