Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
YOSE,Yosemite National Park,Vascular Plant,6,,,768427,-9798295,Active,Chamaesyce serpyllifolia ssp. hirtula,,,Probably Present
YOSE,Yosemite National Park,Vascular Plant,6,,,158946,-502544,Active,Lotus purshianus var. purshianus,"American bird's-foot trefoil, American bird's-foot-trefoil, prairie trefoil, Spanish clover",Lotus unifoliolatus var. unifoliolatus,Present
YOSE,Yosemite National Park,Vascular Plant,6,,,159979,-502640,Inactive,Panicum acuminatum var. acuminatum,,Panicum acuminatum,Present
YOSE,Yosemite National Park,Vascular Plant,6,,,161140,-502999,Active,Tofieldia occidentalis ssp. occidentalis,,,Present
YOSE,Yosemite National Park,Vascular Plant,6,,,666343,-743970,Inactive,Triglochin concinna var. debilis,"arrowgrass, seaside arrowgrass, seaside arrow-grass, shore arrowgrass",Triglochin maritimum,Present
YOSE,Yosemite National Park,Vascular Plant,6,Alismatales,Alismataceae,140776,38894,Active,Alisma plantago-aquatica,"American waterplantain, European water plantain",,Present
YOSE,Yosemite National Park,Vascular Plant,6,Alismatales,Alismataceae,140802,38917,Active,Sagittaria cuneata,"arumleaf arrowhead, arum-leaf arrowhead, nothern arrowhead, wapato",,Present
YOSE,Yosemite National Park,Vascular Plant,6,Alismatales,Alismataceae,140792,38908,Active,Sagittaria latifolia,"broadleaf arrowhead, common arrowhead, duck-potato, wapato",,Present
YOSE,Yosemite National Park,Vascular Plant,6,Alismatales,Araceae,149496,42591,Active,Lemna gibba,"inflated duckweed, swollen duckweed",,Present
YOSE,Yosemite National Park,Vascular Plant,6,Alismatales,Araceae,159319,503361,Active,Lemna minuta,least duckweed,,Present
YOSE,Yosemite National Park,Vascular Plant,6,Alismatales,Juncaginaceae,141553,38993,Active,Lilaea scilloides,"awl-leaf lilaea, flowering quillwort",,Present
YOSE,Yosemite National Park,Vascular Plant,6,Alismatales,Juncaginaceae,141547,38988,Active,Triglochin maritima,"arrow-grass, seaside arrowgrass",,Present
YOSE,Yosemite National Park,Vascular Plant,6,Alismatales,Juncaginaceae,161155,-503005,Inactive,Triglochin palustris,,,Present
YOSE,Yosemite National Park,Vascular Plant,6,Alismatales,Potamogetonaceae,206640,526469,Active,Potamogeton alpinus ssp. tenuifolius,alpine pondweed,Potamogeton alpinus,Present
