accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,iNat_needs_ID_only_verdict,symbiota,voucher_notes,iNat_notes,parklist_notes
Athyrium americanum,Athyrium americanum,current,Aspleniaceae,1.ferns/primitive,Athyrium alpestre var. americanum,native,14,9,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,22,14,1922,"Hall, Carlotta Case",2011,NA,in Symbiota,NA,NA,NA
Athyrium filix-femina,Athyrium filix-femina,current,Aspleniaceae,1.ferns/primitive,NA,native,20,1,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,41,23,1866,"Bolander, Henry Nicholas",2003,NA,in Symbiota,NA,NA,NA
Woodwardia fimbriata,Woodwardia fimbriata,current,Blechnaceae,1.ferns/primitive,NA,native,90,1,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,11,5,1911,"Hall, Carlotta Case",2008,NA,in Symbiota,NA,NA,NA
Cystopteris fragilis,Cystopteris fragilis,current,Cystopteridaceae,1.ferns/primitive,NA,native,26,11,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,64,35,1866,"Bolander, Henry Nicholas",2007,NA,in Symbiota,NA,NA,NA
Pteridium feei,Pteridium feei,current,Dennstaedtiaceae,1.ferns/primitive,Aquilinum feei ; Pteridium feei,native,259,2,NA,1,1,1,1,1,1,NA,1,NA,retain observation,"retain, synonym",retain voucher,11,4,1906,"Head, Anna",1956,NA,in Symbiota,"(per TNRS, for Yosemite subspecies) - not per iNat yet",NA,NA
Dryopteris arguta,Dryopteris arguta,current,Dryopteridaceae,1.ferns/primitive,NA,native,23,33,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,33,16,1869,"Canby, William M.",1981,NA,in Symbiota,NA,NA,NA
Polystichum imbricans,Polystichum imbricans,current,Dryopteridaceae,1.ferns/primitive,NA,native,27,14,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,33,13,1869,"Canby, William M.",2006,NA,in Symbiota,NA,NA,NA
Polystichum kruckebergii,Polystichum kruckebergii,current,Dryopteridaceae,1.ferns/primitive,NA,native,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,1939,"Butts, Edward C.",1939,NA,in Symbiota,NA,NA,iNat: scattered observations in California and Great Basin; closest in Tahoe; Taylor: voucher from Virginia Canyon on metamorphics (1939)
Equisetum arvense,Equisetum arvense,current,Equisetaceae,1.ferns/primitive,NA,native,9,10,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,10,6,1897,"Congdon, Joseph Whipple",2005,NA,in Symbiota,NA,NA,NA
Equisetum hyemale,Equisetum hyemale,current,Equisetaceae,1.ferns/primitive,Equisetum praealtum,native,82,51,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,9,4,1897,"Congdon, Joseph Whipple",2021,NA,in Symbiota,NA,NA,NA
Equisetum laevigatum,Equisetum laevigatum,current,Equisetaceae,1.ferns/primitive,NA,native,6,14,1,1,1,1,1,1,1,NA,1,NA,retain observation,retain on list,retain voucher,13,6,1872,"Coulter, J. M.",1982,NA,in Symbiota,NA,NA,NA
Equisetum x ferrissii,Equisetum x ferrissii,current,Equisetaceae,1.ferns/primitive,NA,native,5,1,NA,1,1,NA,1,1,1,NA,1,NA,retain observation,"not on parks list, but occurs in park",retain voucher,7,6,1865,"Torrey, John",1984,NA,NA,NA,NA,NA
Isoetes bolanderi,Isoetes bolanderi,current,Isoetaceae,1.ferns/primitive,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,56,39,1894,"Congdon, Joseph Whipple",2009,NA,in Symbiota,"lots of vouchers in CCH2, old and recent",NA,NA
Isoetes howellii,Isoetes howellii,current,Isoetaceae,1.ferns/primitive,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,9,7,1930,"Peirson, Frank W.",2006,NA,in Symbiota,"lots of vouchers in CCH2, old and recent",NA,NA
Isoetes nuttallii,Isoetes nuttallii,current,Isoetaceae,1.ferns/primitive,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,9,6,1923,"Hall, Carlotta Case",2017,NA,in Symbiota,"lots of vouchers in CCH2, old and recent",NA,NA
Isoetes occidentalis,Isoetes occidentalis,current,Isoetaceae,1.ferns/primitive,NA,native,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",19,16,1922,"Hall, Carlotta Case",2009,NA,in Symbiota,NA,NA,"Taylor, CCH: vouchers old and recent from diversity of locations"
Marsilea vestita,Marsilea vestita,current,Marsileaceae,1.ferns/primitive,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,4,2,1933,"Johnstone, George R.",2006,NA,in Symbiota,NA,NA,NA
Botrychium ascendens,Botrychium ascendens,current,Ophioglossaceae,1.ferns/primitive,NA,native,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,2,2005,"Colwell, Alison",2007,NA,in Symbiota,NA,NA,Taylor: Virginia Cyn & Ledge Trail vouchers
Botrychium minganense,Botrychium minganense,current,Ophioglossaceae,1.ferns/primitive,NA,native,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,2,2,1961,"Klikoff, Lionel G.",2007,NA,in Symbiota,NA,NA,NA
Botrychium simplex,Botrychium simplex,current,Ophioglossaceae,1.ferns/primitive,NA,native,6,1,1,1,1,1,1,1,1,1,1,NA,retain observation,retain on list,retain voucher,32,25,1898,"Congdon, Joseph Whipple",2010,NA,in Symbiota,NA,NA,NA
Botrychium yaaxudakeit,Botrychium yaaxudakeit,current,Ophioglossaceae,1.ferns/primitive,NA,native,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",1,1,2007,"Colwell, Alison",2007,NA,in Symbiota,NA,NA,iNat: Canada only; Taylor: voucher from head Viriginia Cyn - discusses disjunct pop
Sceptridium multifidum,Sceptridium multifidum,current,Ophioglossaceae,1.ferns/primitive,Botrychium multifidum,native,14,1,NA,1,1,1,1,1,1,1,1,NA,retain observation,"retain, synonym",retain voucher,33,20,1915,"Labouchere, Theodore",2007,NA,in Symbiota,NA,NA,NA
Polypodium californicum,Polypodium californicum,current,Polypodiaceae,1.ferns/primitive,NA,native,NA,5,1,NA,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",2,NA,1941,"Keck, David D.",1965,NA,in Symbiota,"2 CCH vouchers - 1941 (HH), 1965 (Arch Rock); not in Taylor",NA,NA
Polypodium calirhiza,Polypodium calirhiza,current,Polypodiaceae,1.ferns/primitive,NA,native,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,"not in iNat, but occurs in park",retain on list,retain voucher,4,1,1924,"Michael, Enid",1983,NA,in Symbiota,NA,NA,NA
