notes,accepted_name,scientific_name,status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,parks_outcome,voucher_outcome,old&recent,first_record,last_record,iNat_needs_ID_only
,Asplenium australasicum,Asplenium australasicum,current,Aspleniaceae,1.ferns/primitive,native,16,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1934,1934,
,Asplenium flabellifolium,Asplenium flabellifolium,current,Aspleniaceae,1.ferns/primitive,native,4,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1905,2019,
"Asplenium nidus is from tropical QLD, this is a misID of A. australasicum",Asplenium nidus,Asplenium nidus,current,Aspleniaceae,1.ferns/primitive,out-of-range,,,1,,,,,,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","remove, mis-identification",(disagree with voucher),,,
,Asplenium polyodon,Asplenium polyodon,current,Aspleniaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,"XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1927,1927,none
,Blechnum ambiguum,Blechnum ambiguum,current,Blechnaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1897,1960,
,Blechnum camfieldii,Blechnum camfieldii,current,Blechnaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none
,Blechnum minus,Blechnum minus,current,Blechnaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,"XX-not in iNat, yes in park",retain on list,"no voucher, but exists in park",no_vouchers,,,none
,Blechnum nudum,Blechnum nudum,current,Blechnaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1905,1993,
,Blechnum patersonii,Austroblechnum patersonii,synonym,Blechnaceae,1.ferns/primitive,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym voucher,XX-synonym re voucher,(remove),,,
,Blechnum patersonii,Blechnum patersonii,current,Blechnaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1905,1989,
the 1933 vouchers are clearly incorrectly located in the park (locality = Austinmer),Blechnum wattsii,Blechnum wattsii,current,Blechnaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1960,1975,
,Doodia aspera,Blechnum neohollandicum,synonym,Blechnaceae,1.ferns/primitive,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym voucher,XX-synonym re voucher,(remove),,,
,Doodia aspera,Doodia aspera,current,Blechnaceae,1.ferns/primitive,native,8,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1905,2019,
,Doodia caudata,Blechnum rupestre,synonym,Blechnaceae,1.ferns/primitive,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym voucher,XX-synonym re voucher,(remove),,,
,Doodia caudata,Doodia caudata,current,Blechnaceae,1.ferns/primitive,native,3,1,,1,1,1,1,1,,,1,retain observation,retain on list,"retain, synonym",old_vouchers_only,1943,1984,
,Oceaniopteris cartilaginea,Blechnum cartilagineum,synonym,Blechnaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,
,Oceaniopteris cartilaginea,Oceaniopteris cartilaginea,current,Blechnaceae,1.ferns/primitive,native,11,,,1,1,1,1,1,1,,1,retain observation,"retain, synonym","retain, synonym",old&recent_vouchers,1905,2019,
,Telmatoblechnum indicum,Blechnum indicum,synonym,Blechnaceae,1.ferns/primitive,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym re parks list,XX-synonym re parks list,(remove),,,
,Telmatoblechnum indicum,Telmatoblechnum indicum,current,Blechnaceae,1.ferns/primitive,native,1,,,1,1,,1,,,,1,retain observation,"retain, synonym","no voucher, but exists in park",no_vouchers,,,
,Cyathea australis,Cyathea australis,current,Cyatheaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1895,1976,
,Sphaeropteris australis,Alsophila leichhardtiana,synonym,Cyatheaceae,1.ferns/primitive,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym voucher,"remove, duplicate synonym",(remove),,,
,Sphaeropteris australis,Cyathea leichhardtiana,synonym,Cyatheaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,
,Sphaeropteris australis,Sphaeropteris australis,current,Cyatheaceae,1.ferns/primitive,native,,,,,1,1,,1,,,1,"XX-not in iNat, yes in park","retain, synonym","retain, synonym",old_vouchers_only,1966,1976,none
,Sphaeropteris cooperi,Cyathea cooperi,synonym,Cyatheaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,
,Sphaeropteris cooperi,Sphaeropteris cooperi,current,Cyatheaceae,1.ferns/primitive,native,1,,,1,1,1,1,1,,,1,"retain, but restricted license","retain, synonym","retain, synonym",old_vouchers_only,1982,1982,
,Davallia solida,Davallia solida,current,Davalliaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,needsID-likely correct,retain on list,retain voucher,old_vouchers_only,1934,1964,yes_correct
,Dennstaedtia davallioides,Dennstaedtia davallioides,current,Dennstaedtiaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1942,1946,yes_probably_incorrect
,Histiopteris incisa,Histiopteris incisa,current,Dennstaedtiaceae,1.ferns/primitive,native,10,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1927,1953,
,Hypolepis glandulifera,Hypolepis glandulifera,current,Dennstaedtiaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1952,1966,none
,Hypolepis muelleri,Hypolepis muelleri,current,Dennstaedtiaceae,1.ferns/primitive,native,7,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1955,2001,
,Pteridium esculentum,Pteridium esculentum,current,Dennstaedtiaceae,1.ferns/primitive,native,30,1,1,1,1,1,1,1,1,,1,retain observation,retain on list,retain voucher,old&recent_vouchers,1946,1995,
,Calochlaena dubia,Calochlaena dubia,current,Dicksoniaceae,1.ferns/primitive,native,4,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1941,1983,
,Cyrtomium falcatum,Cyrtomium falcatum,current,Dryopteridaceae,1.ferns/primitive,introduced,1,,1,1,,1,1,,1,,1,retain observation,"not on parks list, but occurs in park",retain voucher,recent_vouchers_only,2018,2018,
,Lastreopsis decomposita,Lastreopsis decomposita,current,Dryopteridaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1," XX-not in iNat, yes in park",retain on list,retain voucher,old_vouchers_only,1897,1966,yes_unsure
,Parapolystichum acuminatum,Lastreopsis acuminata,synonym,Dryopteridaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,
,Parapolystichum acuminatum,Parapolystichum acuminatum,current,Dryopteridaceae,1.ferns/primitive,native,,,,,1,1,,1,,,1,"XX-not in iNat, yes in park","retain, synonym","retain, synonym",old_vouchers_only,1951,1966,none
"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",Parapolystichum microsorum,Lastreopsis microsora,synonym,Dryopteridaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym other list,"XX-synonym re vouchers, parks",XX-synonym re parks & voucher,(remove),,,
,Parapolystichum microsorum,Parapolystichum microsorum,current,Dryopteridaceae,1.ferns/primitive,native,,,,,1,1,,1,,,1,needsID-likely correct,"retain, synonym","retain, synonym",old_vouchers_only,1897,1977,yes_correct
,Polystichum australiense,Polystichum australiense,current,Dryopteridaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,,,1,retain observation,retain on list,retain voucher,old_vouchers_only,1899,1983,
