accepted_name,family,establishment_means
Athyrium americanum,Aspleniaceae,native
Athyrium filix-femina,Aspleniaceae,native
Woodwardia fimbriata,Blechnaceae,native
Cystopteris fragilis,Cystopteridaceae,native
Pteridium feei,Dennstaedtiaceae,native
Dryopteris arguta,Dryopteridaceae,native
Polystichum imbricans,Dryopteridaceae,native
Polystichum kruckebergii,Dryopteridaceae,native
Equisetum arvense,Equisetaceae,native
Equisetum hyemale,Equisetaceae,native
Equisetum laevigatum,Equisetaceae,native
Equisetum x ferrissii,Equisetaceae,native
Isoetes bolanderi,Isoetaceae,native
Isoetes howellii,Isoetaceae,native
Isoetes nuttallii,Isoetaceae,native
Isoetes occidentalis,Isoetaceae,native
Marsilea vestita,Marsileaceae,native
Botrychium ascendens,Ophioglossaceae,native
Botrychium minganense,Ophioglossaceae,native
Botrychium simplex,Ophioglossaceae,native
Botrychium yaaxudakeit,Ophioglossaceae,native
Sceptridium multifidum,Ophioglossaceae,native
Polypodium californicum,Polypodiaceae,native
Polypodium calirhiza,Polypodiaceae,native
Polypodium hesperium,Polypodiaceae,native
Polystichum scopulinum,Polypodiaceae,native
Adiantum aleuticum,Pteridaceae,native
Aspidotis californica,Pteridaceae,native
Aspidotis densa,Pteridaceae,native
Cryptogramma acrostichoides,Pteridaceae,native
Cryptogramma cascadensis,Pteridaceae,native
Myriopteris cooperae,Pteridaceae,native
Myriopteris covillei,Pteridaceae,native
Myriopteris gracillima,Pteridaceae,native
Myriopteris intertexta,Pteridaceae,native
Pellaea andromedifolia,Pteridaceae,native
Pellaea breweri,Pteridaceae,native
Pellaea bridgesii,Pteridaceae,native
Pellaea glaciogena,Pteridaceae,native
Pellaea mucronata,Pteridaceae,native
Pentagramma pallida,Pteridaceae,native
Pentagramma triangularis,Pteridaceae,native
Woodsia scopulina,Woodsiaceae,native
Selaginella hansenii,Selaginellaceae,native
Selaginella watsonii,Selaginellaceae,native
Calocedrus decurrens,Cupressaceae,native
Juniperus communis,Cupressaceae,native
Juniperus grandis,Cupressaceae,native
Sequoiadendron giganteum,Cupressaceae,native
Abies concolor,Pinaceae,native
Abies magnifica,Pinaceae,native
Pinus albicaulis,Pinaceae,native
Pinus attenuata,Pinaceae,native
Pinus contorta,Pinaceae,native
Pinus jeffreyi,Pinaceae,native
Pinus lambertiana,Pinaceae,native
Pinus monophylla,Pinaceae,native
Pinus monticola,Pinaceae,native
Pinus ponderosa,Pinaceae,native
Pinus sabiniana,Pinaceae,native
Pseudotsuga menziesii,Pinaceae,native
Tsuga mertensiana,Pinaceae,native
Taxus brevifolia,Taxaceae,native
Torreya californica,Taxaceae,native
Amaranthus albus,Amaranthaceae,invasive
Amaranthus blitoides,Amaranthaceae,native
Amaranthus retroflexus,Amaranthaceae,invasive
Chenopodium album,Amaranthaceae,invasive
Chenopodium atrovirens,Amaranthaceae,native
Chenopodium desiccatum,Amaranthaceae,native
Chenopodium pratericola,Amaranthaceae,native
Dysphania botrys,Amaranthaceae,invasive
Dysphania pumilio,Amaranthaceae,invasive
Monolepis nuttalliana,Amaranthaceae,native
Neomonolepis spathulata,Amaranthaceae,native
Rhus aromatica,Anacardiaceae,native
Toxicodendron diversilobum,Anacardiaceae,native
Angelica breweri,Apiaceae,native
Angelica capitellata,Apiaceae,native
Angelica lineariloba,Apiaceae,native
Anthriscus caucalis,Apiaceae,invasive
Cicuta douglasii,Apiaceae,native
Cymopterus terebinthinus,Apiaceae,native
Daucus pusillus,Apiaceae,native
Foeniculum vulgare,Apiaceae,invasive
Heracleum maximum,Apiaceae,native
Ligusticum grayi,Apiaceae,native
Lomatium dissectum,Apiaceae,native
Lomatium macrocarpum,Apiaceae,native
Lomatium nevadense,Apiaceae,native
Lomatium torreyi,Apiaceae,native
Lomatium utriculatum,Apiaceae,native
Osmorhiza berteroi,Apiaceae,native
Osmorhiza brachypoda,Apiaceae,native
Osmorhiza occidentalis,Apiaceae,native
Oxypolis occidentalis,Apiaceae,native
Perideridia bolanderi,Apiaceae,native
Perideridia howellii,Apiaceae,native
Perideridia lemmonii,Apiaceae,native
Perideridia parishii,Apiaceae,native
Podistera nevadensis,Apiaceae,native
Sanicula bipinnata,Apiaceae,native
Sanicula bipinnatifida,Apiaceae,native
Sanicula graveolens,Apiaceae,native
Sanicula tuberosa,Apiaceae,native
Tauschia hartwegii,Apiaceae,native
Torilis arvensis,Apiaceae,invasive
Torilis nodosa,Apiaceae,invasive
Yabea microcarpa,Apiaceae,native
Apocynum androsaemifolium,Apocynaceae,native
Apocynum cannabinum,Apocynaceae,native
Asclepias cordifolia,Apocynaceae,native
Asclepias fascicularis,Apocynaceae,native
Asclepias speciosa,Apocynaceae,native
Vinca major,Apocynaceae,invasive
Hedera helix subsp. helix,Araliaceae,invasive
Asarum hartwegii,Aristolochiaceae,native
Asarum lemmonii,Aristolochiaceae,native
Achillea millefolium,Asteraceae,native
Adeia whitneyi,Asteraceae,native
Adenocaulon bicolor,Asteraceae,native
Ageratina occidentalis,Asteraceae,native
Agnorhiza elata,Asteraceae,native
Agoseris aurantiaca,Asteraceae,native
Agoseris elata,Asteraceae,native
Agoseris glauca,Asteraceae,native
Agoseris grandiflora,Asteraceae,native
Agoseris heterophylla,Asteraceae,native
Agoseris monticola,Asteraceae,native
Agoseris parviflora,Asteraceae,native
Agoseris retrorsa,Asteraceae,native
Anaphalis margaritacea,Asteraceae,native
Antennaria argentea,Asteraceae,native
Antennaria corymbosa,Asteraceae,native
Antennaria media,Asteraceae,native
Antennaria rosea,Asteraceae,native
Antennaria umbrinella,Asteraceae,native
Anthemis cotula,Asteraceae,invasive
Arnica chamissonis,Asteraceae,native
Arnica cordifolia,Asteraceae,native
Arnica dealbata,Asteraceae,native
Arnica discoidea,Asteraceae,native
Arnica lanceolata,Asteraceae,native
Arnica latifolia,Asteraceae,native
Arnica longifolia,Asteraceae,native
Arnica mollis,Asteraceae,native
Arnica nevadensis,Asteraceae,native
Arnica ovata,Asteraceae,native
Arnica parryi,Asteraceae,native
Artemisia albicans,Asteraceae,native
Artemisia arbuscula,Asteraceae,native
Artemisia cana,Asteraceae,native
Artemisia douglasiana,Asteraceae,native
Artemisia dracunculus,Asteraceae,native
Artemisia ludoviciana,Asteraceae,native
Artemisia norvegica,Asteraceae,native
Artemisia rothrockii,Asteraceae,native
Artemisia spiciformis,Asteraceae,native
Artemisia tridentata,Asteraceae,native
Askellia pygmaea,Asteraceae,native
Baccharis pilularis,Asteraceae,native
Balsamorhiza deltoidea,Asteraceae,native
Balsamorhiza macrolepis,Asteraceae,native
Balsamorhiza sagittata,Asteraceae,native
Bellis perennis,Asteraceae,invasive
Bidens cernua,Asteraceae,native
Bidens tripartita,Asteraceae,invasive
Brickellia californica,Asteraceae,native
Brickellia grandiflora,Asteraceae,native
Calycadenia mollis,Asteraceae,native
Calycadenia multiglandulosa,Asteraceae,native
Carduus pycnocephalus,Asteraceae,invasive
Centaurea benedicta,Asteraceae,invasive
Centaurea cyanus,Asteraceae,invasive
Centaurea melitensis,Asteraceae,invasive
Centaurea solstitialis,Asteraceae,invasive
Centaurea stoebe,Asteraceae,invasive
Chaenactis alpigena,Asteraceae,native
Chaenactis douglasii,Asteraceae,native
Chaenactis glabriuscula,Asteraceae,native
Chrysothamnus viscidiflorus,Asteraceae,native
Cirsium andersonii,Asteraceae,native
Cirsium occidentale,Asteraceae,native
Cirsium scariosum,Asteraceae,native
Cirsium tioganum,Asteraceae,native
Cirsium vulgare,Asteraceae,invasive
Coreopsis lanceolata,Asteraceae,invasive
Corethrogyne filaginifolia,Asteraceae,native
Crepis acuminata,Asteraceae,native
Crepis capillaris,Asteraceae,invasive
Crepis intermedia,Asteraceae,native
Crepis occidentalis,Asteraceae,native
Deinandra kelloggii,Asteraceae,native
Dieteria canescens,Asteraceae,native
Doellingeria breweri,Asteraceae,native
Ericameria arborescens,Asteraceae,native
Ericameria bloomeri,Asteraceae,native
Ericameria cuneata,Asteraceae,native
Ericameria discoidea,Asteraceae,native
Ericameria nauseosa,Asteraceae,native
Ericameria parryi,Asteraceae,native
Ericameria suffruticosa,Asteraceae,native
Erigeron algidus,Asteraceae,native
Erigeron annuus,Asteraceae,invasive
Erigeron barbellulatus,Asteraceae,native
Erigeron breweri,Asteraceae,native
Erigeron canadensis,Asteraceae,native
Erigeron clokeyi,Asteraceae,native
Erigeron compositus,Asteraceae,native
Erigeron coulteri,Asteraceae,native
