scientific_name_author,scientific_name,infrataxa,family,broader,establishment_means
Asplenium australasicum (J.Sm.) Hook.,Asplenium australasicum,,Aspleniaceae,1.ferns/primitive,native
Asplenium flabellifolium Cav.,Asplenium flabellifolium,,Aspleniaceae,1.ferns/primitive,native
Asplenium polyodon G.Forst.,Asplenium polyodon,,Aspleniaceae,1.ferns/primitive,native
Blechnum ambiguum (C.Presl) Kaulf. ex C.Chr.,Blechnum ambiguum,,Blechnaceae,1.ferns/primitive,native
Blechnum camfieldii Tindale,Blechnum camfieldii,,Blechnaceae,1.ferns/primitive,native
Blechnum minus (R.Br.) Ettingsh.,Blechnum minus,,Blechnaceae,1.ferns/primitive,native
Blechnum nudum (Labill.) Mett. ex Luerss.,Blechnum nudum,,Blechnaceae,1.ferns/primitive,native
Blechnum patersonii (R.Br.) Mett.,Blechnum patersonii,,Blechnaceae,1.ferns/primitive,native
Blechnum wattsii Tindale,Blechnum wattsii,,Blechnaceae,1.ferns/primitive,native
Doodia aspera R.Br.,Doodia aspera,,Blechnaceae,1.ferns/primitive,native
Doodia caudata (Cav.) R.Br.,Doodia caudata,,Blechnaceae,1.ferns/primitive,native
Oceaniopteris cartilaginea (Sw.) Gasper & Salino,Oceaniopteris cartilaginea,,Blechnaceae,1.ferns/primitive,native
"Telmatoblechnum indicum (Burm.f.) Perrie, D.J.Ohlsen & Brownsey",Telmatoblechnum indicum,,Blechnaceae,1.ferns/primitive,native
Cyathea australis (R.Br.) Domin,Cyathea australis,,Cyatheaceae,1.ferns/primitive,native
Sphaeropteris australis (C.Presl) R.M.Tryon,Sphaeropteris australis,,Cyatheaceae,1.ferns/primitive,native
Sphaeropteris cooperi (Hook. ex F.Muell.) R.M.Tryon,Sphaeropteris cooperi,,Cyatheaceae,1.ferns/primitive,native
Davallia solida (G.Forst.) Sw.,Davallia solida,var. pyxidata,Davalliaceae,1.ferns/primitive,native
Dennstaedtia davallioides (R.Br.) T.Moore,Dennstaedtia davallioides,,Dennstaedtiaceae,1.ferns/primitive,native
Histiopteris incisa (Thunb.) J.Sm.,Histiopteris incisa,,Dennstaedtiaceae,1.ferns/primitive,native
Hypolepis glandulifera Brownsey & Chinnock,Hypolepis glandulifera,,Dennstaedtiaceae,1.ferns/primitive,native
Hypolepis muelleri N.A.Wakef.,Hypolepis muelleri,,Dennstaedtiaceae,1.ferns/primitive,native
Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum,,Dennstaedtiaceae,1.ferns/primitive,native
Calochlaena dubia (R.Br.) M.D.Turner & R.A.White,Calochlaena dubia,,Dicksoniaceae,1.ferns/primitive,native
Lastreopsis decomposita (R.Br.) Tindale,Lastreopsis decomposita,,Dryopteridaceae,1.ferns/primitive,native
"Parapolystichum acuminatum (Houlston) Labiak, Sundue & R.C.Moran",Parapolystichum acuminatum,,Dryopteridaceae,1.ferns/primitive,native
"Parapolystichum microsorum (Endl.) Labiak, Sundue & R.C.Moran",Parapolystichum microsorum,,Dryopteridaceae,1.ferns/primitive,native
Polystichum australiense Tindale,Polystichum australiense,,Dryopteridaceae,1.ferns/primitive,native
Polystichum proliferum (R.Br.) C.Presl,Polystichum proliferum,,Dryopteridaceae,1.ferns/primitive,native
Dicranopteris linearis (Burm.f.) Underw.,Dicranopteris linearis,var. linearis,Gleicheniaceae,1.ferns/primitive,native
Gleichenia dicarpa R.Br.,Gleichenia dicarpa,,Gleicheniaceae,1.ferns/primitive,native
Gleichenia microphylla R.Br.,Gleichenia microphylla,,Gleicheniaceae,1.ferns/primitive,native
Gleichenia rupestris R.Br.,Gleichenia rupestris,,Gleicheniaceae,1.ferns/primitive,native
Sticherus flabellatus (R.Br.) H.St.John,Sticherus flabellatus,var. flabellatus,Gleicheniaceae,1.ferns/primitive,native
Sticherus lobatus N.A.Wakef.,Sticherus lobatus,,Gleicheniaceae,1.ferns/primitive,native
Hymenophyllum cupressiforme Labill.,Hymenophyllum cupressiforme,,Hymenophyllaceae,1.ferns/primitive,native
Lindsaea linearis Sw.,Lindsaea linearis,,Lindsaeaceae,1.ferns/primitive,native
Lindsaea microphylla Sw.,Lindsaea microphylla,,Lindsaeaceae,1.ferns/primitive,native
Lateristachys lateralis (R.Br.) Holub,Lateristachys lateralis,,Lycopodiaceae,1.ferns/primitive,native
Lycopodium deuterodensum Herter,Lycopodium deuterodensum,,Lycopodiaceae,1.ferns/primitive,native
Palhinhaea cernua (L.) Franco & Vasc.,Palhinhaea cernua,,Lycopodiaceae,1.ferns/primitive,native
Botrychium australe R.Br.,Botrychium australe,,Ophioglossaceae,1.ferns/primitive,native
Ophioglossum lusitanicum L.,Ophioglossum lusitanicum,,Ophioglossaceae,1.ferns/primitive,native
Todea barbara (L.) T.Moore,Todea barbara,,Osmundaceae,1.ferns/primitive,native
Dictymia brownii (Wikstr.) Copel.,Dictymia brownii,,Polypodiaceae,1.ferns/primitive,native
Microsorum pustulatum (G.Forst.) Copel.,Microsorum pustulatum,,Polypodiaceae,1.ferns/primitive,native
Microsorum scandens (G.Forst.) Tindale,Microsorum scandens,,Polypodiaceae,1.ferns/primitive,native
Notogrammitis billardierei (Willd.) Parris,Notogrammitis billardierei,,Polypodiaceae,1.ferns/primitive,native
